id,Trip Length in Seconds,Start Time,Stop Time,Start Station ID,Start Station Name,Start Station Latitude,Start Station Longitude,End Station ID,End Station Name,End Station Latitude,End Station Longitude,Bike ID,User Type,Birth Year,Gender
61,259.0,1:07:11 AM,1:11:30 AM,95.0,Cambridge St - at Columbia St / Webster Ave,42.37,-71.09,91.0,One Kendall Square at Hampshire St / Portland St,42.37,-71.09,5295.0,Customer,1969.0,Not Specified
62,806.0,1:08:44 AM,1:22:10 AM,386.0,Sennott Park  Broadway at Norfolk Street,42.37,-71.1,328.0,Grove St at Community Path,42.4,-71.12,5565.0,Subscriber,1993.0,Male
63,1095.0,1:08:48 AM,1:27:04 AM,138.0,Newmarket Square T Stop - Massachusetts Ave at Newmarket Square,42.33,-71.07,370.0,Dartmouth St at Newbury St,42.35,-71.08,2858.0,Subscriber,1959.0,Female
64,1278.0,1:10:07 AM,1:31:26 AM,57.0,Massachusetts Ave at Columbus Ave,42.34,-71.08,273.0,Forest Hills,42.3,-71.11,5823.0,Subscriber,1988.0,Female
65,1446.0,1:10:37 AM,1:34:43 AM,332.0,Harvard Ave at Brainerd Rd,42.35,-71.13,413.0,Kennedy-Longfellow School 158 Spring St,42.37,-71.09,3698.0,Subscriber,1996.0,Not Specified
66,1875.0,1:17:35 AM,1:48:50 AM,437.0,Berkshire Street at Cambridge Street,42.37,-71.09,21.0,Prudential Center - 101 Huntington Ave,42.35,-71.08,2729.0,Customer,1969.0,Not Specified
67,1233.0,1:17:35 AM,1:38:09 AM,437.0,Berkshire Street at Cambridge Street,42.37,-71.09,46.0,Christian Science Plaza - Massachusetts Ave at Westland Ave,42.34,-71.09,5079.0,Customer,1969.0,Not Specified
68,227.0,1:17:43 AM,1:21:31 AM,157.0,Seaport Blvd at Sleeper St,42.35,-71.05,22.0,South Station - 700 Atlantic Ave,42.35,-71.06,2171.0,Subscriber,1984.0,Male
69,637.0,1:19:02 AM,1:29:39 AM,108.0,Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,42.38,-71.12,101.0,Ball Sq,42.4,-71.11,4984.0,Subscriber,1991.0,Male
70,1779.0,1:19:02 AM,1:48:42 AM,437.0,Berkshire Street at Cambridge Street,42.37,-71.09,21.0,Prudential Center - 101 Huntington Ave,42.35,-71.08,2461.0,Customer,1969.0,Not Specified
71,1765.0,1:19:14 AM,1:48:39 AM,437.0,Berkshire Street at Cambridge Street,42.37,-71.09,21.0,Prudential Center - 101 Huntington Ave,42.35,-71.08,2284.0,Customer,1969.0,Not Specified
72,929.0,1:21:20 AM,1:36:49 AM,67.0,MIT at Mass Ave / Amherst St,42.36,-71.09,46.0,Christian Science Plaza - Massachusetts Ave at Westland Ave,42.34,-71.09,4360.0,Subscriber,1961.0,Male
73,529.0,1:23:20 AM,1:32:10 AM,16.0,Back Bay T Stop - Dartmouth St at Stuart St,42.35,-71.08,60.0,Charles Circle - Charles St at Cambridge St,42.36,-71.07,5666.0,Subscriber,1983.0,Male
74,560.0,1:24:29 AM,1:33:49 AM,68.0,Central Square at Mass Ave / Essex St,42.37,-71.1,221.0,Verizon Innovation Hub 10 Ware Street,42.37,-71.11,4170.0,Customer,1969.0,Not Specified
75,308.0,1:25:06 AM,1:30:14 AM,68.0,Central Square at Mass Ave / Essex St,42.37,-71.1,225.0,Cambridge Dept. of Public Works -147 Hampshire St.,42.37,-71.1,5569.0,Subscriber,1984.0,Female
76,232.0,1:26:07 AM,1:29:59 AM,100.0,Davis Square,42.4,-71.12,111.0,Packard Ave at Powderhouse Blvd,42.4,-71.12,2775.0,Subscriber,1993.0,Male
77,525.0,1:26:46 AM,1:35:31 AM,100.0,Davis Square,42.4,-71.12,137.0,Magoun Square at Trum Field,42.4,-71.11,2794.0,Subscriber,1993.0,Female
78,273.0,1:26:59 AM,1:31:33 AM,74.0,Harvard Square at Mass Ave/ Dunster,42.37,-71.12,87.0,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,42.37,-71.11,5836.0,Subscriber,1995.0,Female
79,388.0,1:27:08 AM,1:33:37 AM,68.0,Central Square at Mass Ave / Essex St,42.37,-71.1,221.0,Verizon Innovation Hub 10 Ware Street,42.37,-71.11,5092.0,Customer,1969.0,Not Specified
80,569.0,1:28:56 AM,1:38:25 AM,121.0,W Broadway at Dorchester St,42.34,-71.05,363.0,Harrison Ave at Mullins Way,42.35,-71.06,4860.0,Customer,1994.0,Male
81,506.0,1:32:46 AM,1:41:13 AM,273.0,Forest Hills,42.3,-71.11,337.0,Roslindale Village - South St,42.29,-71.13,5823.0,Subscriber,1988.0,Female
82,1163.0,1:38:07 AM,1:57:31 AM,57.0,Massachusetts Ave at Columbus Ave,42.34,-71.08,21.0,Prudential Center - 101 Huntington Ave,42.35,-71.08,2932.0,Customer,1969.0,Not Specified
83,1166.0,1:38:13 AM,1:57:40 AM,57.0,Massachusetts Ave at Columbus Ave,42.34,-71.08,21.0,Prudential Center - 101 Huntington Ave,42.35,-71.08,3300.0,Customer,1969.0,Not Specified
84,439.0,1:41:25 AM,1:48:44 AM,12.0,Ruggles T Stop - Columbus Ave at Melnea Cass Blvd,42.34,-71.09,359.0,One Brigham Circle,42.33,-71.1,6054.0,Subscriber,1995.0,Male
85,3935.0,1:41:57 AM,3:47:33 AM,404.0,Mass Ave T Station,42.34,-71.08,342.0,Boylston St at Jersey St,42.34,-71.1,5960.0,Subscriber,1961.0,Male
86,295.0,1:42:03 AM,1:46:59 AM,43.0,Rowes Wharf at Atlantic Ave,42.36,-71.05,47.0,Cross St at Hanover St,42.36,-71.06,2830.0,Customer,1995.0,Male
87,565.0,1:42:05 AM,1:51:30 AM,342.0,Boylston St at Jersey St,42.34,-71.1,30.0,Brigham Circle - Francis St at Huntington Ave,42.33,-71.1,2141.0,Customer,1969.0,Not Specified
88,341.0,1:43:01 AM,1:48:42 AM,68.0,Central Square at Mass Ave / Essex St,42.37,-71.1,96.0,Cambridge Main Library at Broadway / Trowbridge St,42.37,-71.11,2978.0,Subscriber,1995.0,Male
89,560.0,1:44:56 AM,1:54:16 AM,192.0,Purchase St at Pearl St,42.35,-71.05,163.0,The Lawn on D,42.34,-71.04,3555.0,Subscriber,1989.0,Male
90,998.0,1:45:15 AM,3:01:54 AM,42.0,Boylston St at Arlington St,42.35,-71.07,179.0,MIT Vassar St,42.36,-71.1,5347.0,Subscriber,1988.0,Male
91,387.0,1:45:54 AM,1:52:22 AM,46.0,Christian Science Plaza - Massachusetts Ave at Westland Ave,42.34,-71.09,67.0,MIT at Mass Ave / Amherst St,42.36,-71.09,3290.0,Subscriber,1991.0,Male
92,368.0,1:47:24 AM,1:53:32 AM,192.0,Purchase St at Pearl St,42.35,-71.05,163.0,The Lawn on D,42.34,-71.04,4370.0,Customer,1969.0,Not Specified
93,1446.0,1:51:12 AM,3:15:18 AM,75.0,Lafayette Square at Mass Ave / Main St / Columbia St,42.36,-71.1,30.0,Brigham Circle - Francis St at Huntington Ave,42.33,-71.1,3953.0,Subscriber,1997.0,Male
94,314.0,1:52:24 AM,1:57:38 AM,76.0,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.37,-71.11,178.0,MIT Pacific St at Purrington St,42.36,-71.1,3614.0,Subscriber,1994.0,Male
95,352.0,1:53:28 AM,1:59:20 AM,116.0,359 Broadway - Broadway at Fayette Street,42.37,-71.1,87.0,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,42.37,-71.11,6091.0,Subscriber,1991.0,Male
96,409.0,1:54:59 AM,3:01:49 AM,67.0,MIT at Mass Ave / Amherst St,42.36,-71.09,437.0,Berkshire Street at Cambridge Street,42.37,-71.09,3290.0,Subscriber,1991.0,Male
97,179.0,1:55:07 AM,1:58:06 AM,75.0,Lafayette Square at Mass Ave / Main St / Columbia St,42.36,-71.1,178.0,MIT Pacific St at Purrington St,42.36,-71.1,4272.0,Subscriber,1996.0,Male
98,154.0,1:56:09 AM,1:58:44 AM,110.0,Harvard University Gund Hall at Quincy St / Kirkland St,42.38,-71.11,377.0,Perry Park,42.38,-71.1,3641.0,Subscriber,1999.0,Male
99,318.0,1:56:16 AM,3:01:34 AM,157.0,Seaport Blvd at Sleeper St,42.35,-71.05,47.0,Cross St at Hanover St,42.36,-71.06,2098.0,Subscriber,1991.0,Male
100,317.0,1:56:55 AM,3:02:13 AM,178.0,MIT Pacific St at Purrington St,42.36,-71.1,107.0,Ames St at Main St,42.36,-71.09,3861.0,Subscriber,1998.0,Male
101,798.0,1:58:06 AM,3:11:24 AM,20.0,Aquarium T Stop - 200 Atlantic Ave,42.36,-71.05,218.0,Watermark Seaport - Boston Wharf Rd at Seaport Blvd,42.35,-71.05,2045.0,Subscriber,1989.0,Female
102,207.0,1:58:13 AM,3:01:41 AM,100.0,Davis Square,42.4,-71.12,118.0,Linear Park - Mass. Ave. at Cameron Ave.,42.4,-71.13,5344.0,Subscriber,1996.0,Male
103,144.0,3:01:15 AM,3:03:39 AM,26.0,Washington St at Waltham St,42.34,-71.07,39.0,Washington St at Rutland St,42.34,-71.07,5843.0,Subscriber,1997.0,Male
104,1159.0,3:02:06 AM,3:21:25 AM,97.0,Harvard University River Houses at DeWolfe St / Cowperthwaite St,42.37,-71.12,185.0,Third at Binney,42.37,-71.08,5762.0,Subscriber,1997.0,Male
105,2990.0,3:02:19 AM,3:52:09 AM,78.0,Union Square - Somerville,42.38,-71.09,124.0,Curtis Hall - South St at Centre St,42.31,-71.12,5828.0,Customer,1970.0,Male
106,1032.0,3:03:03 AM,3:20:16 AM,68.0,Central Square at Mass Ave / Essex St,42.37,-71.1,239.0,Community Path at Cedar Street,42.39,-71.11,5759.0,Customer,1991.0,Male
107,509.0,3:07:34 AM,3:16:04 AM,27.0,Roxbury Crossing T Stop - Columbus Ave at Tremont St,42.33,-71.1,364.0,Tremont St at Northampton St,42.34,-71.08,3327.0,Customer,1997.0,Female
108,383.0,3:07:59 AM,3:14:23 AM,359.0,One Brigham Circle,42.33,-71.1,12.0,Ruggles T Stop - Columbus Ave at Melnea Cass Blvd,42.34,-71.09,5876.0,Subscriber,1995.0,Male
109,1128.0,3:10:26 AM,3:29:15 AM,426.0,Surface Rd at Summer St,42.35,-71.06,380.0,Mass Ave at Albany St,42.36,-71.1,5635.0,Subscriber,1994.0,Male
110,658.0,3:11:38 AM,3:22:37 AM,194.0,Broadway St at Mt Pleasant St,42.39,-71.08,101.0,Ball Sq,42.4,-71.11,4865.0,Customer,1996.0,Male
111,463.0,3:13:00 AM,3:20:44 AM,67.0,MIT at Mass Ave / Amherst St,42.36,-71.09,67.0,MIT at Mass Ave / Amherst St,42.36,-71.09,5734.0,Subscriber,1998.0,Male
112,534.0,3:13:15 AM,3:22:10 AM,75.0,Lafayette Square at Mass Ave / Main St / Columbia St,42.36,-71.1,96.0,Cambridge Main Library at Broadway / Trowbridge St,42.37,-71.11,4015.0,Subscriber,1995.0,Female
113,517.0,3:13:40 AM,3:22:17 AM,150.0,State Street at Channel Center,42.34,-71.05,39.0,Washington St at Rutland St,42.34,-71.07,2083.0,Subscriber,1995.0,Male
114,1054.0,3:14:17 AM,3:31:51 AM,8.0,Union Square - Brighton Ave at Cambridge St,42.35,-71.14,377.0,Perry Park,42.38,-71.1,5900.0,Subscriber,1982.0,Male
115,845.0,3:14:36 AM,3:28:41 AM,75.0,Lafayette Square at Mass Ave / Main St / Columbia St,42.36,-71.1,437.0,Berkshire Street at Cambridge Street,42.37,-71.09,3427.0,Subscriber,1994.0,Female
116,459.0,3:16:28 AM,3:24:07 AM,372.0,Boylston St at Exeter St,42.35,-71.08,342.0,Boylston St at Jersey St,42.34,-71.1,2758.0,Customer,1995.0,Male
117,474.0,3:16:32 AM,3:24:27 AM,378.0,191 Beacon St,42.38,-71.11,334.0,Mass Ave at Hadley/Walden,42.39,-71.12,6052.0,Subscriber,1994.0,Male
118,522.0,3:20:27 AM,3:29:09 AM,361.0,Deerfield St at Commonwealth Ave,42.35,-71.1,41.0,Packard's Corner - Commonwealth Ave at Brighton Ave,42.35,-71.12,5134.0,Subscriber,1988.0,Male
119,976.0,3:20:52 AM,3:37:09 AM,75.0,Lafayette Square at Mass Ave / Main St / Columbia St,42.36,-71.1,77.0,Somerville City Hall,42.39,-71.1,2475.0,Subscriber,1991.0,Male
120,1142.0,3:22:41 AM,3:41:43 AM,70.0,Harvard Kennedy School at Bennett St / Eliot St,42.37,-71.12,66.0,Commonwealth Ave at Griggs St,42.35,-71.13,3034.0,Customer,1984.0,Male
121,1548.0,3:22:56 AM,3:48:45 AM,76.0,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.37,-71.11,25.0,South End Library - Tremont St at W Newton St,42.34,-71.08,5871.0,Subscriber,1993.0,Male
122,262.0,3:23:01 AM,3:27:24 AM,178.0,MIT Pacific St at Purrington St,42.36,-71.1,179.0,MIT Vassar St,42.36,-71.1,5880.0,Subscriber,1993.0,Male
123,2082.0,3:23:24 AM,3:58:07 AM,70.0,Harvard Kennedy School at Bennett St / Eliot St,42.37,-71.12,144.0,Rogers St & Land Blvd,42.37,-71.08,4733.0,Customer,1984.0,Male
124,1147.0,3:23:44 AM,3:42:51 AM,70.0,Harvard Kennedy School at Bennett St / Eliot St,42.37,-71.12,179.0,MIT Vassar St,42.36,-71.1,5839.0,Subscriber,1997.0,Male
125,245.0,3:28:17 AM,3:32:23 AM,178.0,MIT Pacific St at Purrington St,42.36,-71.1,178.0,MIT Pacific St at Purrington St,42.36,-71.1,5962.0,Subscriber,1961.0,Male
