id,Publisher,Author,Primary ISBN10,Date,Title,Weeks on list
1792,Putnam,John Sandford,None,7/6/14,FIELD OF PREY,0.0
1793,Morrow/HarperCollins,J A Jance,62134698.0,7/6/14,SECOND WATCH,0.0
1794,Gallery,Johanna Lindsey,1476714312.0,6/29/14,STORMY PERSUASION,0.0
1795,Putnam,Clive Cussler and Graham Brown,NA,6/29/14,GHOST SHIP,0.0
1796,Riverhead,Emma Straub,1101618043.0,6/29/14,THE VACATIONERS,0.0
1797,Morrow/HarperCollins,Dorothea Benton Frank,62132520.0,6/29/14,THE HURRICANE SISTERS,0.0
1798,Morrow/HarperCollins,Greg Iles,62311107.0,6/29/14,NATCHEZ BURNING,0.0
1799,Simon & Schuster,edited  David Baldacci,NA,6/22/14,FACEOFF,0.0
1800,Berkley,Marie Force,NA,6/22/14,I WANT TO HOLD YOUR HAND,0.0
1801,Harlequin HQN,Linda Lael Miller,1460332962.0,6/15/14,THE MARRIAGE PACT,0.0
1802,Ballantine,Steve Berry,None,6/15/14,THE LINCOLN MYTH,0.0
1803,St. Martin's,Darynda Jones,1466845260.0,6/8/14,SIXTH GRAVE ON THE EDGE,0.0
1804,Grand Central,Jeffery Deaver,1455517119.0,6/8/14,THE SKIN COLLECTOR,0.0
1805,Viking,Sue Monk Kidd,NA,6/8/14,THE INVENTION OF WINGS,0.0
1806,S.L. Jennings,SL Jennings,None,6/8/14,TAINT,0.0
1807,Lauren Blakely,Lauren Blakely,None,6/1/14,AFTER THIS NIGHT,0.0
1808,Roc,Jim Butcher,None,6/1/14,FOOL MOON,0.0
1809,Roc,Jim Butcher,None,6/1/14,GRAVE PERIL,0.0
1810,Putnam,Ace Atkins,NA,5/25/14,ROBERT B. PARKER'S CHEAP SHOT,0.0
1811,Ace,Charlaine Harris,1101598794.0,5/25/14,MIDNIGHT CROSSROAD,0.0
1812,Simon & Schuster,Mary Higgins Clark,1476749108.0,5/18/14,I'VE GOT YOU UNDER MY SKIN,0.0
1813,Stacy Borel,Stacy Borel,NA,5/18/14,BENDER,0.0
1814,Laurelin Paige,Laurelin Paige,991379640.0,5/18/14,THE FIXED TRILOGY,0.0
1815,Berkley,Nora Roberts,None,5/11/14,SHADOW SPELL,0.0
1816,HarperCollins Publishers,Barbara Kingsolver,62124285.0,5/11/14,FLIGHT BEHAVIOR,0.0
1817,Putnam,Stuart Woods,None,5/11/14,CARNAL CURIOSITY,0.0
1818,Lauren Blakely,Lauren Blakely,None,5/4/14,NIGHT AFTER NIGHT,0.0
1819,J.B. Salsbury,JB Salsbury,None,5/4/14,FIGHTING TO FORGET,0.0
1820,Open Road Media,Michael Ponsor,1480441929.0,5/4/14,THE HANGING JUDGE,0.0
1821,Black Oak Books,Shayla Black and Lexi Blake,None,5/4/14,THEIR VIRGIN SECRETARY,0.0
1822,Touchstone,Philippa Gregory,743298543.0,4/27/14,THE BOLEYN INHERITANCE,0.0
1823,New American Library,J R Ward,NA,4/27/14,THE KING,0.0
1824,WGW,Whitney Gracia Williams,990317005.0,4/27/14,REASONABLE DOUBT,0.0
1825,Atlantic Monthly Press,Donna Leon,802192505.0,4/20/14,BY ITS COVER,0.0
1826,Morrow,Ted Bell,62279408.0,4/20/14,WARRIORS,0.0
1827,Delacorte,Danielle Steel,None,4/20/14,POWER PLAY,0.0
1828,Minotaur,Nevada Barr,1466841680.0,4/20/14,DESTROYER ANGEL,0.0
1829,St. Martin's Griffin,Kylie Scott,None,4/20/14,PLAY,0.0
1830,Harlequin HQN,Lori Foster,1460328639.0,4/13/14,DASH OF PERIL,0.0
1831,Harlequin HQN,Kristan Higgins,NA,4/13/14,WAITING ON YOU,0.0
1832,Silhouette,Nora Roberts,None,4/13/14,THE RETURN OF RAFE MACKADE,0.0
1833,Tyndale,Joel C Rosenberg,NA,4/6/14,THE AUSCHWITZ ESCAPE,0.0
1834,InterMix,Jennifer Ashley,None,4/6/14,FERAL HEAT,0.0
1835,Grand Central Publishing,David Baldacci,1455557285.0,4/6/14,BULLSEYE,0.0
1836,Ace,Patricia Briggs,NA,4/6/14,NIGHT BROKEN,0.0
1837,Putnam,Clive Cussler and Justin Scott,698140737.0,4/6/14,THE BOOTLEGGER,0.0
1838,Harlequin Mira,Ron Carr,None,3/30/14,THE CHANCE,0.0
1839,Random House,Anna Quindlen,812995759.0,3/30/14,STILL LIFE WITH BREAD CRUMBS,0.0
1840,Excessica,Skye Eagleday,None,3/30/14,"FATED MATES, THE ALPHA SHIFTER BOXED SET",0.0
1841,Putnam,J D Robb,None,3/30/14,CONCEALED IN DEATH,0.0
1842,Tawny Weber,Tawny Weber,None,3/23/14,LUCKY 7 BAD BOYS CONTEMPORARY ROMANCE BOXED SET,0.0
1843,Rachel Van Dyken,Rachel Van Dyken,None,3/23/14,TOXIC,0.0
1844,Steel Magnolia Press,"Diane Capri, J Carson Black and others",None,3/23/14,DEADLY DOZEN,0.0
1845,Putnam,Randy Wayne White,NA,3/23/14,BONE DEEP,0.0
1846,Raine Miller,Raine Miller,None,3/16/14,RARE AND PRECIOUS THINGS,0.0
1847,Avon,Laura Kaye,62267914.0,3/16/14,HARD AS YOU CAN,0.0
1848,Harlequin Mira,Susan Mallery,1460327047.0,3/16/14,EVENING STARS,0.0
1849,Signet,Lisa Gardner,None,3/16/14,TOUCH AND GO,0.0
1850,Helen Cooper,JS Cooper and Helen Cooper,None,3/9/14,THE EX GAMES 2,0.0
1851,Mariner,Mark Helprin,547543867.0,3/9/14,WINTER'S TALE,0.0
1852,Helen Cooper,JS Cooper and Helen Cooper,None,3/9/14,THE EX GAMES 3,0.0
1853,Tor/Tom Doherty,Orson Scott Card,142996393X,3/9/14,ENDER'S GAME,0.0
1854,"Little, Brown",James Patterson and Emily Raymond,316207020.0,3/2/14,FIRST LOVE,0.0
1855,Entangled: Brazen,Tessa Bailey,None,2/23/14,STAKING HIS CLAIM,0.0
1856,Berkley,Jaci Burton,NA,2/23/14,MELTING THE ICE,0.0
1857,Putnam,Tom Clancy with Mark Greaney,NA,2/16/14,COMMAND AUTHORITY,0.0
1858,Dutton,Lisa Gardner,None,2/16/14,FEAR NOTHING,0.0
1859,Kensington,Joanne Fluke,None,2/9/14,CHOCOLATE CHIP COOKIE MURDER,0.0
1860,St. Martin's Press,Sarah Addison Allen,1250019818.0,2/9/14,LOST LAKE,0.0
1861,"Little, Brown",Michael Connelly,316069507.0,2/9/14,THE GODS OF GUILT,0.0
1862,Putnam,Stuart Woods,None,2/9/14,STANDUP GUY,0.0
1863,Harper,Mitch Albom,62294377.0,2/2/14,THE FIRST PHONE CALL FROM HEAVEN,0.0
1864,"Little, Brown",Michael Connelly,None,2/2/14,SWITCHBLADE,0.0
1865,Bantam,Janet Evanovich,345542908.0,2/2/14,TAKEDOWN TWENTY,0.0
1866,Laurelin Paige,Laurelin Paige,None,2/2/14,FOREVER WITH YOU,0.0
1867,Bantam,Dean Koontz,345539656.0,1/26/14,INNOCENCE,0.0
1868,Morrow,J Lynn,62294768.0,1/26/14,WAIT FOR YOU,0.0
1869,Forever,Jessica Sorensen,None,1/26/14,THE DESTINY OF VIOLET & LUKE (CALLIE & KAYDEN),0.0
1870,Scribner,Stephen King,147672766X,1/19/14,DOCTOR SLEEP,0.0
1871,Morrow,Joe Hill,62200593.0,1/19/14,NOS4A2,0.0
1872,Berkley,Nora Roberts,None,1/19/14,DARK WITCH,0.0
1873,Riverhead,Khaled Hosseini,None,1/12/14,AND THE MOUNTAINS ECHOED,0.0
1874,Dutton,Harlan Coben,None,1/12/14,SIX YEARS,0.0
1875,Putnam,Patricia Cornwell,None,1/5/14,DUST,0.0
1876,Random House,George R R Martin,553582011.0,1/5/14,A DANCE WITH DRAGONS,0.0
1877,Doubleday,John Grisham,345530578.0,1/5/14,THE RACKETEER,0.0
1878,Laree Bailey Press,H M Ward,None,12/29/13,THE ARRANGEMENT 12,0.0
1879,Bantam,George R R Martin,345535537.0,12/22/13,A GAME OF THRONES: FIVE-BOOK SET,0.0
1880,Avon,Sarah MacLean,NA,12/15/13,NO GOOD DUKE GOES UNPUNISHED,0.0
1881,Berkley,Kay Hooper,None,12/15/13,HOSTAGE,0.0
1882,Kelly Elliott,Kelly Elliott,None,12/15/13,BROKEN,0.0
1883,"HTJB, Inc.",Marie Force,None,12/8/13,MEANT FOR LOVE,0.0
1884,Putnam,Clive Cussler with Jack Du Brul,NA,12/8/13,MIRAGE,0.0
1885,Nicole Edwards,Nicole Edwards,None,12/8/13,HOLIDAYS WITH THE WALKER BROTHERS,0.0
1886,Oak Press,Bella Andre,None,12/8/13,IT MUST BE YOUR LOVE,0.0
1887,Simon & Schuster,Martin Cruz Smith,1439153183.0,12/1/13,TATIANA,0.0
1888,Random House,Fannie Flagg,1400065941.0,12/1/13,THE ALL-GIRL FILLING STATION'S LAST REUNION,0.0
1889,Algonquin Books,Caroline Leavitt,None,12/1/13,IS THIS TOMORROW,0.0
1890,Harper,Wally Lamb,NA,12/1/13,WE ARE WATER,0.0
1891,Forever,Kristen Ashley,None,11/24/13,JAGGED,0.0
1892,Delacorte,Danielle Steel,345539680.0,11/24/13,WINNERS,0.0
1893,Berkley,Jill Shalvis,None,11/24/13,RUMOR HAS IT,0.0
1894,Grand Central,Scott Turow,NA,11/24/13,IDENTICAL,0.0
1895,Laree Bailey Press,H M Ward,1630350028.0,11/17/13,THE ARRANGEMENT 11,0.0
1896,Jove,Nalini Singh,None,11/17/13,ARCHANGEL'S LEGION,0.0
1897,Putnam,John Sandford,NA,11/17/13,STORM FRONT,0.0
1898,Harlequin HQN,Kristan Higgins,None,11/17/13,THE PERFECT MATCH,0.0
1899,William Morrow Impulse,J Lynn,None,11/10/13,TRUST IN ME,0.0
1900,Forever,Rachel Van Dyken,None,11/10/13,THE WAGER,0.0
1901,Knopf,Helen Fielding,385350872.0,11/10/13,BRIDGET JONES: MAD ABOUT THE BOY,0.0
1902,Viking,Elizabeth Gilbert,None,11/3/13,THE SIGNATURE OF ALL THINGS,0.0
1903,"Little, Brown",Eleanor Catton,NA,11/3/13,THE LUMINARIES,0.0
1904,Putnam,Stuart Woods,NA,11/3/13,DOING HARD TIME,0.0
1905,Marian Wood/Putnam,Sue Grafton,1101636459.0,10/27/13,W IS FOR WASTED,0.0
1906,Kathleen Brooks,Kathleen Brooks,988210886.0,10/27/13,SECRETS COLLIDE,0.0
1907,Touchstone,Lee Child,1451684789.0,10/27/13,INHERIT THE DEAD,0.0
1908,Knopf,Jhumpa Lahiri,385350406.0,10/27/13,THE LOWLAND,0.0
1909,Center Street,Nelson DeMille,1455576425.0,10/20/13,THE QUEST,0.0
1910,Grand Central,Sandra Brown,None,10/20/13,DEADLINE,0.0
1911,Putnam,J D Robb,None,10/20/13,THANKLESS IN DEATH,0.0
1912,Putnam,Catherine Coulter and JT Ellison,NA,10/20/13,THE FINAL CUT,0.0
1913,Harlequin HQN,Lori Foster,1460319559.0,10/13/13,GETTING ROWDY,0.0
1914,Laree Bailey Press,HM Ward,None,10/13/13,THE ARRANGEMENT 10,0.0
1915,Jove,JD Robb and others,None,10/13/13,"MIRROR, MIRROR",0.0
1916,Putnam,Clive Cussler and Thomas Perry,NA,10/6/13,THE MAYAN SECRETS,0.0
1917,Penguin,A S A Harrison,NA,9/29/13,THE SILENT WIFE,0.0
1918,Gallery,Lisa Renee Jones,1476727244.0,9/29/13,REVEALING US,0.0
1919,Gallery Books,Christina Lauren,None,9/22/13,BEAUTIFUL BOMBSHELL,0.0
1920,Grand Central Publishing,Sandra Brown,145554647X,9/22/13,ENVY,0.0
1921,Delacorte,Lee Child,None,9/22/13,HIGH HEAT,0.0
1922,Forever,Jessica Sorensen,1455582727.0,9/22/13,BREAKING NOVA,0.0
1923,Rachel Van Dyken,Rachel Van Dyken,None,9/15/13,RUIN,0.0
1924,Indie Six,Elisabeth Naughton and others,988986221.0,9/15/13,WICKED FIRSTS,0.0
1925,Harper,Daniel Silva,62073206.0,9/8/13,THE ENGLISH GIRL,0.0
1926,Putnam,Frederick Forsyth,NA,9/8/13,THE KILL LIST,0.0
1927,Hugh Howey,Hugh Howey,NA,9/8/13,DUST,0.0
1928,Kristen Ashley,Kristen Ashley,None,9/1/13,ROCK CHICK REVOLUTION,0.0
1929,"Little, Brown",James Patterson and Howard Roughan,316211192.0,9/1/13,SECOND HONEYMOON,0.0
1930,Seth Clarke,Jasinda Wilder,NA,9/1/13,STRIPPED,0.0
1931,Emily Bestler/Atria,Brad Thor,1476717117.0,9/1/13,HIDDEN ORDER,0.0
1932,Algonquin,Irene Zatko,None,8/25/13,THE SKY UNWASHED,0.0
1933,Forever,Jessica Sorensen,None,8/25/13,THE REDEMPTION OF CALLIE AND KAYDEN,0.0
1934,Morrow/HarperCollins,Faye Kellerman,62121774.0,8/25/13,THE BEAST,0.0
1935,"Little, Brown & Company",J K Rowling,316228583.0,8/25/13,THE CASUAL VACANCY,0.0
1936,Morrow/HarperCollins,Neil Gaiman,None,8/18/13,THE OCEAN AT THE END OF THE LANE,0.0
1937,Laree Bailey Press,H M Ward,985547367.0,8/18/13,THE ARRANGEMENT 9: THE FERRO FAMILY,0.0
1938,Grand Central,Sandra Brown,1455546445.0,8/11/13,THE WITNESS,0.0
1939,S.L. Jennings,SL Jennings,None,8/11/13,FEAR OF FALLING,0.0
1940,Knopf,Carl Hiaasen,NA,8/11/13,BAD MONKEY,0.0
1941,Berkley,Sylvia Day,None,8/4/13,ENTWINED WITH YOU,0.0
1942,Spencer Hill Contemporary,J Lynn,1939392748.0,8/4/13,FRIGID,0.0
1943,Golden Unicorn,J S Scott,1939962013.0,8/4/13,THE BILLIONAIRE'S OBSESSION,0.0
1944,Touchstone,J A Jance,1451628706.0,8/4/13,DEADLY STAKES,0.0
1945,J.C. Reed,JC Reed,None,7/28/13,SURRENDER YOUR LOVE,0.0
1946,Laree Bailey,H M Ward,985547340.0,7/21/13,DAMAGED 2,0.0
1947,Vintage,Jo Nesbo,NA,7/21/13,THE BAT,0.0
1948,J.C. Reed,JC Reed,None,7/21/13,CONQUER YOUR LOVE,0.0
1949,"Reagan Arthur/Little, Brown",Elin Hilderbrand,316227188.0,7/21/13,BEAUTIFUL DAY,0.0
1950,Zebra,Fern Michaels,None,7/14/13,GOTCHA!,0.0
1951,Avon,Stephanie Laurens,None,7/14/13,THE TAMING OF RYDER CAVANAUGH,0.0
1952,"Little, Brown",Michael Connelly,759514712.0,7/7/13,THE LINCOLN LAWYER,0.0
1953,Scribner,Jeannette Walls,NA,7/7/13,THE SILVER STAR,0.0
1954,Simon & Schuster,Lauren Weisberger,1439146950.0,7/7/13,REVENGE WEARS PRADA,0.0
1955,Threshold Editions,Glenn Beck,1451635834.0,6/30/13,THE EYE OF MOLOCH,0.0
1956,Grand Central,Jeffery Deaver,1455517070.0,6/30/13,THE KILL ROOM,0.0
1957,"Little, Brown",James Patterson and Maxine Paetro,NA,6/30/13,12TH OF NEVER,0.0
1958,Putnam,John Sandford,None,6/30/13,SILKEN PREY,0.0
1959,Harlequin Mira,Sherryl Woods,778314464.0,6/23/13,SEA GLASS ISLAND,0.0
1960,Putnam,Clive Cussler and Graham Brown,None,6/23/13,ZERO HOUR,0.0
1961,Bantam,Janet Evanovich and Lee Goldberg,None,6/16/13,PROS AND CONS,0.0
1962,Ace,Charlaine Harris,None,6/16/13,DEAD EVER AFTER,0.0
1963,Harlequin HQN,Susan Mallery,None,6/16/13,JUST ONE KISS,0.0
1964,Ballantine,Meg Waite Clayton,345507843.0,6/9/13,THE WEDNESDAY SISTERS,0.0
1965,Cassia Leo,Cassia Leo,None,6/9/13,PIECES OF YOU,0.0
1966,Morrow,Molly McAdams,None,6/9/13,STEALING HARPER,0.0
1967,Grand Central,Sandra Brown,1455546313.0,6/9/13,FRENCH SILK,0.0
1968,M. Leighton,M Leighton,None,6/2/13,UNTIL I BREAK,0.0
1969,Grand Central,Nicholas Sparks,446574244.0,6/2/13,SAFE HAVEN,0.0
1970,Katy Evans,Katy Evans,None,5/26/13,REAL,0.0
1971,Simon & Schuster,Mary Higgins Clark,1451668961.0,5/26/13,DADDY'S GONE A HUNTING,0.0
1972,St. Martin's,Kristin Hannah,None,5/26/13,FLY AWAY,0.0
1973,HQN,Lori Foster,None,5/19/13,BARE IT ALL,0.0
1974,Harlequin Mira,Susan Wiggs,None,5/19/13,THE APPLE ORCHARD,0.0
1975,"Little, Brown",James Patterson,316097527.0,5/12/13,"ALEX CROSS, RUN",0.0
1976,"Little, Brown",Kate Atkinson,316230804.0,5/12/13,LIFE AFTER LIFE,0.0
1977,Emily Bestler/Atria,Jodi Picoult,1439149704.0,5/12/13,THE STORYTELLER,0.0
1978,Random House,Elizabeth Strout,812984617.0,5/12/13,THE BURGESS BOYS,0.0
1979,Oak Press,Bella Andre,None,3/24/13,ALWAYS ON MY MIND,0.0
1980,Random House Publishing,Lara Adrian,345532619.0,3/17/13,EDGE OF DAWN,0.0
1981,Random House Publishing,Debbie Macomber,None,3/17/13,HEARTSONG,0.0
1982,HarperCollins Publishers,John Irving,62235184.0,3/10/13,THE CIDER HOUSE RULES,0.0
1983,Gallery Books,Christina Lauren,None,3/10/13,BEAUTIFUL BASTARD,0.0
1984,"Little, Brown & Company",James Patterson and Mark Sullivan,NA,3/10/13,PRIVATE BERLIN,0.0
1985,Crown Publishing,Herman Koch,None,3/10/13,THE DINNER,0.0
1986,Lisa Renee Jones,Lisa Renee Jones,None,3/10/13,"TALL, DARK AND DEADLY",0.0
1987,Penguin Group,Robert Crais,None,3/3/13,SUSPECT,0.0
1988,Crown Publishing,Taylor Stevens,307717119.0,3/3/13,THE INFORMATIONIST,0.0
1989,Random House Publishing,George Saunders,812993802.0,3/3/13,TENTH OF DECEMBER,0.0
1990,Sapphire Star Publishing,A L Jackson,1938404505.0,3/3/13,LOST TO YOU,0.0
1991,Gail McHugh,Gail McHugh,None,2/24/13,COLLIDE,0.0
1992,Oak Press,Lucy Kevin,1938127250.0,2/24/13,FOUR WEDDINGS AND A FIASCO BOXED SET,0.0
1993,Simon & Schuster,Isaac Marion,1439192332.0,2/24/13,WARM BODIES,0.0
1994,Simon & Schuster,Sister Souljah,1439165343.0,2/17/13,A DEEPER LOVE INSIDE,0.0
1995,Jessica Sorensen,Jessica Sorensen,None,2/17/13,THE COINCIDENCE OF CALLIE AND KAYDEN,0.0
1996,Revell,Lorena McCourtney,1441238220.0,2/17/13,DYING TO READ,0.0
1997,Penguin Group,Sylvia Day,None,2/10/13,REFLECTED IN YOU,0.0
1998,Simon & Schuster,Glenn Beck with Harriet Parke,1476717001.0,2/3/13,AGENDA 21,0.0
1999,HarperCollins Publishers,James Rollins and Rebecca Cantrell,62235753.0,1/27/13,THE BLOOD GOSPEL,0.0
2000,Grand Central Publishing,James Patterson and Mark Pearson,1455515531.0,1/27/13,PRIVATE LONDON,0.0
2001,Random House Publishing,Janet Evanovich,345527755.0,1/20/13,NOTORIOUS NINETEEN,0.0
2002,Penguin Group,Tom Clancy with Mark Greaney,NA,1/20/13,THREAT VECTOR,0.0
2003,Simon & Schuster,Stephen King,1439168032.0,1/13/13,"UNDER THE DOME, PART 1",0.0
2004,Algonquin,Sara Gruen,1565125851.0,1/13/13,WATER FOR ELEPHANTS,0.0
2005,FaithWords,Wm Paul Young,145551604X,1/6/13,CROSS ROADS,0.0
2006,Knopf Doubleday Publishing,Ayana Mathis,385350287.0,1/6/13,THE TWELVE TRIBES OF HATTIE,0.0
2007,Hyperion Press,Mitch Albom,1401322786.0,1/6/13,THE TIME KEEPER,0.0
2008,HarperCollins Publishers,Louise Erdrich,62065246.0,12/30/12,THE ROUND HOUSE,0.0
2009,Penguin Group,Jim Butcher,451464400.0,12/23/12,COLD DAYS,0.0
2010,Penguin Group,Ken Follett,525952926.0,12/23/12,WINTER OF THE WORLD,0.0
2011,Penguin Group,Nora Roberts,None,12/23/12,THE PERFECT HOPE,0.0
2012,Random House Publishing,Kevin Hearne,345535626.0,12/16/12,TRAPPED,0.0
2013,Raine Miller Romance,Raine Miller,None,12/9/12,NAKED,0.0
2014,Penguin Group,Clive Cussler and Dirk Cussler,NA,12/9/12,POSEIDON'S ARROW,0.0
2015,Grand Central Publishing,Nelson DeMille,1455518379.0,12/2/12,THE PANTHER,0.0
2016,Samhain Publishing,Cherrie Lynn,None,12/2/12,LEAVE ME BREATHLESS,0.0
2017,Random House Publishing,Danielle Steel,None,11/25/12,THE SINS OF THE MOTHER,0.0
2018,Random House Publishing,David Mitchell,375507256.0,11/25/12,CLOUD ATLAS,0.0
2019,Laurann Dohner,Laurann Dohner,None,11/18/12,SHADOW,0.0
2020,Cora Carmack,Cora Carmack,None,11/18/12,LOSING IT,0.0
2021,"Little, Brown & Company",Michael Connelly,316233684.0,11/18/12,THE SAFE MAN,0.0
2022,Random House Publishing,Debbie Macomber,345535960.0,11/11/12,ANGELS AT THE TABLE,0.0
2023,M. Leighton,M Leighton,None,11/11/12,DOWN TO YOU,0.0
2024,S.H. Kolee,SH Kolee,None,11/4/12,LOVE LEFT BEHIND,0.0
2025,Penguin Group,Ken Follett,None,10/28/12,FALL OF GIANTS,0.0
2026,HarperCollins Publishers,Dennis Lehane,62200291.0,10/28/12,LIVE BY NIGHT,0.0
2027,Grand Central Publishing,Sandra Brown,1455501530.0,10/28/12,LOW PRESSURE,0.0
2028,Knopf Doubleday Publishing,Jo Nesbo,030796048X,10/28/12,PHANTOM,0.0
2029,HarperCollins Publishers,Stephanie Laurens,62066269.0,10/14/12,THE LADY RISKS ALL,0.0
2030,Penguin Group,J D Robb,None,10/14/12,DELUSION IN DEATH,0.0
2031,Random House Publishing,Maya Banks,345536037.0,10/14/12,NEVER SEDUCE A SCOT,0.0
2032,Penguin Group,Stuart Woods,None,10/14/12,SEVERE CLEAR,0.0
2033,Tom Doherty Associates,David Weber,1429944684.0,10/7/12,MIDST TOIL AND TRIBULATION,0.0
2034,Penguin Group,Amor Towles,None,10/7/12,RULES OF CIVILITY,0.0
2035,Penguin Group,Clive Cussler and Thomas Perry,None,10/7/12,THE TOMBS,0.0
2036,Entangled Publishing,Katee Robert,None,10/7/12,"WRONG BED, RIGHT GUY",0.0
2037,Penguin Group,Michael Brandman,None,9/30/12,ROBERT B. PARKER'S FOOL ME TWICE,0.0
2038,Penguin Group,Beth Kery,None,9/30/12,BECAUSE YOU ARE MINE PART VII,0.0
2039,Random House Publishing,Tess Gerritsen,345535952.0,9/30/12,LAST TO DIE,0.0
2040,St. Martin's Press,Emily Giffin,1429957867.0,9/23/12,WHERE WE BELONG,0.0
2041,Berkley,Nalini Singh,None,9/23/12,ARCHANGEL’S STORM,0.0
2042,Simon & Schuster,Jamie McGuire,1476712050.0,9/23/12,BEAUTIFUL DISASTER,0.0
2043,Kensington Publishing,G A Aiken,1420131001.0,9/23/12,HOW TO DRIVE A DRAGON CRAZY,0.0
2044,Berkley,Nalini Singh,None,9/23/12,ARCHANGEL�۪S STORM,0.0
2045,Pocket Books,Jude Deveraux,None,9/16/12,STRANGER IN THE MOONLIGHT,0.0
2046,Penguin Group,Beth Kery,None,9/16/12,BECAUSE YOU ARE MINE PART V,0.0
2047,Simon & Schuster,Brad Thor,1439193061.0,9/16/12,BLACK LIST,0.0
2048,Penguin Group,Beth Kerry,1101608528.0,9/9/12,BECAUSE YOU ARE MINE PART IV,0.0
2049,Grand Central Publishing,David Baldacci,446573027.0,9/9/12,ZERO DAY,0.0
2050,Delacorte Press,Lee Child,None,9/9/12,DEEP DOWN,0.0
2051,Random House Publishing,Dean Koontz,345533585.0,9/9/12,ODD APOCALYPSE,0.0
2052,"Little, Brown & Company",James Patterson and Michael Ledwidge,316097470.0,9/2/12,"I, MICHAEL BENNETT",0.0
2053,Penguin Group,W E B Griffin and William E Butterworth IV,None,8/26/12,THE SPYMASTERS,0.0
2054,HarperCollins Publishers,Daniel Silva,62073176.0,8/26/12,THE FALLEN ANGEL,0.0
2055,Random House Publishing,Danielle Steel,345533569.0,8/26/12,FRIENDS FOREVER,0.0
2056,HarperCollins Publishers,Lynsay Sands,None,8/19/12,THE LADY IS A VAMP,0.0
2057,Grand Central Publishing,Jill Shalvis,1455503703.0,8/19/12,FOREVER AND A DAY,0.0
2058,Penguin Group,Kay Hooper,NA,8/19/12,HAVEN,0.0
2059,Random House Publishing,John Grisham,034553056X,8/12/12,THE LITIGATORS,0.0
2060,Penguin Group,Catherine Coulter,None,8/12/12,BACKFIRE,0.0
2061,Rerum Publishing House,R L Mathewson,None,8/12/12,PLAYING FOR KEEPS,0.0
2062,St. Martin's Press,Iris Johansen and Roy Johansen,None,8/5/12,CLOSE YOUR EYES,0.0
2063,Atria Books,Jennifer Weiner,1451617771.0,8/5/12,THE NEXT BEST THING,0.0
2064,Penguin Group,Deborah Harkness,None,8/5/12,A DISCOVERY OF WITCHES,0.0
2065,Random House Publishing,Karin Slaughter,345528514.0,7/29/12,CRIMINAL,0.0
2066,Penguin Group,Linda Fairstein,NA,7/29/12,NIGHT WATCH,0.0
2067,"Little, Brown & Company",Elin Hilderbrand,316202479.0,7/22/12,SUMMERLAND,0.0
2068,"Little, Brown & Company",James Patterson and Maxine Paetro,316097489.0,7/22/12,11TH HOUR,0.0
2069,HarperCollins Publishers,James Rollins,62194909.0,7/22/12,BLOODLINE,0.0
2070,Grand Central Publishing,David Baldacci,446573000.0,7/22/12,THE INNOCENT,0.0
2071,Random House Publishing,Karen Thompson Walker,679644385.0,7/22/12,THE AGE OF MIRACLES,0.0
2072,HQN,Gena Showalter,None,7/15/12,WICKED NIGHTS,0.0
2073,Knopf Doubleday Publishing,John Grisham,385536089.0,7/8/12,CALICO JOE,0.0
2074,Berkley,Nora Roberts,None,7/8/12,THE LAST BOYFRIEND,0.0
2075,Penguin Group,Clive Cussler and Graham Brown,NA,7/8/12,THE STORM,0.0
2076,Grand Central Publishing,Nicholas Sparks,446542180.0,7/8/12,THE LUCKY ONE,0.0
2077,Kensington,Lisa Jackson,NA,7/1/12,AFRAID TO DIE,0.0
2078,Random House Publishing,Karin Slaughter,345538161.0,6/24/12,SNATCHED,0.0
2079,Random House Publishing,George R R Martin,055389787X,6/24/12,A STORM OF SWORDS,0.0
2080,Putnam,Nora Roberts,None,6/17/12,THE WITNESS,0.0
2081,Random House Publishing,Janet Evanovich,345527739.0,6/10/12,EXPLOSIVE EIGHTEEN,0.0
2082,Random House Publishing,Steve Berry,345526538.0,6/10/12,THE COLUMBUS AFFAIR,0.0
2083,Grand Central Publishing,Larissa Ione,1455511153.0,6/10/12,LETHAL RIDER,0.0
2084,Simon & Schuster,John Irving,145166415X,6/3/12,IN ONE PERSON,0.0
2085,Hyperion Press,Richard Castle,1401394760.0,5/27/12,HEAT WAVE,0.0
2086,"Little, Brown & Company",James Patterson and David Ellis,316097578.0,5/27/12,GUILTY WIVES,0.0
2087,Harlequin,Ron Carr,778313174.0,5/20/12,SUNRISE POINT,0.0
2088,Hyperion,Richard Castle,None,5/20/12,A BREWING STORM,0.0
2089,Penguin Group,Ace Atkins,NA,5/20/12,ROBERT B. PARKER’S LULLABY,0.0
2090,Knopf Doubleday Publishing,Stieg Larsson,307593673.0,5/20/12,THE GIRL WHO KICKED THE HORNET’S NEST,0.0
2091,Penguin Group,Ace Atkins,NA,5/20/12,ROBERT B. PARKER�۪S LULLABY,0.0
2092,Knopf Doubleday Publishing,Stieg Larsson,307593673.0,5/20/12,THE GIRL WHO KICKED THE HORNET�۪S NEST,0.0
2093,Random House Publishing,Kevin Hearne,345534638.0,5/13/12,TRICKED,0.0
2094,Simon & Schuster,Mary Higgins Clark,1451668937.0,5/6/12,THE LOST YEARS,0.0
2095,St. Martin's Press,Jeffrey Archer,1429954027.0,5/6/12,A MATTER OF HONOR,0.0
