id,Publisher,Author,Primary ISBN10,Date,Title,Weeks on list
1559,Putnam,Mark Greaney,698410610.0,1/17/16,TOM CLANCY: COMMANDER IN CHIEF,0.0
1560,Riverhead,Lauren Groff,1594634475.0,1/10/16,FATES AND FURIES,0.0
1561,Bantam,George R R Martin,345533488.0,1/10/16,A KNIGHT OF THE SEVEN KINGDOMS,0.0
1562,Delacorte,Danielle Steel,345531035.0,12/27/15,PRECIOUS GIFTS,0.0
1563,Mariner,Philip K Dick,547572484.0,12/27/15,THE MAN IN THE HIGH CASTLE,0.0
1564,Gallery,Kresley Cole,1451650043.0,12/20/15,SWEET RUIN,0.0
1565,Silhouette,Nora Roberts,146034278X,12/13/15,NIGHT MOVES,0.0
1566,Putnam,Clive Cussler and Graham Brown,399174117.0,12/13/15,THE PHARAOH'S SECRET,0.0
1567,Atria,Isabel Allende,1501117009.0,12/13/15,THE JAPANESE LOVER,0.0
1568,Tor,Terry Goodkind,1466890401.0,12/6/15,WARHEART,0.0
1569,Putnam,Robert Crais,NA,12/6/15,THE PROMISE,0.0
1570,Open Road Media,Alice Hoffman,1453206361.0,12/6/15,SEVENTH HEAVEN,0.0
1571,Ampersand,Kristen Pro,163350008X,11/29/15,EASY MELODY,0.0
1572,St. Martin's,Sherrilyn Kenyon,1466840951.0,11/22/15,BORN OF BETRAYAL,0.0
1573,Minotaur,Allison Brennan,1466870036.0,11/22/15,NO GOOD DEED,0.0
1574,DGS,Denise Grover Swank,1939996341.0,11/22/15,THIRTY-FIVE AND A HALF CONSIPIRACIES,0.0
1575,Bantam,Dean Koontz,None,11/15/15,FINAL HOUR,0.0
1576,Ballantine,Tess Gerritsen,None,11/15/15,PLAYING WITH FIRE,0.0
1577,Random House,David Mitchell,812998685.0,11/15/15,SLADE HOUSE,0.0
1578,Zebra,Fern Michaels,1420136666.0,11/15/15,WISHES FOR CHRISTMAS,0.0
1579,Berkley,Kay Hooper,None,11/8/15,FEAR THE DARK,0.0
1580,Harper,Michael Crichton,61938742.0,11/8/15,PIRATE LATITUDES,0.0
1581,Doubleday,John Grisham,345543254.0,11/8/15,GRAY MOUNTAIN,0.0
1582,Harper,Adriana Trigiani,62319213.0,11/1/15,ALL THE STARS IN THE HEAVENS,0.0
1583,Berkley,Nora Roberts,None,11/1/15,DANCE UPON THE AIR,0.0
1584,"Little, Brown",Elin Hilderbrand,316261122.0,11/1/15,WINTER STROLL,0.0
1585,Mira,Sherryl Woods,778317668.0,10/25/15,WILLOW BROOK ROAD,0.0
1586,Berkley,Jill Shalvis,None,10/25/15,ALL I WANT,0.0
1587,Putnam,Jan Karon,399167455.0,10/25/15,COME RAIN OR COME SHINE,0.0
1588,Vintage,E L James,1101946342.0,10/25/15,GREY,0.0
1589,HQN,Susan Mallery,146039092X,10/18/15,MARRY ME AT CHRISTMAS,0.0
1590,Zebra,Fern Michaels,None,10/18/15,DOUBLE DOWN,0.0
1591,Putnam,Catherine Coulter and J T Ellison,None,10/11/15,THE END GAME,0.0
1592,Bantam,Sarah Addison Allen,553906542.0,10/11/15,THE GIRL WHO CHASED THE MOON,0.0
1593,Bantam,Janet Evanovich and Lee Goldberg,345543181.0,10/11/15,THE SCAM,0.0
1594,Forge,William R Forstchen,1466851899.0,10/4/15,ONE YEAR AFTER,0.0
1595,Gallery,Christina Lauren,1476777950.0,10/4/15,DARK WILD NIGHT,0.0
1596,Kingswell,Richard Castle,None,10/4/15,DRIVING HEAT,0.0
1597,Delacorte,Lee Child,None,9/27/15,SMALL WARS,0.0
1598,Susan Stoker,Susan Stoker,None,9/27/15,PROTECTING MELODY,0.0
1599,Delacorte,Danielle Steel,None,9/27/15,UNDERCOVER,0.0
1600,Ellora's Cave,Laurann Dohner,None,9/27/15,NUMBERS,0.0
1601,Kristen Ashley,Kristen Ashley,None,9/20/15,HOLD ON,0.0
1602,Mira,Ron Carr,778317498.0,9/20/15,WILDEST DREAMS,0.0
1603,Jove,Nalini Singh,None,9/20/15,ARCHANGEL'S ENIGMA,0.0
1604,Ballantine,Jonathan Kellerman,080417749X,9/13/15,THE MURDERER'S DAUGHTER,0.0
1605,HQN,Lori Foster,1460384067.0,9/13/15,TOUGH LOVE,0.0
1606,Morrow,Christopher Moore,61779784.0,9/13/15,SECONDHAND SOULS,0.0
1607,Avon,Tessa Dare,62349031.0,9/13/15,WHEN A SCOT TIES THE KNOT,0.0
1608,C. Scott Publishing,Penelope Ward and Vi Keeland,1942215215.0,9/13/15,COCKY BASTARD,0.0
1609,Jamie McGuire,Jamie McGuire,None,9/6/15,SOMETHING BEAUTIFUL,0.0
1610,Ballantine,Debbie Macomber,None,9/6/15,SILVER LININGS,0.0
1611,Simon & Schuster,Jessica Knoll,1476789657.0,9/6/15,LUCKIEST GIRL ALIVE,0.0
1612,Broadway,Gillian Flynn,307459926.0,8/30/15,DARK PLACES,0.0
1613,Del Rey,Robin Hobb,None,8/30/15,FOOL'S QUEST,0.0
1614,St. Martin's,Lisa Scottoline,NA,8/30/15,ACCUSED,0.0
1615,Laree Bailey,H M Ward,1630350745.0,8/30/15,THE ARRANGEMENT 20,0.0
1616,Pepper Winters,Pepper Winters,None,8/30/15,FOURTH DEBT,0.0
1617,"Little, Brown",Elin Hilderbrand,316334502.0,8/23/15,THE RUMOR,0.0
1618,Pitch73,Leylah Attar,None,8/23/15,THE PAPER SWAN,0.0
1619,Story Ink,Cora Seton and others,None,8/23/15,12-ALARM COWBOYS,0.0
1620,Harper,Daniel Silva,62320157.0,8/23/15,THE ENGLISH SPY,0.0
1621,Simon & Schuster,Alice Hoffman,1451693613.0,8/23/15,THE MARRIAGE OF OPPOSITES,0.0
1622,Evil Eye Concepts,Cherise Sinclair,1940887917.0,8/16/15,SERVICING THE TARGET,0.0
1623,Mira,Heather Graham,None,8/16/15,THE FORGOTTEN,0.0
1624,"Little, Brown",James Patterson and Howard Roughan,316408735.0,8/16/15,TRUTH OR DIE,0.0
1625,Witness Impulse,J A Jance,62418483.0,8/9/15,STAND DOWN,0.0
1626,Putnam,Stuart Woods,None,8/9/15,NAKED GREED,0.0
1627,"Little, Brown",James Patterson and Michael Ledwidge,316097438.0,8/9/15,ZOO,0.0
1628,Knopf,Judy Blume,1101875054.0,8/9/15,IN THE UNLIKELY EVENT,0.0
1629,Amy Einhorn/Putnam,Liane Moriarty,NA,8/9/15,THE HUSBAND'S SECRET,0.0
1630,Mira,Susan Wiggs,None,8/2/15,SUMMER AT WILLOW LAKE,0.0
1631,St. Martin's,Iris Johansen and Roy Johansen,1250020557.0,8/2/15,THE NAKED EYE,0.0
1632,JA / AG Publishing,Jennifer Ashley,1941229654.0,8/2/15,BAD WOLF,0.0
1633,Scribner,Stephen King,1501100130.0,8/2/15,FINDERS KEEPERS,0.0
1634,Gallery,Katy Evans,1501101579.0,7/26/15,MANWHORE +1,0.0
1635,Susan Stoker,Susan Stoker,None,7/26/15,PROTECTING JESSYKA,0.0
1636,Ace,Anthony Ryan,1101612983.0,7/26/15,QUEEN OF FIRE,0.0
1637,Simon & Schuster,Mary Higgins Clark,1476749132.0,7/19/15,THE MELODY LINGERS ON,0.0
1638,Delacorte,Danielle Steel,None,7/12/15,COUNTRY,0.0
1639,Grand Central,Brad Meltzer,None,7/12/15,THE PRESIDENT'S SHADOW,0.0
1640,Grand Central,Nelson DeMille,145558231X,7/12/15,RADIANT ANGEL,0.0
1641,St. Martin's,Jane Green,1466847743.0,7/12/15,SUMMER SECRETS,0.0
