id,Word,Part of Speech,Per Million Words,Length
142,high,adjective,568.7,4.0
143,student,noun,566.8,7.0
144,something,pronoun,566.5,9.0
145,most,adverb,547.5,4.0
146,much,determiner,543.3,4.0
147,family,noun,540.6,6.0
148,out,preposition,538.8,3.0
149,mean,verb,538.2,4.0
150,another,determiner,534.8,7.0
151,leave,verb,534.4,5.0
152,own,determiner,534.3,3.0
153,let,verb,534.0,3.0
154,put,verb,527.7,3.0
155,on,adverb,526.6,2.0
156,old,adjective,525.7,3.0
157,why,adverb,523.2,3.0
158,while,conjunction,521.2,5.0
159,keep,verb,515.0,4.0
160,group,noun,509.9,5.0
161,talk,verb,509.8,4.0
162,big,adjective,504.8,3.0
163,hand,noun,500.5,4.0
164,great,adjective,500.0,5.0
165,country,noun,495.9,7.0
166,same,determiner,495.2,4.0
167,turn,verb,492.0,4.0
168,seem,verb,488.1,4.0
169,begin,verb,485.8,5.0
170,problem,noun,483.8,7.0
171,help,verb,480.2,4.0
172,start,verb,475.4,5.0
173,where,conjunction,475.0,5.0
174,every,article,472.8,5.0
175,might,verb,464.6,5.0
176,about,adverb,463.4,5.0
177,over,adverb,462.8,4.0
178,show,verb,462.3,4.0
179,part,noun,461.9,4.0
180,such,determiner,460.1,4.0
181,again,adverb,459.8,5.0
182,right,adverb,456.1,5.0
183,against,preposition,454.2,7.0
184,company,noun,451.9,7.0
185,place,noun,449.8,5.0
186,case,noun,446.2,4.0
187,system,noun,444.8,6.0
188,week,noun,442.8,4.0
189,few,determiner,438.4,3.0
190,most,determiner,438.0,4.0
191,each,determiner,436.7,4.0
192,hear,verb,435.7,4.0
193,program,noun,435.5,7.0
194,where,adverb,432.1,5.0
195,question,noun,426.8,8.0
196,so,conjunction,426.4,2.0
197,government,noun,425.1,10.0
198,during,preposition,423.8,6.0
199,Mr,noun,419.0,2.0
200,play,verb,418.5,4.0
201,work,noun,416.7,4.0
202,run,verb,416.3,3.0
203,number,noun,413.3,6.0
204,small,adjective,412.1,5.0
205,night,noun,410.0,5.0
206,off,adverb,408.6,3.0
207,today,adverb,408.3,5.0
208,happen,verb,406.0,6.0
209,like,verb,405.2,4.0
210,always,adverb,398.8,6.0
211,move,verb,398.6,4.0
212,believe,verb,396.4,7.0
213,point,noun,394.4,5.0
214,hold,verb,394.2,4.0
215,all,adverb,394.0,3.0
216,million,number,393.1,7.0
217,next,number,391.8,4.0
218,live,verb,391.4,4.0
219,large,adjective,390.2,5.0
220,bring,verb,387.5,5.0
221,study,noun,386.8,5.0
222,before,preposition,383.9,6.0
223,room,noun,383.3,4.0
224,without,preposition,383.2,7.0
225,must,verb,380.1,4.0
226,home,noun,378.9,4.0
227,lot,noun,376.8,3.0
228,mother,noun,376.5,6.0
229,eye,noun,375.9,3.0
230,water,noun,372.6,5.0
231,national,adjective,369.7,8.0
232,area,noun,368.5,4.0
233,money,noun,366.2,5.0
234,under,preposition,366.1,5.0
235,fact,noun,365.3,4.0
236,story,noun,363.5,5.0
237,right,noun,362.8,5.0
238,month,noun,361.5,5.0
239,different,adjective,360.9,9.0
240,write,verb,359.6,5.0
241,head,noun,355.8,4.0
242,young,adjective,355.6,5.0
243,yes,interjection,349.7,3.0
244,issue,noun,347.6,5.0
245,kind,noun,344.5,4.0
246,job,noun,343.9,3.0
247,business,noun,343.3,8.0
248,book,noun,342.3,4.0
249,word,noun,339.8,4.0
250,side,noun,339.0,4.0
251,though,conjunction,338.2,6.0
252,provide,verb,335.3,7.0
253,black,adjective,334.9,5.0
254,four,number,334.8,4.0
255,little,adjective,332.6,6.0
256,house,noun,331.7,5.0
257,long,adjective,331.2,4.0
258,far,adverb,330.3,3.0
259,sit,verb,327.1,3.0
260,both,determiner,325.2,4.0
261,game,noun,325.1,4.0
262,service,noun,324.7,7.0
263,father,noun,322.3,6.0
264,away,adverb,321.6,4.0
265,political,adjective,321.0,9.0
266,important,adjective,320.4,9.0
267,around,preposition,319.5,6.0
268,friend,noun,317.1,6.0
269,after,conjunction,316.2,5.0
270,however,adverb,316.2,7.0
271,long,adverb,315.6,4.0
272,power,noun,314.1,5.0
273,since,conjunction,313.9,5.0
274,stand,verb,313.2,5.0
275,until,conjunction,312.9,5.0
276,often,adverb,312.7,5.0
277,hour,noun,308.8,4.0
278,among,preposition,307.1,5.0
279,line,noun,302.2,4.0
280,ever,adverb,301.7,4.0
281,yet,adverb,301.1,3.0
282,bad,adjective,299.8,3.0
283,member,noun,299.4,6.0
284,president,noun,298.2,9.0
285,end,noun,298.0,3.0
286,lose,verb,298.0,4.0
287,law,noun,297.1,3.0
288,car,noun,296.8,3.0
289,include,verb,296.8,7.0
290,pay,verb,295.9,3.0
291,community,noun,295.7,9.0
292,social,adjective,295.3,6.0
293,city,noun,294.9,4.0
294,team,noun,292.2,4.0
295,meet,verb,286.1,4.0
296,almost,adverb,284.2,6.0
297,set,verb,283.0,3.0
298,information,noun,283.0,11.0
299,face,noun,282.9,4.0
300,name,noun,282.5,4.0
301,white,adjective,281.7,5.0
302,nothing,pronoun,281.6,7.0
303,minute,noun,281.5,6.0
304,later,adverb,281.1,5.0
305,kid,noun,281.0,3.0
306,right,adjective,280.6,5.0
307,once,adverb,280.5,4.0
308,continue,verb,280.1,8.0
309,much,adverb,280.1,4.0
310,five,number,279.0,4.0
311,ago,adverb,278.3,3.0
312,body,noun,278.1,4.0
313,back,noun,277.8,4.0
314,door,noun,277.8,4.0
315,watch,verb,277.7,5.0
316,best,adjective,277.4,4.0
317,learn,verb,276.3,5.0
318,real,adjective,276.0,4.0
319,several,determiner,275.6,7.0
320,least,adverb,275.5,5.0
321,change,verb,273.7,6.0
322,around,adverb,272.9,6.0
323,lead,verb,272.6,4.0
324,idea,noun,271.4,4.0
325,whether,conjunction,270.9,7.0
326,level,noun,270.5,5.0
327,stop,verb,270.0,4.0
328,understand,verb,269.7,10.0
329,anything,pronoun,267.3,8.0
330,public,adjective,266.3,6.0
331,parent,noun,265.8,6.0
332,follow,verb,265.4,6.0
333,create,verb,265.4,6.0
334,together,adverb,264.9,8.0
335,such,preposition,264.7,4.0
336,art,noun,261.9,3.0
337,add,verb,261.9,3.0
338,war,noun,261.8,3.0
339,health,noun,261.7,6.0
340,only,adjective,261.6,4.0
341,speak,verb,260.8,5.0
342,result,noun,258.4,6.0
343,sure,adjective,258.2,4.0
344,teacher,noun,258.0,7.0
345,others,noun,257.3,6.0
346,already,adverb,256.0,7.0
347,history,noun,255.3,7.0
348,allow,verb,255.3,5.0
349,research,noun,255.1,8.0
350,office,noun,255.1,6.0
351,within,preposition,254.7,6.0
352,spend,verb,254.6,5.0
353,read,verb,253.5,4.0
354,morning,noun,253.3,7.0
355,walk,verb,252.9,4.0
356,education,noun,252.7,9.0
357,person,noun,252.6,6.0
358,party,noun,251.0,5.0
359,change,noun,249.8,6.0
360,open,verb,248.6,4.0
361,win,verb,247.7,3.0
362,girl,noun,245.4,4.0
363,guy,noun,245.4,3.0
364,grow,verb,244.5,4.0
365,moment,noun,243.8,6.0
366,himself,pronoun,242.9,7.0
367,low,adjective,242.2,3.0
368,maybe,adverb,240.9,5.0
369,early,adjective,240.4,5.0
370,force,noun,240.0,5.0
371,although,conjunction,239.8,8.0
372,food,noun,239.4,4.0
373,policy,noun,239.1,6.0
374,before,conjunction,238.8,6.0
375,boy,noun,238.8,3.0
376,process,noun,238.5,7.0
377,foot,noun,238.4,4.0
378,remember,verb,237.5,8.0
379,reason,noun,237.5,6.0
380,offer,verb,236.6,5.0
381,both,adverb,236.4,4.0
382,toward,preposition,235.5,6.0
383,air,noun,235.4,3.0
384,enough,adverb,235.3,6.0
385,across,preposition,234.6,6.0
386,actually,adverb,233.7,8.0
387,off,preposition,231.4,3.0
388,love,verb,230.4,4.0
389,including,preposition,230.3,9.0
390,second,number,230.3,6.0
391,oh,interjection,230.3,2.0
392,everything,pronoun,230.2,10.0
393,age,noun,229.8,3.0
394,yeah,interjection,229.8,4.0
395,able,adjective,229.3,4.0
396,music,noun,228.1,5.0
397,wait,verb,227.7,4.0
398,consider,verb,226.6,8.0
399,human,adjective,224.9,5.0
400,buy,verb,224.7,3.0
401,appear,verb,223.7,6.0
402,market,noun,223.2,6.0
403,probably,adverb,221.7,8.0
404,serve,verb,221.5,5.0
405,die,verb,218.6,3.0
406,experience,noun,218.0,10.0
407,home,adverb,217.6,4.0
408,nation,noun,216.0,6.0
409,college,noun,215.6,7.0
410,stay,verb,215.4,4.0
411,fall,verb,215.4,4.0
412,build,verb,214.8,5.0
413,interest,noun,214.7,8.0
414,send,verb,214.7,4.0
415,use,noun,214.6,3.0
416,course,adverb,213.8,6.0
417,cut,verb,213.4,3.0
418,sense,noun,213.1,5.0
419,plan,noun,212.9,4.0
420,someone,pronoun,212.5,7.0
421,expect,verb,212.4,6.0
422,effect,noun,211.6,6.0
423,behind,preposition,211.2,6.0
424,death,noun,207.2,5.0
425,local,adjective,206.6,5.0
426,kill,verb,205.9,4.0
427,suggest,verb,205.9,7.0
428,reach,verb,205.3,5.0
429,development,noun,204.4,11.0
430,class,noun,202.9,5.0
431,remain,verb,202.9,6.0
432,six,number,201.3,3.0
433,economic,adjective,200.9,8.0
434,control,noun,200.7,7.0
435,voice,noun,198.6,5.0
436,require,verb,198.4,7.0
437,former,determiner,197.6,6.0
438,care,noun,197.5,4.0
439,little,adverb,197.1,6.0
440,role,noun,197.0,4.0
441,thank,verb,196.8,5.0
442,report,verb,195.9,6.0
443,else,adverb,195.3,4.0
444,sell,verb,195.3,4.0
445,major,adjective,194.4,5.0
446,light,noun,194.3,5.0
447,field,noun,193.9,5.0
448,pull,verb,193.9,4.0
449,rate,noun,193.8,4.0
450,perhaps,adverb,193.5,7.0
451,raise,verb,193.4,5.0
452,show,noun,193.0,4.0
453,hard,adjective,192.9,4.0
454,effort,noun,192.2,6.0
455,late,adjective,192.0,4.0
456,drug,noun,191.6,4.0
457,pass,verb,191.5,4.0
458,police,noun,190.8,6.0
459,up,preposition,190.6,2.0
460,leader,noun,189.9,6.0
461,themselves,pronoun,189.5,10.0
462,military,adjective,189.2,8.0
463,possible,adjective,189.1,8.0
464,along,preposition,188.7,5.0
465,arm,noun,188.6,3.0
466,sometimes,adverb,188.5,9.0
467,develop,verb,188.5,7.0
468,relationship,noun,187.9,12.0
469,heart,noun,187.9,5.0
470,price,noun,187.7,5.0
471,decide,verb,186.7,6.0
472,better,adjective,186.4,6.0
473,according,preposition,186.2,9.0
474,whole,adjective,186.1,5.0
475,season,noun,186.1,6.0
476,strong,adjective,185.9,6.0
477,wife,noun,185.8,4.0
478,report,noun,184.8,6.0
479,model,noun,184.4,5.0
480,value,noun,184.3,5.0
481,less,adverb,184.3,4.0
482,difference,noun,184.2,10.0
483,mind,noun,184.0,4.0
484,decision,noun,183.2,8.0
485,free,adjective,182.4,4.0
486,finally,adverb,182.1,7.0
487,federal,adjective,181.8,7.0
488,return,verb,181.8,6.0
489,international,adjective,181.4,13.0
490,hope,verb,180.9,4.0
491,player,noun,180.8,6.0
492,view,noun,180.8,4.0
493,society,noun,180.4,7.0
494,road,noun,180.0,4.0
495,son,noun,179.8,3.0
496,explain,verb,179.5,7.0
497,tax,noun,179.4,3.0
498,join,verb,179.1,4.0
499,drive,verb,178.8,5.0
500,receive,verb,178.3,7.0
501,action,noun,177.8,6.0
502,town,noun,177.4,4.0
503,director,noun,177.4,8.0
504,carry,verb,176.7,5.0
505,break,verb,176.2,5.0
506,true,adjective,176.2,4.0
507,even,conjunction,175.7,4.0
508,official,noun,175.6,8.0
509,form,noun,174.4,4.0
510,building,noun,174.4,8.0
511,better,adverb,174.1,6.0
512,activity,noun,173.3,8.0
513,wear,verb,173.2,4.0
514,full,adjective,172.3,4.0
515,record,noun,172.2,6.0
516,pick,verb,171.5,4.0
517,position,noun,171.4,8.0
518,because,preposition,171.4,7.0
519,agree,verb,170.6,5.0
520,data,noun,170.2,4.0
521,support,verb,170.1,7.0
522,especially,adverb,169.6,10.0
523,site,noun,168.7,4.0
524,base,verb,168.6,4.0
525,early,adverb,168.0,5.0
526,event,noun,167.9,5.0
527,project,noun,167.7,7.0
528,space,noun,167.5,5.0
529,paper,noun,167.5,5.0
530,special,adjective,167.3,7.0
531,table,noun,167.2,5.0
532,whose,determiner,166.5,5.0
533,need,noun,166.4,4.0
534,couple,noun,166.4,6.0
535,figure,noun,166.4,6.0
536,ground,noun,166.0,6.0
537,center,noun,165.7,6.0
538,everyone,pronoun,165.6,8.0
539,oil,noun,165.3,3.0
540,produce,verb,164.8,7.0
541,court,noun,164.7,5.0
542,hit,verb,164.4,3.0
543,matter,noun,164.1,6.0
544,practice,noun,163.9,8.0
545,star,noun,163.8,4.0
546,cost,noun,163.4,4.0
547,eat,verb,163.3,3.0
548,end,verb,162.4,3.0
549,American,noun,162.4,8.0
550,industry,noun,162.3,8.0
551,teach,verb,161.5,5.0
552,situation,noun,161.3,9.0
553,patient,noun,160.5,7.0
554,image,noun,160.5,5.0
555,street,noun,159.2,6.0
556,Republican,noun,159.1,10.0
557,easy,adjective,159.1,4.0
558,phone,noun,159.1,5.0
559,wall,noun,158.6,4.0
560,describe,verb,158.6,8.0
561,itself,pronoun,158.0,6.0
562,half,determiner,157.6,4.0
563,product,noun,157.5,7.0
564,recent,adjective,157.1,6.0
565,news,noun,155.7,4.0
566,quite,adverb,155.5,5.0
567,worker,noun,155.5,6.0
568,test,noun,155.3,4.0
569,land,noun,155.0,4.0
570,technology,noun,154.6,10.0
571,hair,noun,154.6,4.0
572,either,adverb,154.4,6.0
573,face,verb,154.4,4.0
574,doctor,noun,154.3,6.0
575,support,noun,154.3,7.0
576,cover,verb,154.2,5.0
577,movie,noun,154.2,5.0
578,picture,noun,153.8,7.0
579,piece,noun,153.1,5.0
580,clear,adjective,152.6,5.0
581,type,noun,152.2,4.0
582,window,noun,151.8,6.0
583,catch,verb,151.6,5.0
584,north,noun,151.2,5.0
585,personal,adjective,150.9,8.0
586,baby,noun,150.8,4.0
587,love,noun,150.0,4.0
588,computer,noun,149.8,8.0
589,organization,noun,149.5,12.0
590,certain,adjective,149.4,7.0
591,open,adjective,149.4,4.0
592,culture,noun,149.2,7.0
593,third,number,149.0,5.0
594,source,noun,148.6,6.0
595,film,noun,148.3,4.0
596,simply,adverb,148.2,6.0
597,tree,noun,148.1,4.0
598,step,noun,147.2,4.0
599,red,adjective,147.1,3.0
600,look,noun,147.1,4.0
601,century,noun,145.9,7.0
602,evidence,noun,145.2,8.0
603,attention,noun,145.0,9.0
604,billion,number,145.0,7.0
605,draw,verb,144.9,4.0
606,listen,verb,144.4,6.0
607,nearly,adverb,144.1,6.0
608,period,noun,143.4,6.0
609,cause,verb,143.4,5.0
610,choose,verb,143.0,6.0
611,campaign,noun,142.6,8.0
612,energy,noun,142.5,6.0
613,course,noun,142.2,6.0
614,difficult,adjective,142.1,9.0
615,condition,noun,141.1,9.0
616,plant,noun,141.1,5.0
617,brother,noun,140.9,7.0
618,available,adjective,140.4,9.0
619,soon,adverb,140.4,4.0
620,likely,adjective,140.0,6.0
621,population,noun,140.0,10.0
622,point,verb,140.0,5.0
623,term,noun,139.9,4.0
624,Congress,noun,139.6,8.0
625,chance,noun,139.3,6.0
626,behavior,noun,139.2,8.0
627,summer,noun,138.9,6.0
628,floor,noun,138.8,5.0
629,material,noun,138.8,8.0
630,opportunity,noun,138.7,11.0
631,less,determiner,138.1,4.0
632,administration,noun,137.9,14.0
633,realize,verb,137.2,7.0
634,subject,noun,136.4,7.0
635,hundred,number,136.1,7.0
636,current,adjective,136.1,7.0
637,well,preposition,136.0,4.0
638,rule,noun,135.7,4.0
639,economy,noun,135.5,7.0
640,place,verb,135.4,5.0
641,close,verb,135.3,5.0
642,south,noun,134.7,5.0
643,choice,noun,134.4,6.0
644,short,adjective,134.3,5.0
645,increase,verb,134.3,8.0
646,risk,noun,134.3,4.0
647,daughter,noun,134.3,8.0
648,letter,noun,134.2,6.0
649,bed,noun,134.0,3.0
650,husband,noun,133.6,7.0
651,single,adjective,133.5,6.0
652,performance,noun,133.1,11.0
653,certainly,adverb,132.8,9.0
654,myself,pronoun,132.7,6.0
655,defense,noun,132.7,7.0
656,call,noun,132.3,4.0
657,involve,verb,132.3,7.0
658,church,noun,132.1,6.0
659,per,preposition,132.1,3.0
660,medical,adjective,132.1,7.0
661,fire,noun,132.0,4.0
662,sport,noun,131.1,5.0
663,bank,noun,131.1,4.0
664,wrong,adjective,131.1,5.0
665,significant,adjective,131.0,11.0
666,security,noun,130.9,8.0
667,represent,verb,130.5,9.0
668,goal,noun,130.5,4.0
669,hospital,noun,130.4,8.0
670,seek,verb,130.0,4.0
671,board,noun,129.9,5.0
672,thousand,number,129.6,8.0
673,author,noun,129.6,6.0
674,anyone,pronoun,129.5,6.0
675,west,noun,129.3,4.0
676,future,noun,128.9,6.0
677,nature,noun,128.7,6.0
678,throw,verb,128.4,5.0
679,top,noun,128.3,3.0
680,officer,noun,128.0,7.0
681,factor,noun,128.0,6.0
682,foreign,adjective,127.9,7.0
683,deal,verb,127.7,4.0
684,private,adjective,127.2,7.0
685,focus,verb,127.1,5.0
686,thus,adverb,126.8,4.0
687,upon,preposition,126.7,4.0
688,reduce,verb,126.7,6.0
689,note,verb,126.7,4.0
690,color,noun,126.6,5.0
691,agency,noun,126.6,6.0
692,fill,verb,126.5,4.0
693,fight,verb,126.4,5.0
694,sound,noun,126.3,5.0
695,rest,noun,126.0,4.0
696,past,adjective,125.8,4.0
697,order,noun,125.5,5.0
698,quickly,adverb,125.5,7.0
699,drop,verb,125.4,4.0
700,blood,noun,125.2,5.0
701,response,noun,125.2,8.0
702,movement,noun,124.9,8.0
703,store,noun,124.8,5.0
704,push,verb,124.7,4.0
705,second,noun,124.5,6.0
706,recently,adverb,124.4,8.0
707,common,adjective,124.3,6.0
708,page,noun,124.3,4.0
709,similar,adjective,124.2,7.0
710,plan,verb,124.1,4.0
711,language,noun,124.0,8.0
712,than,preposition,123.8,4.0
713,before,adverb,123.6,6.0
714,natural,adjective,123.4,7.0
715,concern,noun,122.7,7.0
716,fine,adjective,122.6,4.0
717,dead,adjective,122.5,4.0
718,article,noun,121.9,7.0
719,near,preposition,121.9,4.0
720,race,noun,121.9,4.0
721,PM,adverb,121.7,2.0
722,individual,noun,121.6,10.0
723,ok,adverb,121.5,2.0
724,no,adverb,121.3,2.0
725,hot,adjective,121.3,3.0
726,series,noun,121.2,6.0
727,enter,verb,121.1,5.0
728,other,pronoun,120.8,5.0
729,artist,noun,120.8,6.0
730,stock,noun,120.7,5.0
731,share,verb,120.0,5.0
732,approach,noun,120.0,8.0
733,fund,noun,119.7,4.0
734,analysis,noun,119.6,8.0
735,poor,adjective,119.6,4.0
736,decade,noun,119.4,6.0
737,each,pronoun,119.3,4.0
738,cup,noun,119.2,3.0
739,rise,verb,119.0,4.0
740,identify,verb,118.9,8.0
741,usually,adverb,118.8,7.0
742,resource,noun,118.7,8.0
743,treatment,noun,118.6,9.0
744,indicate,verb,118.3,8.0
745,animal,noun,118.1,6.0
746,shoot,verb,117.9,5.0
747,east,noun,117.8,4.0
748,herself,pronoun,117.6,7.0
749,occur,verb,117.3,5.0
750,exactly,adverb,117.1,7.0
751,central,adjective,116.7,7.0
752,dog,noun,116.3,3.0
753,quality,noun,116.1,7.0
754,determine,verb,115.8,9.0
755,career,noun,115.8,6.0
756,save,verb,115.7,4.0
757,seven,number,115.6,5.0
758,away,preposition,115.6,4.0
759,size,noun,115.3,4.0
760,media,noun,115.1,5.0
761,happy,adjective,114.8,5.0
762,lie,verb,114.8,3.0
763,despite,preposition,114.5,7.0
764,thought,noun,114.5,7.0
765,ability,noun,114.4,7.0
766,physical,adjective,114.3,8.0
767,election,noun,114.0,8.0
768,scene,noun,113.9,5.0
769,disease,noun,113.8,7.0
770,environmental,adjective,113.8,13.0
771,everybody,pronoun,113.7,9.0
772,argue,verb,113.4,5.0
773,region,noun,113.1,6.0
774,growth,noun,113.1,6.0
775,attack,noun,113.1,6.0
776,wonder,verb,113.1,6.0
777,eight,number,113.0,5.0
778,ready,adjective,113.0,5.0
779,hard,adverb,112.9,4.0
780,pressure,noun,112.8,8.0
781,beyond,preposition,112.8,6.0
782,list,noun,112.6,4.0
783,protect,verb,112.6,7.0
784,degree,noun,112.5,6.0
785,simple,adjective,112.4,6.0
786,success,noun,112.3,7.0
787,left,adjective,112.2,4.0
788,skill,noun,112.1,5.0
789,pretty,adverb,112.0,6.0
790,knowledge,noun,111.9,9.0
791,particularly,adverb,111.8,12.0
792,serious,adjective,111.7,7.0
793,whatever,determiner,111.6,8.0
794,staff,noun,111.5,5.0
795,sign,noun,111.2,4.0
796,recognize,verb,111.2,9.0
797,training,noun,111.1,8.0
798,answer,noun,111.0,6.0
799,accept,verb,111.0,6.0
800,amount,noun,111.0,6.0
801,meeting,noun,110.9,7.0
802,standard,noun,110.8,8.0
803,section,noun,110.6,7.0
804,loss,noun,110.6,4.0
805,trade,noun,110.4,5.0
806,glass,noun,110.4,5.0
807,television,noun,110.4,10.0
808,box,noun,110.4,3.0
809,present,verb,110.4,7.0
810,general,adjective,110.3,7.0
811,character,noun,110.1,9.0
812,TV,noun,109.9,2.0
813,lay,verb,109.7,3.0
814,prepare,verb,109.4,7.0
815,strategy,noun,109.2,8.0
816,bill,noun,108.9,4.0
817,deal,noun,108.8,4.0
818,design,noun,108.0,6.0
819,benefit,noun,108.0,7.0
820,laugh,verb,107.9,5.0
821,sister,noun,107.1,6.0
822,compare,verb,106.9,7.0
823,guess,verb,106.8,5.0
824,crime,noun,106.7,5.0
825,state,verb,106.6,5.0
826,forward,adverb,106.4,7.0
827,lawyer,noun,106.3,6.0
828,environment,noun,106.2,11.0
829,financial,adjective,106.2,9.0
830,answer,verb,105.9,6.0
831,blue,adjective,105.8,4.0
832,dark,adjective,105.7,4.0
833,tonight,adverb,105.7,7.0
834,message,noun,105.6,7.0
835,fail,verb,105.6,4.0
836,leg,noun,105.5,3.0
837,arrive,verb,105.4,6.0
838,name,verb,105.3,4.0
839,feeling,noun,105.2,7.0
840,executive,noun,105.2,9.0
841,authority,noun,105.1,9.0
842,gun,noun,105.1,3.0
843,democratic,adjective,105.1,10.0
844,operation,noun,105.1,9.0
845,example,noun,104.7,7.0
846,sort,noun,104.6,4.0
847,Democrat,noun,104.2,8.0
848,discuss,verb,104.1,7.0
849,ten,number,104.1,3.0
850,various,adjective,103.9,7.0
851,hang,verb,103.6,4.0
852,outside,preposition,103.6,7.0
853,professor,noun,103.5,9.0
854,miss,verb,103.4,4.0
855,religious,adjective,103.2,9.0
856,stage,noun,103.0,5.0
857,station,noun,102.9,7.0
858,manager,noun,102.6,7.0
859,indeed,adverb,102.6,6.0
860,design,verb,102.1,6.0
861,establish,verb,102.0,9.0
862,clearly,adverb,102.0,7.0
863,check,verb,101.7,5.0
864,science,noun,101.6,7.0
865,public,noun,101.5,6.0
866,cultural,adjective,101.5,8.0
867,act,verb,101.4,3.0
868,one,noun,101.3,3.0
869,since,preposition,101.3,5.0
870,forget,verb,101.3,6.0
871,theory,noun,101.2,6.0
872,little,determiner,101.0,6.0
873,song,noun,100.8,4.0
