id,Artwork ID,Artist Last Name,Artist First Name,Artist ID,Artwork Title,Medium,Year Created,Acquisition,Acquisition Year,Image,Webpage
907,3002.0,Danby,Francis,135.0,The Deluge,Oil paint on canvas,1840.0,Purchased 1953,1953.0,http://www.tate.org.uk/art/images/work/N/N06/N06134_8.jpg,http://www.tate.org.uk/art/artworks/danby-the-deluge-n06134
908,4538.0,Freedman,Barnett,1116.0,Music,Oil paint on canvas,1951.0,Presented by J. Lyons and Co. 1953,1953.0,http://www.tate.org.uk/art/images/work/N/N06/N06137_8.jpg,http://www.tate.org.uk/art/artworks/freedman-music-n06137
909,4121.0,Epstein,Sir Jacob,1061.0,Mrs Mary McEvoy,Bronze,1909.0,Presented by the Trustees of the Chantrey Bequest 1953,1953.0,http://www.tate.org.uk/art/images/work/N/N06/N06139_8.jpg,http://www.tate.org.uk/art/artworks/epstein-mrs-mary-mcevoy-n06139
910,4561.0,Frink,Dame Elisabeth,1124.0,Bird,Bronze,1952.0,Purchased 1953,1953.0,http://www.tate.org.uk/art/images/work/N/N06/N06140_8.jpg,http://www.tate.org.uk/art/artworks/frink-bird-n06140
911,13411.0,Sickert,Walter Richard,1941.0,Mrs Anna Knight,Oil paint on canvas,1941.0,Bequeathed by Mrs Anna Knight 1953,1953.0,http://www.tate.org.uk/art/images/work/N/N06/N06142_8.jpg,http://www.tate.org.uk/art/artworks/sickert-mrs-anna-knight-n06142
912,4194.0,Evans,Merlyn Oliver,1073.0,Souvenir of Suez,Oil paint on canvas,1952.0,Purchased 1953,1953.0,http://www.tate.org.uk/art/images/work/N/N06/N06147_8.jpg,http://www.tate.org.uk/art/artworks/evans-souvenir-of-suez-n06147
913,14416.0,Townsend,William,2061.0,Hop Alleys,Oil paint on canvas,1951.0,Purchased 1953,1953.0,http://www.tate.org.uk/art/images/work/N/N06/N06148_8.jpg,http://www.tate.org.uk/art/artworks/townsend-hop-alleys-n06148
914,12379.0,Reynolds,Alan,1832.0,Keeper of the Dark Copse II,Oil paint on board,1951.0,Presented by R.D.S. May 1953,1953.0,http://www.tate.org.uk/art/images/work/N/N06/N06149_8.jpg,http://www.tate.org.uk/art/artworks/reynolds-keeper-of-the-dark-copse-ii-n06149
915,8369.0,Lanyon,Peter,1467.0,Porthleven,Oil paint on board,1951.0,Presented by the Contemporary Art Society 1953,1953.0,http://www.tate.org.uk/art/images/work/N/N06/N06151_8.jpg,http://www.tate.org.uk/art/artworks/lanyon-porthleven-n06151
916,13412.0,Sickert,Walter Richard,1941.0,The New Bedford,Oil paint on canvas,1914.0,Bequeathed by Sir Edward Marsh through the Contemporary Art Society 1953,1953.0,http://www.tate.org.uk/art/images/work/N/N06/N06174_8.jpg,http://www.tate.org.uk/art/artworks/sickert-the-new-bedford-n06174
917,12245.0,Prout,Margaret Fisher,1803.0,Home Grown,Oil paint on board,1952.0,Presented by the Trustees of the Chantrey Bequest 1953,1953.0,http://www.tate.org.uk/art/images/work/N/N06/N06176_8.jpg,http://www.tate.org.uk/art/artworks/prout-home-grown-n06176
918,1692.0,Burn,Rodney J.,836.0,Bembridge,Oil paint on canvas,1952.0,Presented by the Trustees of the Chantrey Bequest 1953,1953.0,http://www.tate.org.uk/art/images/work/N/N06/N06178_8.jpg,http://www.tate.org.uk/art/artworks/burn-bembridge-n06178
