id,Edition,Year,Hosts,Champions,Final score,Venue of championship game,Runners-up,Third place,Fourth place,Number of participating teams
1,1.0,1991.0,China,United States,2–1,"Tianhe Stadium, Guangzhou",Norway,Sweden,Germany,12.0
2,2.0,1995.0,Sweden,Norway,2–0,"Rasunda Stadium, Solna",Germany,United States,China PR,12.0
3,3.0,1999.0,United States,United States,0–0 (a.e.t.)(5–4 p),"Rose Bowl, Pasadena",China PR,Brazil,Norway,16.0
4,4.0,2003.0,United States,Germany,2–1 (a.e.t.),"Home Depot Center, Carson",Sweden,United States,Canada,16.0
5,5.0,2007.0,China,Germany,2–0,"Hongkou Stadium, Shanghai",Brazil,United States,Norway,16.0
6,6.0,2011.0,Germany,Japan,2–2 (a.e.t.)(3–1 p),"Commerzbank-Arena, Frankfurt",United States,Sweden,France,16.0
7,7.0,2015.0,Canada,United States,5–2,"BC Place, Vancouver",Japan,England,Germany,24.0
8,8.0,2019.0,France,United States,2–0,"Parc Olympique Lyonnais, Lyon",Netherlands,Sweden,England,24.0
