id,University,Team nickname,City,State,Enrollment,Current conference
92,South Alabama,Jaguars,Mobile,Alabama,"15,100",Sun Belt
93,South Carolina,Gamecocks,Columbia,South Carolina,"50,100",SEC
94,South Florida,Bulls,Tampa,Florida,"50,700",American
95,Southern Miss,Golden Eagles,Hattiesburg,Mississippi,"14,500",C-USA
96,Stanford,Cardinal,Stanford,California,"16,500",Pac-12
97,Syracuse,Orange,Syracuse,New York,"22,900",ACC
98,TCU,Horned Frogs,Fort Worth,Texas,"10,400",Big 12
99,Temple,Owls,Philadelphia,Pennsylvania,"40,000",American
100,Tennessee,Volunteers,Knoxville,Tennessee,"28,900",SEC
101,Texas,Longhorns,Austin,Texas,"51,800",Big 12
102,Texas A&M,Aggies,College Station,Texas,"69,400",SEC
103,Texas State,Bobcats,San Marcos,Texas,"38,800",Sun Belt
104,Texas Tech,Red Raiders,Lubbock,Texas,"38,200",Big 12
105,Toledo,Rockets,Toledo,Ohio,"23,100",MAC
106,Troy,Trojans,Troy,Alabama,"18,100",Sun Belt
107,Tulane,Green Wave,New Orleans,Louisiana,"14,100",American
108,Tulsa,Golden Hurricane,Tulsa,Oklahoma,"4,300",American
109,UAB,Blazers,Birmingham,Alabama,"21,900",C-USA
110,UCF,Knights,Orlando,Florida,"68,600",American
111,UCLA,Bruins,Los Angeles,California,"45,400",Pac-12
112,UConn,Huskies,Storrs,Connecticut,"32,200",Independent
113,UMass,Minutemen,Amherst,Massachusetts,"30,600",Independent
114,UNLV,Rebels,Las Vegas,Nevada,"30,500",Mountain West
115,USC,Trojans,Los Angeles,California,"45,700",Pac-12
116,UTEP,Miners,El Paso,Texas,"25,100",C-USA
117,UTSA,Roadrunners,San Antonio,Texas,"30,700",C-USA
118,Utah,Utes,Salt Lake City,Utah,"33,000",Pac-12
119,Utah State,Aggies,Logan,Utah,"29,400",Mountain West
120,Vanderbilt,Commodores,Nashville,Tennessee,"13,100",SEC
121,Virginia,Cavaliers,Charlottesville,Virginia,"24,400",ACC
122,Virginia Tech,Hokies,Blacksburg,Virginia,"33,400",ACC
123,Wake Forest,Demon Deacons,Winston-Salem,North Carolina,"8,100",ACC
124,Washington,Huskies,Seattle,Washington,"47,900",Pac-12
125,Washington State,Cougars,Pullman,Washington,"30,600",Pac-12
126,West Virginia,Mountaineers,Morgantown,West Virginia,"30,000",Big 12
127,Western Kentucky,Hilltoppers,Bowling Green,Kentucky,"20,300",C-USA
128,Western Michigan,Broncos,Kalamazoo,Michigan,"22,900",MAC
129,Wisconsin,Badgers,Madison,Wisconsin,"44,400",Big Ten
130,Wyoming,Cowboys,Laramie,Wyoming,"12,400",Mountain West
