id,Date,Country,Total Confirmed Cases,Total Recovered,Total Deaths
121,Sun 5/31,Mozambique,254,91,2
122,Sun 5/31,Namibia,24,14,0
123,Sun 5/31,Nepal,1572,220,8
124,Sun 5/31,Netherlands,46645,178,5975
125,Sun 5/31,New Zealand,1504,1481,22
126,Sun 5/31,Nicaragua,759,370,35
127,Sun 5/31,Niger,958,839,64
128,Sun 5/31,Nigeria,10162,3007,287
129,Sun 5/31,North Macedonia,2226,1552,133
130,Sun 5/31,Norway,8440,7727,236
131,Sun 5/31,Oman,11437,2682,49
132,Sun 5/31,Pakistan,72460,26083,1543
133,Sun 5/31,Panama,13463,9514,336
134,Sun 5/31,Papua New Guinea,8,8,0
135,Sun 5/31,Paraguay,986,477,11
136,Sun 5/31,Peru,164476,67208,4506
137,Sun 5/31,Philippines,18086,3909,957
138,Sun 5/31,Poland,23786,11271,1064
139,Sun 5/31,Portugal,32500,19409,1410
140,Sun 5/31,Qatar,56910,30290,38
141,Sun 5/31,Romania,19257,13256,1266
142,Sun 5/31,Russia,405843,171883,4693
143,Sun 5/31,Rwanda,370,256,1
144,Sun 5/31,Saint Kitts and Nevis,15,15,0
145,Sun 5/31,Saint Lucia,18,18,0
146,Sun 5/31,Saint Vincent and the Grenadines,26,15,0
147,Sun 5/31,San Marino,671,357,42
148,Sun 5/31,Sao Tome and Principe,483,68,12
149,Sun 5/31,Saudi Arabia,85261,62442,503
150,Sun 5/31,Senegal,3645,1801,42
151,Sun 5/31,Serbia,11412,6698,243
152,Sun 5/31,Seychelles,11,11,0
153,Sun 5/31,Sierra Leone,861,454,46
154,Sun 5/31,Singapore,34884,21699,23
155,Sun 5/31,Slovakia,1521,1366,28
156,Sun 5/31,Slovenia,1473,1358,108
157,Sun 5/31,Solomon Islands,0,0,0
158,Sun 5/31,Somalia,1976,348,78
159,Sun 5/31,South Africa,32683,16809,683
160,Sun 5/31,South Sudan,994,6,10
161,Sun 5/31,Spain,239479,150376,27127
162,Sun 5/31,Sri Lanka,1633,801,10
163,Sun 5/31,Sudan,5026,1423,286
164,Sun 5/31,Suriname,23,9,1
165,Sun 5/31,Sweden,38661,0,4673
166,Sun 5/31,Switzerland,30862,28500,1920
167,Sun 5/31,Syria,122,46,5
168,Sun 5/31,Taiwan*,442,423,7
169,Sun 5/31,Tajikistan,3930,2004,47
170,Sun 5/31,Tanzania,509,183,21
171,Sun 5/31,Thailand,3081,2963,57
172,Sun 5/31,Timor-Leste,24,24,0
173,Sun 5/31,Togo,442,211,13
174,Sun 5/31,Trinidad and Tobago,117,108,8
175,Sun 5/31,Tunisia,1077,960,48
176,Sun 5/31,Turkey,163942,127973,4540
177,Sun 5/31,US,1794465,444758,107674
178,Sun 5/31,Uganda,417,72,0
179,Sun 5/31,Ukraine,23672,9538,708
180,Sun 5/31,United Arab Emirates,34557,17932,264
181,Sun 5/31,United Kingdom,257539,1190,37527
182,Sun 5/31,Uruguay,823,685,22
183,Sun 5/31,Uzbekistan,3623,2837,15
184,Sun 5/31,Vanuatu,0,0,0
185,Sun 5/31,Venezuela,1510,302,14
186,Sun 5/31,Vietnam,328,279,0
187,Sun 5/31,West Bank and Gaza,448,372,3
188,Sun 5/31,Western Sahara,9,6,1
189,Sun 5/31,Yemen,323,14,80
190,Sun 5/31,Zambia,1057,779,7
191,Sun 5/31,Zimbabwe,178,29,4
192,Sun 6/7,Afghanistan,20342,1875,357
193,Sun 6/7,Albania,1246,938,34
194,Sun 6/7,Algeria,10154,6717,707
195,Sun 6/7,Andorra,852,744,51
196,Sun 6/7,Angola,91,24,4
197,Sun 6/7,Antigua and Barbuda,26,20,3
198,Sun 6/7,Argentina,22794,6909,664
199,Sun 6/7,Armenia,13130,4014,200
200,Sun 6/7,Australia,7265,6706,102
201,Sun 6/7,Austria,16902,15793,672
202,Sun 6/7,Azerbaijan,7553,4149,88
203,Sun 6/7,Bahamas,103,62,11
204,Sun 6/7,Bahrain,14763,9468,26
205,Sun 6/7,Bangladesh,65769,13903,888
206,Sun 6/7,Barbados,92,81,7
207,Sun 6/7,Belarus,48630,23647,269
208,Sun 6/7,Belgium,59226,16291,9595
209,Sun 6/7,Belize,19,16,2
210,Sun 6/7,Benin,261,151,3
211,Sun 6/7,Bhutan,59,11,0
212,Sun 6/7,Bolivia,13643,2086,465
213,Sun 6/7,Bosnia and Herzegovina,2606,1968,159
214,Sun 6/7,Botswana,40,23,1
215,Sun 6/7,Brazil,691758,283952,36455
216,Sun 6/7,Brunei,141,138,2
217,Sun 6/7,Bulgaria,2727,1548,160
218,Sun 6/7,Burkina Faso,889,765,53
219,Sun 6/7,Burma,242,156,6
220,Sun 6/7,Burundi,83,45,1
221,Sun 6/7,Cabo Verde,554,240,5
222,Sun 6/7,Cambodia,126,123,0
223,Sun 6/7,Cameroon,7908,4735,212
224,Sun 6/7,Canada,97178,54675,7877
225,Sun 6/7,Central African Republic,1634,38,5
226,Sun 6/7,Chad,837,672,69
227,Sun 6/7,Chile,166756,108150,1637
228,Sun 6/7,China,84191,79434,4638
229,Sun 6/7,Colombia,39236,14414,1259
230,Sun 6/7,Comoros,141,67,2
231,Sun 6/7,Congo (Brazzaville),683,210,22
232,Sun 6/7,Congo (Kinshasa),4016,537,85
233,Sun 6/7,Costa Rica,1318,704,10
234,Sun 6/7,Cote d'Ivoire,3739,1818,36
235,Sun 6/7,Croatia,2247,2126,104
236,Sun 6/7,Cuba,2191,1862,83
237,Sun 6/7,Cyprus,964,807,18
238,Sun 6/7,Czechia,9628,6891,327
239,Sun 6/7,Denmark,12148,10955,589
240,Sun 6/7,Diamond Princess,712,651,13
241,Sun 6/7,Djibouti,4207,1877,28
242,Sun 6/7,Dominica,18,16,0
243,Sun 6/7,Dominican Republic,19600,12007,538
244,Sun 6/7,Ecuador,43120,21020,3621
245,Sun 6/7,Egypt,34079,8961,1237
246,Sun 6/7,El Salvador,3015,1305,53
247,Sun 6/7,Equatorial Guinea,1306,200,12
248,Sun 6/7,Eritrea,39,39,0
249,Sun 6/7,Estonia,1939,1681,69
250,Sun 6/7,Eswatini,333,225,3
251,Sun 6/7,Ethiopia,2020,344,27
252,Sun 6/7,Fiji,18,18,0
253,Sun 6/7,Finland,6981,5800,323
254,Sun 6/7,France,191234,70961,29158
255,Sun 6/7,Gabon,3101,833,21
256,Sun 6/7,Gambia,26,21,1
257,Sun 6/7,Georgia,809,674,13
258,Sun 6/7,Germany,185750,169224,8685
259,Sun 6/7,Ghana,9638,3636,44
260,Sun 6/7,Greece,2997,1374,180
261,Sun 6/7,Grenada,23,22,0
262,Sun 6/7,Guatemala,7055,1261,252
263,Sun 6/7,Guinea,4117,2877,23
264,Sun 6/7,Guinea-Bissau,1368,153,12
265,Sun 6/7,Guyana,154,80,12
266,Sun 6/7,Haiti,3334,24,51
267,Sun 6/7,Holy See,12,12,0
268,Sun 6/7,Honduras,6327,712,258
269,Sun 6/7,Hungary,4008,2279,546
270,Sun 6/7,Iceland,1807,1794,10
271,Sun 6/7,India,257486,123848,7207
272,Sun 6/7,Indonesia,31186,10498,1851
273,Sun 6/7,Iran,171789,134349,8281
274,Sun 6/7,Iraq,12366,5186,346
275,Sun 6/7,Ireland,25201,22698,1679
276,Sun 6/7,Israel,17863,15091,298
277,Sun 6/7,Italy,234998,165837,33899
278,Sun 6/7,Jamaica,598,405,10
279,Sun 6/7,Japan,17039,14990,917
280,Sun 6/7,Jordan,808,607,9
281,Sun 6/7,Kazakhstan,12694,7376,56
282,Sun 6/7,Kenya,2767,752,84
283,Sun 6/7,"Korea, South",11814,10563,273
284,Sun 6/7,Kosovo,1194,884,30
285,Sun 6/7,Kuwait,31848,20205,264
286,Sun 6/7,Kyrgyzstan,2007,1425,22
287,Sun 6/7,Laos,19,18,0
288,Sun 6/7,Latvia,1088,781,25
289,Sun 6/7,Lebanon,1331,768,30
290,Sun 6/7,Lesotho,4,2,0
291,Sun 6/7,Liberia,359,194,30
292,Sun 6/7,Libya,256,52,5
293,Sun 6/7,Liechtenstein,82,81,1
294,Sun 6/7,Lithuania,1714,1328,71
295,Sun 6/7,Luxembourg,4039,3899,110
296,Sun 6/7,MS Zaandam,9,0,2
297,Sun 6/7,Madagascar,1052,233,9
298,Sun 6/7,Malawi,438,55,4
299,Sun 6/7,Malaysia,8322,6674,117
300,Sun 6/7,Maldives,1903,827,8
301,Sun 6/7,Mali,1533,873,90
302,Sun 6/7,Malta,629,596,9
303,Sun 6/7,Marshall Islands,0,0,0
304,Sun 6/7,Mauritania,1049,108,55
305,Sun 6/7,Mauritius,337,324,10
306,Sun 6/7,Mexico,117103,83775,13699
307,Sun 6/7,Moldova,9700,5638,341
308,Sun 6/7,Monaco,99,93,4
309,Sun 6/7,Mongolia,193,75,0
310,Sun 6/7,Montenegro,324,315,9
311,Sun 6/7,Morocco,8224,7364,208
312,Sun 6/7,Mozambique,424,127,2
313,Sun 6/7,Namibia,29,16,0
314,Sun 6/7,Nepal,3448,467,13
315,Sun 6/7,Netherlands,47780,181,6032
316,Sun 6/7,New Zealand,1504,1482,22
317,Sun 6/7,Nicaragua,1118,370,46
318,Sun 6/7,Niger,973,867,65
319,Sun 6/7,Nigeria,12486,3959,354
320,Sun 6/7,North Macedonia,3025,1646,153
321,Sun 6/7,Norway,8547,8138,238
322,Sun 6/7,Oman,16882,3451,75
323,Sun 6/7,Pakistan,103671,34355,2067
324,Sun 6/7,Panama,16425,10218,393
325,Sun 6/7,Papua New Guinea,8,8,0
326,Sun 6/7,Paraguay,1135,575,11
327,Sun 6/7,Peru,196515,86219,5465
328,Sun 6/7,Philippines,21895,4530,1003
329,Sun 6/7,Poland,26561,12855,1157
330,Sun 6/7,Portugal,34693,20995,1479
331,Sun 6/7,Qatar,68790,44338,54
332,Sun 6/7,Romania,20479,14638,1333
333,Sun 6/7,Russia,467073,226272,5851
334,Sun 6/7,Rwanda,439,290,2
