id,Rollercoaster Name,Amusement Park,City,Country,Region,Construction Material,Height,Speed,Length,Inversion,Number of Inversions,Year Opened
205,Vertigorama,Parque de la Ciudad,"Buenos Aires, BA",Argentina,Latin America,Steel,38.0,91.0,"1,816",No,0.0,1983.0
206,blue fire Megacoaster,Europa Park,"Rust, Baden Wuerttemberg",Germany,Europe,Steel,38.0,100.0,"1,056",Yes,4.0,2009.0
207,Gemini,Cedar Point,Sandusky,USA,North America,Steel,38.1,97.2,"1,199.39",No,0.0,1978.0
208,Colossus,Six Flags Magic Mountain,Valencia,USA,North America,Wood,38.1,100.44,"1,318.26",No,0.0,1978.0
209,American Eagle,Six Flags Great America,Gurnee,USA,North America,Wood,38.7096,106.92,"1,417.32",No,0.0,1981.0
210,Invertigo,Kings Island,Kings Mills,USA,North America,Steel,39.9288,81.0,308.762,Yes,3.0,1999.0
211,Invertigo,California's Great America,Santa Clara,USA,North America,Steel,39.9288,81.0,308.762,Yes,3.0,1998.0
212,Black Mamba,Phantasialand,"Bruhl, North Rhine-Westphalia",Germany,Europe,Steel,26.0,80.0,768.0,Yes,4.0,2006.0
213,Raptor,Cedar Point,Sandusky,USA,North America,Steel,41.7576,92.34,"1,155.19",Yes,6.0,1994.0
214,Katapul,Hopi Hari,Sao Paulo,Brazil,Latin America,Steel,42.0,85.3,220.1,Yes,1.0,1999.0
215,Montezum,Hopi hari,Sao Paulo,Brazil,Latin America,Wood,42.4,103.0,"1,030.20",No,0.0,1999.0
216,Texas Giant,Six Flags Over Texas,Arlington,USA,North America,Wood,43.5864,100.44,"1,499.62",No,0.0,1990.0
217,Mantis,Cedar Point,Sandusky,USA,North America,Steel,44.196,97.2,"1,188.72",Yes,4.0,1996.0
218,Silver Bullet,Knott's Berry Farm,Buena Park,USA,North America,Steel,44.5008,89.1,952.5,Yes,6.0,2004.0
219,Montezooma's Revenge,Knott's Berry Farm,Buena Park,USA,North America,Steel,45.1104,89.1,243.84,Yes,1.0,1978.0
220,Vortex,Kings Island,Kings Mills,USA,North America,Steel,45.1104,89.1,"1,158.24",Yes,6.0,1987.0
221,Scream!,Six Flags Magic Mountain,Valencia,USA,North America,Steel,45.72,102.06,"1,214.63",Yes,7.0,2003.0
222,Steel Eel,SeaWorld San Antonio,San Antonio,USA,North America,Steel,45.72,105.3,"1,127.76",No,0.0,1999.0
223,Medusa,Six Flags Discovery Kingdom,Vallejo,USA,North America,Steel,45.72,105.3,"1,200",Yes,7.0,2000.0
224,V2: Vertical Velocity,Six Flags Discovery Kingdom,Vallejo,USA,North America,Steel,45.72,105.3,192.024,No,0.0,2001.0
225,Sky Wheel,Skyline Park,"Bad Worishofen, Bavaria",Germany,Europe,Steel,46.0,105.0,150.0,Yes,2.0,2004.0
226,Riddler's Revenge,Six Flags Magic Mountain,Valencia,USA,North America,Steel,47.5488,105.3,"1,331.98",Yes,6.0,1998.0
227,Mean Streak,Cedar Point,Sandusky,USA,North America,Wood,49.0728,105.3,"1,654.15",No,0.0,1991.0
228,Voyage,Holiday World,Santa Claus,USA,North America,Wood,49.6824,108.54,"1,963.52",No,0.0,2006.0
229,Superman Krypton Coaster,Six Flags Fiesta Texas,San Antonio,USA,North America,Steel,51.2064,113.4,"1,226.82",Yes,6.0,2000.0
230,Tatsu,Six Flags Magic Mountain,Valencia,USA,North America,Steel,51.816,100.44,"1,097.89",Yes,4.0,2006.0
231,Expedition GeForce,Holiday Park,"Hassloch, Rhineland-Palatinate",Germany,Europe,Steel,53.0,120.0,"1,220",No,0.0,2001.0
232,X2,Six Flags Magic Mountain,Valencia,USA,North America,Steel,53.34,123.12,"1,100.33",Yes,2.0,2002.0
233,Rattler,Six Flags Fiesta Texas,San Antonio,USA,North America,Wood,54.5592,105.3,"1,548.38",No,0.0,1992.0
234,Vertical Velocity,Six Flags Great America,Gurnee,USA,North America,Steel,56.388,113.4,192.024,No,0.0,2001.0
235,Viper,Six Flags Magic Mountain,Valencia,USA,North America,Steel,57.3024,113.4,"1,167.38",Yes,7.0,1990.0
236,Deja Vu,Six Flags Magic Mountain,Valencia,USA,North America,Steel,58.2168,105.3,366.979,Yes,3.0,2001.0
237,Colossos,Heide-Park Soltau,"Soltau, Lower Saxony",Germany,Europe,Wood,60.0,120.0,"1,344",No,0.0,2001.0
238,Batman,Beto Carrero World,"Penha, SC",Brazil,Latin America,Steel,61.0,104.6,346.6,Yes,1.0,2013.0
239,Robin,Beto Carrero World,"Penha, SC",Brazil,Latin America,Steel,61.0,104.6,374.6,Yes,2.0,2014.0
240,Raging Bull,Six Flags Great America,Gurnee,USA,North America,Steel,61.5696,118.26,"1,541.37",No,0.0,1999.0
241,Magnum XL-200,Cedar Point,Sandusky,USA,North America,Steel,62.484,116.64,"1,556.31",No,0.0,1989.0
242,Xcelerator,Knott's Berry Farm,Buena Park,USA,North America,Steel,62.484,132.84,671.17,No,0.0,2002.0
243,Steel Hawg,Indiana Beach,Monticello,USA,North America,Steel,29.2608,66.42,822.96,Yes,2.0,2008.0
244,Mr. Freeze,Six Flags Over Texas,Arlington,USA,North America,Steel,66.4464,113.4,396.24,Yes,1.0,1998.0
245,Son Of Beast,Kings Island,Kings Mills,USA,North America,Wood,66.4464,126.36,"2,143.35",Yes,1.0,2000.0
246,Supermanel el ultimo Escape,Six Flags Mexico,Mexico City,Mexico,Latin America,Steel,67.0,120.0,"1,700",No,0.0,2004.0
247,Diamondback,Kings Island,Kings Mills,USA,North America,Steel,70.104,129.6,"1,609.95",No,0.0,2009.0
248,Goliath,Six Flags Magic Mountain,Valencia,USA,North America,Steel,71.628,137.7,"1,371.60",No,0.0,2000.0
249,Silver Star,Europa Park,"Rust, Baden Wuerttemberg",Germany,Europe,Steel,73.0,127.0,"1,620",No,0.0,2002.0
250,Titan,Six Flags Over Texas,Arlington,USA,North America,Steel,74.676,137.7,"1,619.10",No,0.0,2001.0
251,Millennium Force,Cedar Point,Sandusky,USA,North America,Steel,94.488,150.66,"2,010.16",No,0.0,2000.0
252,Superman The Escape,Six Flags Magic Mountain,Valencia,USA,North America,Steel,126.492,162.0,376.428,No,0.0,1997.0
253,Top Thrill Dragster,Cedar Point,Sandusky,USA,North America,Steel,128.016,194.4,853.44,No,0.0,2003.0
254,Mulholland Madness,Disney's California Adventure,Anaheim,USA,North America,Steel,17.0,43.74,370.0,No,0.0,2001.0
255,Avalancha,Xetulul,"Retalhuleu, Guatemala",Guatemala,Latin America,Steel,31.0,88.0,823.0,Yes,8.0,2002.0
256,California Screamin',Disney's California Adventure,Anaheim,USA,North America,Steel,36.576,89.1,"1,850.75",Yes,1.0,2001.0
257,Racer,Kings Island,Kings Mills,USA,North America,Wood,26.8,98.82,"1,040.89",No,0.0,1972.0
