id,Rollercoaster Name,Amusement Park,City,Country,Region,Construction Material,Height,Speed,Length,Inversion,Number of Inversions,Year Opened
46,Backyardigans: Mission to Mars,Movie Park Germany,"Bottrop, North Rhine-Westphalia",Germany,Europe,Steel,8.5,35.0,207.0,No,0.0,1996.0
47,Achterbahn,Rasti-Land,"Salzhemmendorf, Lower Saxony",Germany,Europe,Steel,8.5,35.0,207.0,No,0.0,1989.0
48,Le Déval' Train,Parc Touristique des Combes,"Creusot, Burgundy",France,Europe,Steel,8.5,35.0,207.0,No,0.0,2003.0
49,Drachen-Achterbahn,Tier- und Freizeitpark Thule,"Friesoythe-The, Lower Saxony",Germany,Europe,Steel,9.0,39.0,222.0,No,0.0,1998.0
50,Familienachterbahn-Drachenbahn,Schloss Thurn,"Heroldsbach, Bavaria",Germany,Europe,Steel,9.0,39.0,222.0,No,0.0,1998.0
51,Potts Blitz,Potts Park,"Minden, North Rhine-Westphalia",Germany,Europe,Steel,9.0,39.0,222.0,No,0.0,1993.0
52,O Mundo de Xuxa,O Mundo de Xuxa Theme park,Sao Paulo,Brazil,Latin America,Steel,9.5,40.0,320.0,No,0.0,1997.0
53,Train de la Mine,La Coccinelle,"Gujan-Mestras, Aquitaine",France,Europe,Steel,10.0,40.0,300.0,No,0.0,2009.0
54,Corsaire,Cobac Parc,"Lanhelin, Brittany",France,Europe,Steel,10.0,40.0,300.0,No,0.0,2007.0
55,Oachkatzl,Maerchenwald im Isartal,"Wolfratshausen, Bavaria",Germany,Europe,Steel,10.5,46.0,290.0,No,0.0,1999.0
56,Lost Coaster of Superstition Mountain,Indiana Beach,Monticello,USA,North America,Wood,10.668,32.4,426.72,No,0.0,2002.0
57,Vol D'Icare,Parc Asterix,"Plailly, Picardie",France,Europe,Steel,10.7,42.0,410.0,No,0.0,1994.0
58,Roller Coaster,Nocolandia Center Park,Brasilia,Brazil,Latin America,Steel,11.0,45.0,325.0,No,0.0,2006.0
59,Roller Coaster,Nicolandia Center Park,"Brasilia, BFD",Brazil,Latin America,Steel,11.0,45.0,325.0,No,0.0,2002.0
60,Speedy,CentrO.Park,"Oberhausen, North Rhine-Westphalia",Germany,Europe,Steel,11.1,36.0,300.0,No,0.0,2001.0
61,Quicksilver Express,Gilroy Gardens Family Theme Park,Gilroy,USA,North America,Steel,11.5824,51.84,651.967,No,0.0,2001.0
62,Wild Chipmunk,Lakeside Amusement Park,Denver,USA,North America,Steel,12.4968,34.02,350.52,No,0.0,1955.0
63,Woodstock Express,Cedar Point,Sandusky,USA,North America,Steel,12.8016,45.36,334.975,No,0.0,1999.0
64,Ragin' Cajun,Six Flags Great America,Gurnee,USA,North America,Steel,12.8016,46.98,419.71,No,0.0,2004.0
65,Tigre de Siberie,Le Pal,"Dompierre Sur Besbre, Centre",France,Europe,Steel,13.0,40.0,360.0,No,0.0,1990.0
66,Wild Mouse,Fantasilandia,"Santiago, Santiago",Chile,Latin America,Steel,13.0,46.8,420.0,No,0.0,2006.0
67,Raton Loco,La Feria Chapultpec,Mexico City,Mexico,Latin America,Steel,13.0,46.8,420.0,No,0.0,1999.0
68,Ragondingue,Bagatelle,"Merlimont, Nord-Pas de Calais",France,Europe,Steel,13.0,47.0,420.0,No,0.0,2006.0
69,Une Souris Verte,Parc Saint Paul,"Saint Paul, Picardie",France,Europe,Steel,13.0,47.0,420.0,No,0.0,2007.0
70,Moto Bala,Mundo Petapa,"Guatemala City,",Guatemala,Latin America,Steel,13.0,65.0,364.0,No,0.0,2010.0
71,Tig'rr Coaster,Indiana Beach,Monticello,USA,North America,Steel,13.4112,50.22,537.972,No,0.0,1984.0
72,Pony Express,Knott's Berry Farm,Buena Park,USA,North America,Steel,13.4112,61.56,396.24,No,0.0,2008.0
73,JetStar,Parque de la Ciudad,"Buenos Aires, BA",Argentina,Latin America,Steel,13.5,50.0,538.0,No,0.0,1982.0
74,Alpine Bobs,Holly Park,"Chemin, Pays de la Loire",France,Europe,Steel,13.5,50.0,538.0,No,0.0,2003.0
75,Jet Star,Aventura Park,Lima,Peru,Latin America,Steel,13.5,50.0,538.0,No,0.0,2009.0
76,Backlot Stunt Coaster,Kings Island,Kings Mills,USA,North America,Steel,13.716,64.8,597.408,No,0.0,2005.0
77,Ghost Chasers,Movie Park Germany,"Bottrop, North Rhine-Westphalia",Germany,Europe,Steel,14.0,45.0,370.0,No,0.0,2000.0
78,Taunusblitz,Taunus Wunderland,"Schlangenbad, Hesse",Germany,Europe,Steel,14.0,45.0,370.0,No,0.0,1999.0
