id,Volcano Name,Country,Type,Last Known Eruption,Region,Latitude,Longitude,Elevation,Dominant Rock Type,Tectonic Setting
603,Kilauea,United States,Shield,2018 CE,Hawaiian Islands,19.42,-155.29,1222.0,Basalt / Picro-Basalt,Intraplate / Oceanic crust (< 15 km)
604,Mauna Loa,United States,Shield,1984 CE,Hawaiian Islands,19.48,-155.61,4170.0,Basalt / Picro-Basalt,Intraplate / Oceanic crust (< 15 km)
605,Mauna Kea,United States,Shield,2460 BCE,Hawaiian Islands,19.82,-155.47,4205.0,Basalt / Picro-Basalt,Intraplate / Oceanic crust (< 15 km)
606,Hualalai,United States,Shield,1801 CE,Hawaiian Islands,19.69,-155.87,2523.0,Basalt / Picro-Basalt,Intraplate / Oceanic crust (< 15 km)
607,Haleakala,United States,Shield,1750 CE,Hawaiian Islands,20.71,-156.25,3055.0,Basalt / Picro-Basalt,Intraplate / Oceanic crust (< 15 km)
608,Teahitia,France,Submarine,1985 CE,Pacific Ocean (central),-17.56,-148.82,-1743.0,Trachybasalt / Tephrite Basanite,Intraplate / Oceanic crust (< 15 km)
609,Rocard,France,Submarine,1972 CE,Pacific Ocean (central),-17.66,-148.59,-2515.0,Trachyte / Trachydacite,Intraplate / Oceanic crust (< 15 km)
610,Moua Pihaa,France,Submarine,1970 CE,Pacific Ocean (central),-18.33,-148.53,-312.0,Trachybasalt / Tephrite Basanite,Intraplate / Oceanic crust (< 15 km)
611,Adams Seamount,Undersea Features,Submarine,50 BCE,Pacific Ocean (central),-25.37,-129.27,-39.0,Basalt / Picro-Basalt,Intraplate / Oceanic crust (< 15 km)
612,Macdonald,Undersea Features,Submarine,1989 CE,Pacific Ocean (central),-28.98,-140.25,-39.0,Basalt / Picro-Basalt,Intraplate / Oceanic crust (< 15 km)
613,Northern EPR at 17°N,Undersea Features,Submarine,50 BCE,Pacific Ocean (eastern),16.55,-105.32,-2700.0,Basalt / Picro-Basalt,Rift zone / Oceanic crust (< 15 km)
614,Northern EPR at 16°N,Undersea Features,Submarine,50 BCE,Pacific Ocean (eastern),15.83,-105.43,-2300.0,Basalt / Picro-Basalt,Rift zone / Oceanic crust (< 15 km)
615,Northern EPR at 10.7°N,Undersea Features,Submarine,2003 CE,Pacific Ocean (eastern),10.73,-103.58,-2900.0,Basalt / Picro-Basalt,Intraplate / Oceanic crust (< 15 km)
616,Northern EPR at 9.8°N,Undersea Features,Submarine,2006 CE,Pacific Ocean (eastern),9.83,-104.3,-2500.0,Basalt / Picro-Basalt,Rift zone / Oceanic crust (< 15 km)
617,Galapagos Rift,Undersea Features,Submarine,1996 CE,Pacific Ocean (eastern),0.79,-86.15,-2430.0,Basalt / Picro-Basalt,Rift zone / Oceanic crust (< 15 km)
618,Southern EPR at 8°S,Undersea Features,Submarine,1969 CE,Pacific Ocean (eastern),-8.27,-107.95,-2800.0,Basalt / Picro-Basalt,Rift zone / Oceanic crust (< 15 km)
619,Southern EPR-Segment K,Undersea Features,Submarine,1990 CE,Pacific Ocean (eastern),-17.44,-113.21,-2566.0,Basalt / Picro-Basalt,Rift zone / Oceanic crust (< 15 km)
620,Southern EPR-Segment J,Undersea Features,Submarine,1890 CE,Pacific Ocean (eastern),-18.18,-113.35,-2650.0,Basalt / Picro-Basalt,Rift zone / Oceanic crust (< 15 km)
621,Southern EPR-Segment I,Undersea Features,Submarine,1915 CE,Pacific Ocean (eastern),-18.53,-113.42,-2600.0,Basalt / Picro-Basalt,Rift zone / Oceanic crust (< 15 km)
622,Barcena,Mexico,Pyroclastic cone(s),1953 CE,Mexico,19.3,-110.82,332.0,Trachyte / Trachydacite,Rift zone / Oceanic crust (< 15 km)
623,Socorro,Mexico,Shield,1994 CE,Mexico,18.78,-110.95,1050.0,Trachyte / Trachydacite,Rift zone / Oceanic crust (< 15 km)
624,Ceboruco,Mexico,Stratovolcano,1875 CE,Mexico,21.13,-104.51,2280.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
625,Colima,Mexico,Stratovolcano(es),2019 CE,Mexico,19.51,-103.62,3850.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
626,Michoacan-Guanajuato,Mexico,Pyroclastic cone(s),1952 CE,Mexico,19.85,-101.75,3860.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
627,Zitacuaro-Valle de Bravo,Mexico,Caldera,3050 BCE,Mexico,19.4,-100.25,3500.0,Dacite,Subduction zone / Continental crust (>25 km)
628,Jocotitlan,Mexico,Stratovolcano,1270 CE,Mexico,19.73,-99.76,3900.0,Dacite,Subduction zone / Continental crust (>25 km)
629,"Toluca, Nevado de",Mexico,Stratovolcano,1350 BCE,Mexico,19.11,-99.76,4680.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
630,Chichinautzin,Mexico,Volcanic field,400 CE,Mexico,19.08,-99.13,3930.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
631,Popocatepetl,Mexico,Stratovolcano(es),2020 CE,Mexico,19.02,-98.62,5393.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
632,"Malinche, La",Mexico,Stratovolcano,1170 BCE,Mexico,19.23,-98.03,4461.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
633,"Humeros, Los",Mexico,Caldera(s),4470 BCE,Mexico,19.68,-97.45,3150.0,Rhyolite,Subduction zone / Continental crust (>25 km)
634,Naolinco Volcanic Field,Mexico,Pyroclastic cone(s),1200 BCE,Mexico,19.67,-96.75,2000.0,Basalt / Picro-Basalt,Subduction zone / Continental crust (>25 km)
635,Cofre de Perote,Mexico,Shield(s),1150 CE,Mexico,19.49,-97.15,4282.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
636,"Cumbres,  Las",Mexico,Stratovolcano,3920 BCE,Mexico,19.15,-97.27,3940.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
637,"Orizaba, Pico de",Mexico,Stratovolcano,1846 CE,Mexico,19.03,-97.27,5564.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
638,San Martin,Mexico,Shield,1796 CE,Mexico,18.57,-95.2,1650.0,Trachybasalt / Tephrite Basanite,Subduction zone / Continental crust (>25 km)
639,"Chichon, El",Mexico,Lava dome(s),1982 CE,Mexico,17.36,-93.23,1150.0,Trachyandesite / Basaltic Trachyandesite,Subduction zone / Continental crust (>25 km)
640,Tacana,Mexico-Guatemala,Stratovolcano,1986 CE,Mexico,15.13,-92.11,4064.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
641,Santa Maria,Guatemala,Stratovolcano,2020 CE,Guatemala,14.76,-91.55,3745.0,Dacite,Subduction zone / Continental crust (>25 km)
642,Almolonga,Guatemala,Stratovolcano,1818 CE,Guatemala,14.8,-91.52,3173.0,Dacite,Subduction zone / Continental crust (>25 km)
643,Atitlan,Guatemala,Stratovolcano(es),1853 CE,Guatemala,14.58,-91.19,3535.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
644,Acatenango,Guatemala,Stratovolcano(es),1972 CE,Guatemala,14.5,-90.88,3976.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
645,Fuego,Guatemala,Stratovolcano(es),2020 CE,Guatemala,14.47,-90.88,3763.0,Basalt / Picro-Basalt,Subduction zone / Continental crust (>25 km)
646,Pacaya,Guatemala,Complex,2020 CE,Guatemala,14.38,-90.6,2569.0,Basalt / Picro-Basalt,Subduction zone / Continental crust (>25 km)
647,Tecuamburro,Guatemala,Stratovolcano,960 BCE,Guatemala,14.16,-90.41,1845.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
648,Santa Ana,El Salvador,Stratovolcano,2005 CE,El Salvador and Honduras,13.85,-89.63,2381.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
649,Izalco,El Salvador,Stratovolcano,1966 CE,El Salvador and Honduras,13.81,-89.63,1950.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
650,San Salvador,El Salvador,Stratovolcano,1917 CE,El Salvador and Honduras,13.73,-89.29,1893.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
651,Ilopango,El Salvador,Caldera,1880 CE,El Salvador and Honduras,13.67,-89.05,450.0,Dacite,Subduction zone / Continental crust (>25 km)
652,San Miguel,El Salvador,Stratovolcano,2020 CE,El Salvador and Honduras,13.43,-88.27,2130.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
653,Cosiguina,Nicaragua,Stratovolcano,1859 CE,Nicaragua,12.98,-87.57,872.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
654,San Cristobal,Nicaragua,Stratovolcano,2019 CE,Nicaragua,12.7,-87.0,1745.0,Basalt / Picro-Basalt,Subduction zone / Continental crust (>25 km)
655,Telica,Nicaragua,Stratovolcano(es),2018 CE,Nicaragua,12.61,-86.84,1036.0,Basalt / Picro-Basalt,Subduction zone / Continental crust (>25 km)
656,"Negro, Cerro",Nicaragua,Pyroclastic cone(s),1999 CE,Nicaragua,12.51,-86.7,728.0,Basalt / Picro-Basalt,Subduction zone / Continental crust (>25 km)
657,"Pilas, Las",Nicaragua,Complex,1954 CE,Nicaragua,12.5,-86.69,1088.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
658,Momotombo,Nicaragua,Stratovolcano,2016 CE,Nicaragua,12.42,-86.54,1270.0,Basalt / Picro-Basalt,Subduction zone / Continental crust (>25 km)
659,Apoyeque,Nicaragua,Pyroclastic shield,50 BCE,Nicaragua,12.24,-86.34,518.0,Dacite,Subduction zone / Continental crust (>25 km)
660,Nejapa-Miraflores,Nicaragua,Fissure vent(s),1060 CE,Nicaragua,12.12,-86.32,360.0,Basalt / Picro-Basalt,Subduction zone / Continental crust (>25 km)
661,Masaya,Nicaragua,Caldera,2020 CE,Nicaragua,11.99,-86.17,594.0,Basalt / Picro-Basalt,Subduction zone / Continental crust (>25 km)
662,Concepcion,Nicaragua,Stratovolcano,2011 CE,Nicaragua,11.54,-85.62,1700.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
663,Rincon de la Vieja,Costa Rica,Complex,2020 CE,Costa Rica,10.83,-85.32,1916.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
664,Miravalles,Costa Rica,Stratovolcano,1946 CE,Costa Rica,10.75,-85.15,2028.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
665,Arenal,Costa Rica,Stratovolcano,2010 CE,Costa Rica,10.46,-84.7,1670.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
666,Poas,Costa Rica,Stratovolcano,2019 CE,Costa Rica,10.2,-84.23,2708.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
667,Barva,Costa Rica,Complex,6050 BCE,Costa Rica,10.14,-84.1,2906.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
668,Irazu,Costa Rica,Stratovolcano,1994 CE,Costa Rica,9.98,-83.85,3432.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
669,Turrialba,Costa Rica,Stratovolcano,2019 CE,Costa Rica,10.03,-83.77,3340.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
670,Baru,Panama,Stratovolcano,1550 CE,Panama,8.81,-82.54,3474.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
671,Romeral,Colombia,Stratovolcano,5390 BCE,Colombia,5.2,-75.36,3769.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
672,"Bravo, Cerro",Colombia,Stratovolcano,1720 CE,Colombia,5.09,-75.29,3985.0,Dacite,Subduction zone / Continental crust (>25 km)
673,"Ruiz, Nevado del",Colombia,Stratovolcano,2020 CE,Colombia,4.89,-75.32,5279.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
674,Santa Isabel,Colombia,Shield,850 BCE,Colombia,4.82,-75.37,4944.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
675,"Tolima, Nevado del",Colombia,Stratovolcano,1943 CE,Colombia,4.66,-75.33,5215.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
676,Machin,Colombia,Stratovolcano,1180 CE,Colombia,4.49,-75.39,2749.0,Dacite,Subduction zone / Continental crust (>25 km)
677,"Huila, Nevado del",Colombia,Stratovolcano,2012 CE,Colombia,2.93,-76.03,5364.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
678,Purace,Colombia,Stratovolcano(es),1977 CE,Colombia,2.32,-76.4,4650.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
679,Dona Juana,Colombia,Stratovolcano,1906 CE,Colombia,1.5,-76.94,4137.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
680,Galeras,Colombia,Complex,2014 CE,Colombia,1.22,-77.37,4276.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
681,Azufral,Colombia,Stratovolcano,930 BCE,Colombia,1.08,-77.68,4070.0,Dacite,Subduction zone / Continental crust (>25 km)
682,Cumbal,Colombia,Stratovolcano,1926 CE,Colombia,0.95,-77.87,4764.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
683,Chiles-Cerro Negro,Colombia-Ecuador,Stratovolcano,1936 CE,Colombia,0.82,-77.94,4698.0,Dacite,Subduction zone / Continental crust (>25 km)
684,Soche,Ecuador,Stratovolcano,6650 BCE,Ecuador,0.55,-77.58,3955.0,Dacite,Subduction zone / Continental crust (>25 km)
685,Chachimbiro,Ecuador,Stratovolcano,3740 BCE,Ecuador,0.47,-78.29,4106.0,Dacite,Subduction zone / Continental crust (>25 km)
686,Cuicocha,Ecuador,Caldera,650 CE,Ecuador,0.31,-78.36,3246.0,Dacite,Subduction zone / Continental crust (>25 km)
687,Imbabura,Ecuador,Compound,5550 BCE,Ecuador,0.26,-78.18,4609.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
688,Cayambe,Ecuador,Compound,1786 CE,Ecuador,0.03,-77.99,5790.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
689,Reventador,Ecuador,Stratovolcano,2020 CE,Ecuador,-0.08,-77.66,3562.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
690,Pululahua,Ecuador,Caldera,290 CE,Ecuador,0.04,-78.46,3356.0,Dacite,Subduction zone / Continental crust (>25 km)
691,Guagua Pichincha,Ecuador,Stratovolcano,2002 CE,Ecuador,-0.17,-78.6,4784.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
692,Atacazo,Ecuador,Stratovolcano,320 BCE,Ecuador,-0.35,-78.62,4463.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
693,Chacana,Ecuador,Caldera,1773 CE,Ecuador,-0.38,-78.25,4643.0,Rhyolite,Subduction zone / Continental crust (>25 km)
694,Antisana,Ecuador,Stratovolcano,1802 CE,Ecuador,-0.48,-78.14,5753.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
695,Aliso,Ecuador,Stratovolcano,2450 BCE,Ecuador,-0.53,-78.0,4267.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
696,Sumaco,Ecuador,Stratovolcano,1895 CE,Ecuador,-0.54,-77.63,3990.0,Trachybasalt / Tephrite Basanite,Subduction zone / Continental crust (>25 km)
697,Cotopaxi,Ecuador,Stratovolcano,2016 CE,Ecuador,-0.68,-78.44,5911.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
698,Quilotoa,Ecuador,Caldera,1280 CE,Ecuador,-0.85,-78.9,3914.0,Dacite,Subduction zone / Continental crust (>25 km)
699,Chimborazo,Ecuador,Stratovolcano,550 CE,Ecuador,-1.46,-78.82,6310.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
700,Tungurahua,Ecuador,Stratovolcano,2016 CE,Ecuador,-1.47,-78.44,5023.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
701,Sangay,Ecuador,Stratovolcano,2020 CE,Ecuador,-2.01,-78.34,5286.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
702,Fernandina,Ecuador,Shield,2020 CE,Galapagos Islands,-0.37,-91.55,1476.0,Basalt / Picro-Basalt,Rift zone / Oceanic crust (< 15 km)
703,Ecuador,Ecuador,Shield,1150 CE,Galapagos Islands,-0.02,-91.55,790.0,Basalt / Picro-Basalt,Rift zone / Oceanic crust (< 15 km)
704,Wolf,Ecuador,Shield,2015 CE,Galapagos Islands,0.02,-91.35,1710.0,Basalt / Picro-Basalt,Rift zone / Oceanic crust (< 15 km)
705,Darwin,Ecuador,Shield,1813 CE,Galapagos Islands,-0.18,-91.28,1330.0,Basalt / Picro-Basalt,Rift zone / Oceanic crust (< 15 km)
706,Alcedo,Ecuador,Shield,1993 CE,Galapagos Islands,-0.43,-91.12,1130.0,Basalt / Picro-Basalt,Rift zone / Oceanic crust (< 15 km)
707,"Negra, Sierra",Ecuador,Shield,2018 CE,Galapagos Islands,-0.83,-91.17,1124.0,Basalt / Picro-Basalt,Rift zone / Oceanic crust (< 15 km)
708,"Azul, Cerro",Ecuador,Shield,2008 CE,Galapagos Islands,-0.92,-91.41,1640.0,Basalt / Picro-Basalt,Rift zone / Oceanic crust (< 15 km)
709,Pinta,Ecuador,Shield,1928 CE,Galapagos Islands,0.58,-90.75,780.0,Basalt / Picro-Basalt,Rift zone / Oceanic crust (< 15 km)
710,Marchena,Ecuador,Shield,1991 CE,Galapagos Islands,0.33,-90.47,343.0,Basalt / Picro-Basalt,Rift zone / Oceanic crust (< 15 km)
711,Santiago,Ecuador,Shield,1906 CE,Galapagos Islands,-0.22,-90.77,920.0,Basalt / Picro-Basalt,Rift zone / Oceanic crust (< 15 km)
712,Quimsachata,Peru,Lava dome,4450 BCE,Peru,-14.18,-71.35,3693.0,Rhyolite,Subduction zone / Continental crust (>25 km)
713,Andahua-Orcopampa,Peru,Pyroclastic cone(s),1490 CE,Peru,-15.42,-72.33,4713.0,Trachyandesite / Basaltic Trachyandesite,Subduction zone / Continental crust (>25 km)
714,Huambo,Peru,Volcanic field,700 BCE,Peru,-15.83,-72.13,4550.0,Trachyandesite / Basaltic Trachyandesite,Subduction zone / Continental crust (>25 km)
715,Sabancaya,Peru,Stratovolcano(es),2020 CE,Peru,-15.79,-71.86,5960.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
716,"Misti, El",Peru,Stratovolcano,1985 CE,Peru,-16.29,-71.41,5822.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
717,Ubinas,Peru,Stratovolcano,2019 CE,Peru,-16.36,-70.9,5672.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
718,Huaynaputina,Peru,Stratovolcano,1600 CE,Peru,-16.61,-70.85,4850.0,Dacite,Subduction zone / Continental crust (>25 km)
719,Ticsani,Peru,Lava dome(s),1800 CE,Peru,-16.76,-70.6,5408.0,Dacite,Subduction zone / Continental crust (>25 km)
720,Tutupaca,Peru,Stratovolcano(es),1802 CE,Peru,-17.03,-70.37,5801.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
721,Yucamane,Peru,Stratovolcano(es),1320 BCE,Peru,-17.18,-70.2,5495.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
722,Taapaca,Chile,Complex,320 BCE,"Northern Chile, Bolivia and Argentina",-18.1,-69.5,5860.0,Dacite,Subduction zone / Continental crust (>25 km)
723,Parinacota,Chile-Bolivia,Stratovolcano,290 CE,"Northern Chile, Bolivia and Argentina",-18.17,-69.14,6336.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
724,Guallatiri,Chile,Stratovolcano,1960 CE,"Northern Chile, Bolivia and Argentina",-18.42,-69.09,6071.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
725,Isluga,Chile,Stratovolcano,1913 CE,"Northern Chile, Bolivia and Argentina",-19.15,-68.83,5550.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
726,Irruputuncu,Chile-Bolivia,Stratovolcano,1995 CE,"Northern Chile, Bolivia and Argentina",-20.73,-68.55,5163.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
727,San Pedro-San Pablo,Chile,Stratovolcano(es),1960 CE,"Northern Chile, Bolivia and Argentina",-21.89,-68.39,6142.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
728,Putana,Chile,Stratovolcano,1810 CE,"Northern Chile, Bolivia and Argentina",-22.56,-67.85,5884.0,Dacite,Subduction zone / Continental crust (>25 km)
729,Lascar,Chile,Stratovolcano(es),2017 CE,"Northern Chile, Bolivia and Argentina",-23.37,-67.73,5592.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
730,Socompa,Chile-Argentina,Stratovolcano,5250 BCE,"Northern Chile, Bolivia and Argentina",-24.4,-68.25,6031.0,Dacite,Subduction zone / Continental crust (>25 km)
731,Llullaillaco,Chile-Argentina,Stratovolcano,1877 CE,"Northern Chile, Bolivia and Argentina",-24.72,-68.53,6739.0,Dacite,Subduction zone / Continental crust (>25 km)
732,"Ojos del Salado, Nevados",Chile-Argentina,Stratovolcano,750 CE,"Northern Chile, Bolivia and Argentina",-27.11,-68.54,6879.0,Dacite,Subduction zone / Continental crust (>25 km)
733,"Blanco, Cerro",Argentina,Caldera,2300 BCE,"Northern Chile, Bolivia and Argentina",-26.79,-67.77,4670.0,Rhyolite,Subduction zone / Continental crust (>25 km)
734,Tupungatito,Chile-Argentina,Stratovolcano,1987 CE,Central Chile and Argentina,-33.43,-69.8,5660.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
735,San Jose,Chile-Argentina,Stratovolcano(es),1960 CE,Central Chile and Argentina,-33.79,-69.9,6070.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
736,Maipo,Chile-Argentina,Caldera,1912 CE,Central Chile and Argentina,-34.16,-69.83,5323.0,Trachyandesite / Basaltic Trachyandesite,Subduction zone / Continental crust (>25 km)
737,Tinguiririca,Chile,Stratovolcano,1917 CE,Central Chile and Argentina,-34.81,-70.35,4280.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
738,Planchon-Peteroa,Chile,Stratovolcano(es),2019 CE,Central Chile and Argentina,-35.22,-70.57,3977.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
739,Infiernillo,Argentina,Volcanic field,6890 BCE,Central Chile and Argentina,-35.12,-69.9,3007.0,Andesite / Basaltic Andesite,Intraplate / Continental crust (>25 km)
740,Descabezado Grande,Chile,Stratovolcano(es),1933 CE,Central Chile and Argentina,-35.58,-70.75,3953.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
741,"Azul, Cerro",Chile,Stratovolcano,1967 CE,Central Chile and Argentina,-35.65,-70.76,3788.0,Dacite,Subduction zone / Continental crust (>25 km)
742,"Maule, Laguna del",Chile,Caldera,50 BCE,Central Chile and Argentina,-36.06,-70.49,2162.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
743,"Longavi, Nevado de",Chile,Stratovolcano,4890 BCE,Central Chile and Argentina,-36.19,-71.16,3242.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
744,Payun Matru,Argentina,Shield,5050 BCE,Central Chile and Argentina,-36.42,-69.24,3715.0,Trachybasalt / Tephrite Basanite,Subduction zone / Continental crust (>25 km)
745,"Chillan, Nevados de",Chile,Stratovolcano,2020 CE,Central Chile and Argentina,-36.87,-71.38,3180.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
746,Tromen,Argentina,Stratovolcano(es),1822 CE,Central Chile and Argentina,-37.14,-70.03,4114.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
747,Antuco,Chile,Stratovolcano,1869 CE,Central Chile and Argentina,-37.41,-71.35,2979.0,Basalt / Picro-Basalt,Subduction zone / Continental crust (>25 km)
748,Copahue,Chile-Argentina,Stratovolcano,2019 CE,Central Chile and Argentina,-37.86,-71.18,2953.0,Trachybasalt / Tephrite Basanite,Subduction zone / Continental crust (>25 km)
749,Callaqui,Chile,Stratovolcano,1980 CE,Central Chile and Argentina,-37.92,-71.45,3164.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
750,Tolhuaca,Chile,Stratovolcano,4000 BCE,Central Chile and Argentina,-38.31,-71.65,2739.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
751,Lonquimay,Chile,Stratovolcano,1990 CE,Central Chile and Argentina,-38.38,-71.59,2832.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
752,Llaima,Chile,Stratovolcano,2009 CE,Central Chile and Argentina,-38.69,-71.73,3125.0,Basalt / Picro-Basalt,Subduction zone / Continental crust (>25 km)
753,Sollipulli,Chile,Caldera,1240 CE,Central Chile and Argentina,-38.97,-71.52,2282.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
754,Caburgua-Huelemolle,Chile,Pyroclastic cone(s),5050 BCE,Central Chile and Argentina,-39.25,-71.75,1652.0,Basalt / Picro-Basalt,Subduction zone / Continental crust (>25 km)
755,Villarrica,Chile,Stratovolcano,2020 CE,Central Chile and Argentina,-39.42,-71.93,2847.0,Basalt / Picro-Basalt,Subduction zone / Continental crust (>25 km)
756,Quetrupillan,Chile,Stratovolcano,255 CE,Central Chile and Argentina,-39.5,-71.72,2360.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
757,Lanin,Chile-Argentina,Stratovolcano,560 CE,Central Chile and Argentina,-39.64,-71.5,3776.0,Trachyandesite / Basaltic Trachyandesite,Subduction zone / Continental crust (>25 km)
758,Huanquihue Group,Argentina,Stratovolcano(es),1750 CE,Central Chile and Argentina,-39.89,-71.58,2189.0,Basalt / Picro-Basalt,Subduction zone / Continental crust (>25 km)
759,Mocho-Choshuenco,Chile,Stratovolcano(es),1937 CE,Central Chile and Argentina,-39.93,-72.03,2422.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
760,Carran-Los Venados,Chile,Pyroclastic cone(s),1979 CE,Central Chile and Argentina,-40.35,-72.07,1114.0,Basalt / Picro-Basalt,Subduction zone / Continental crust (>25 km)
761,Puyehue-Cordon Caulle,Chile,Stratovolcano,2012 CE,Central Chile and Argentina,-40.59,-72.12,2236.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
762,Antillanca Volcanic Complex,Chile,Stratovolcano(es),230 BCE,Central Chile and Argentina,-40.78,-72.15,1979.0,Basalt / Picro-Basalt,Subduction zone / Continental crust (>25 km)
763,Puntiagudo-Cordon Cenizos,Chile,Stratovolcano,1850 CE,Central Chile and Argentina,-40.97,-72.26,2493.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
764,Osorno,Chile,Stratovolcano,1869 CE,Southern Chile and Argentina,-41.11,-72.5,2659.0,Basalt / Picro-Basalt,Subduction zone / Continental crust (>25 km)
765,Cayutue-La Vigueria,Chile,Pyroclastic cone(s),190 BCE,Southern Chile and Argentina,-41.25,-72.27,506.0,Basalt / Picro-Basalt,Subduction zone / Continental crust (>25 km)
766,Calbuco,Chile,Stratovolcano,2015 CE,Southern Chile and Argentina,-41.33,-72.62,1974.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
