id,Volcano Name,Country,Type,Last Known Eruption,Region,Latitude,Longitude,Elevation,Dominant Rock Type,Tectonic Setting
477,Jom-Bolok,Russia,Volcanic field,5180 BCE,Russia (southeastern),52.71,99.02,2047.0,Basalt / Picro-Basalt,Rift zone / Continental crust (>25 km)
478,Taryatu-Chulutu,Mongolia,Volcanic field,2980 BCE,Mongolia,48.13,99.95,2326.0,Trachybasalt / Tephrite Basanite,Intraplate / Continental crust (>25 km)
479,Kunlun Volcanic Group,China,Pyroclastic cone(s),1951 CE,China (western),35.52,80.2,5808.0,Trachyte / Trachydacite,Intraplate / Continental crust (>25 km)
480,Arxan-Chaihe,China,Pyroclastic cone(s),0 CE,China (eastern),47.45,120.8,1677.0,Basalt / Picro-Basalt,Intraplate / Continental crust (>25 km)
481,Wudalianchi,China,Volcanic field,1776 CE,China (eastern),48.72,126.12,597.0,Trachybasalt / Tephrite Basanite,Intraplate / Continental crust (>25 km)
482,Jingbo,China,Volcanic field,520 BCE,China (eastern),44.08,128.83,1000.0,Trachybasalt / Tephrite Basanite,Intraplate / Continental crust (>25 km)
483,Longgang Group,China,Pyroclastic cone(s),350 CE,China (eastern),42.33,126.5,1000.0,Basalt / Picro-Basalt,Intraplate / Continental crust (>25 km)
484,Changbaishan,China-North Korea,Stratovolcano,1903 CE,China (eastern),41.98,128.08,2744.0,Trachyte / Trachydacite,Intraplate / Continental crust (>25 km)
485,Ulreung,South Korea,Stratovolcano,2990 BCE,Korea,37.5,130.87,984.0,Trachyandesite / Basaltic Trachyandesite,Intraplate / Continental crust (>25 km)
486,Halla,South Korea,Shield,1007 CE,Korea,33.36,126.53,1919.0,Basalt / Picro-Basalt,Intraplate / Continental crust (>25 km)
487,Kiska,United States,Stratovolcano,1990 CE,Aleutian Islands,52.1,177.6,1220.0,Andesite / Basaltic Andesite,Subduction zone / Intermediate crust (15-25 km)
488,Little Sitkin,United States,Stratovolcano,1830 CE,Aleutian Islands,51.95,178.54,1174.0,Andesite / Basaltic Andesite,Subduction zone / Intermediate crust (15-25 km)
489,Semisopochnoi,United States,Stratovolcano,2020 CE,Aleutian Islands,51.93,179.58,1221.0,Basalt / Picro-Basalt,Subduction zone / Intermediate crust (15-25 km)
490,Gareloi,United States,Stratovolcano,1989 CE,Aleutian Islands,51.79,-178.79,1573.0,Basalt / Picro-Basalt,Subduction zone / Intermediate crust (15-25 km)
491,Tanaga,United States,Stratovolcano(es),1914 CE,Aleutian Islands,51.89,-178.15,1806.0,Basalt / Picro-Basalt,Subduction zone / Intermediate crust (15-25 km)
492,Takawangha,United States,Stratovolcano,1550 CE,Aleutian Islands,51.87,-178.01,1449.0,Basalt / Picro-Basalt,Subduction zone / Intermediate crust (15-25 km)
493,Kanaga,United States,Stratovolcano,2012 CE,Aleutian Islands,51.92,-177.17,1307.0,Andesite / Basaltic Andesite,Subduction zone / Intermediate crust (15-25 km)
494,Moffett,United States,Stratovolcano,1600 BCE,Aleutian Islands,51.94,-176.75,1196.0,Andesite / Basaltic Andesite,Subduction zone / Intermediate crust (15-25 km)
495,Great Sitkin,United States,Stratovolcano,2019 CE,Aleutian Islands,52.08,-176.13,1740.0,Andesite / Basaltic Andesite,Subduction zone / Intermediate crust (15-25 km)
496,Kasatochi,United States,Stratovolcano,2008 CE,Aleutian Islands,52.18,-175.51,314.0,Basalt / Picro-Basalt,Subduction zone / Intermediate crust (15-25 km)
497,Koniuji,United States,Stratovolcano,1150 BCE,Aleutian Islands,52.22,-175.13,273.0,Andesite / Basaltic Andesite,Subduction zone / Intermediate crust (15-25 km)
498,Atka,United States,Stratovolcano(es),1812 CE,Aleutian Islands,52.33,-174.14,1448.0,Basalt / Picro-Basalt,Subduction zone / Intermediate crust (15-25 km)
499,Korovin,United States,Stratovolcano(es),2007 CE,Aleutian Islands,52.38,-174.17,1518.0,Basalt / Picro-Basalt,Subduction zone / Continental crust (>25 km)
500,Seguam,United States,Stratovolcano(es),1993 CE,Aleutian Islands,52.32,-172.51,1054.0,Andesite / Basaltic Andesite,Subduction zone / Intermediate crust (15-25 km)
501,Amukta,United States,Stratovolcano,1997 CE,Aleutian Islands,52.5,-171.25,1066.0,Andesite / Basaltic Andesite,Subduction zone / Intermediate crust (15-25 km)
502,Yunaska,United States,Shield,1937 CE,Aleutian Islands,52.64,-170.63,550.0,Andesite / Basaltic Andesite,Subduction zone / Intermediate crust (15-25 km)
503,Carlisle,United States,Stratovolcano,1828 CE,Aleutian Islands,52.89,-170.05,1620.0,Andesite / Basaltic Andesite,Subduction zone / Intermediate crust (15-25 km)
504,Cleveland,United States,Stratovolcano,2019 CE,Aleutian Islands,52.83,-169.94,1730.0,Andesite / Basaltic Andesite,Subduction zone / Intermediate crust (15-25 km)
505,Kagamil,United States,Stratovolcano,1929 CE,Aleutian Islands,52.97,-169.72,893.0,No Data (checked),Subduction zone / Intermediate crust (15-25 km)
506,Vsevidof,United States,Stratovolcano,1878 CE,Aleutian Islands,53.13,-168.69,2149.0,Andesite / Basaltic Andesite,Subduction zone / Intermediate crust (15-25 km)
507,Okmok,United States,Shield,2008 CE,Aleutian Islands,53.43,-168.13,1073.0,Basalt / Picro-Basalt,Subduction zone / Intermediate crust (15-25 km)
508,Bogoslof,United States,Submarine,2017 CE,Aleutian Islands,53.93,-168.03,150.0,Trachyandesite / Basaltic Trachyandesite,Subduction zone / Intermediate crust (15-25 km)
509,Makushin,United States,Stratovolcano,1995 CE,Aleutian Islands,53.89,-166.92,1800.0,Andesite / Basaltic Andesite,Subduction zone / Intermediate crust (15-25 km)
510,Akutan,United States,Stratovolcano,1992 CE,Aleutian Islands,54.13,-165.99,1303.0,Basalt / Picro-Basalt,Subduction zone / Intermediate crust (15-25 km)
511,Westdahl,United States,Stratovolcano?,1992 CE,Aleutian Islands,54.52,-164.65,1563.0,Basalt / Picro-Basalt,Subduction zone / Continental crust (>25 km)
512,Fisher,United States,Stratovolcano,1830 CE,Aleutian Islands,54.65,-164.43,1112.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
513,Shishaldin,United States,Stratovolcano,2020 CE,Aleutian Islands,54.76,-163.97,2857.0,Basalt / Picro-Basalt,Subduction zone / Continental crust (>25 km)
514,Roundtop,United States,Stratovolcano,7600 BCE,Aleutian Islands,54.8,-163.59,1871.0,Rhyolite,Subduction zone / Continental crust (>25 km)
515,Amak,United States,Stratovolcano,1796 CE,Aleutian Islands,55.42,-163.15,488.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
516,Pavlof,United States,Stratovolcano,2016 CE,Alaska Peninsula,55.42,-161.89,2493.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
517,Dana,United States,Stratovolcano,1890 BCE,Alaska Peninsula,55.64,-161.21,1354.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
518,Kupreanof,United States,Stratovolcano,1987 CE,Alaska Peninsula,56.01,-159.8,1895.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
519,Veniaminof,United States,Stratovolcano,2018 CE,Alaska Peninsula,56.17,-159.38,2507.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
520,Black Peak,United States,Stratovolcano,1900 BCE,Alaska Peninsula,56.55,-158.79,1032.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
