id,Period Number,Name,Symbol,Atomic Number,Atomic Weight,Melting Point,Boiling Point,Density,Phase at Room Temperature,Element Classification,Group,Uses
94,7.0,Plutonium,Pu,94.0,244.0,1184.0,5842.0,19.84,Solid,Metal,Actinide Metals,Nuclear Weapons
95,7.0,Americium,Am,95.0,243.0,2149.0,3652.0,13.79,Solid,Metal,Actinide Metals,Smoke Detectors
96,7.0,Curium,Cm,96.0,247.0,2453.0,5600.0,13.51,Solid,Metal,Actinide Metals,Scientific Instruments
97,7.0,Berkelium,Bk,97.0,247.0,1922.0,Unknown,14.0,Solid,Metal,Actinide Metals,Radioactive Waste
98,7.0,Californium,Cf,98.0,251.0,1652.0,Unknown,Unknown,Solid,Metal,Actinide Metals,Scientific Instruments
99,7.0,Einsteinium,Es,99.0,252.0,1580.0,Unknown,Unknown,Solid,Metal,Actinide Metals,Radioactive and Never Found in Nature
100,7.0,Fermium,Fm,100.0,257.0,2781.0,Unknown,Unknown,Solid,Metal,Actinide Metals,Radioactive and Never Found in Nature
101,7.0,Mendelevium,Md,101.0,258.0,1521.0,Unknown,Unknown,Solid,Metal,Actinide Metals,Radioactive and Never Found in Nature
102,7.0,Nobelium,No,102.0,259.0,1520.0,Unknown,Unknown,Solid,Metal,Actinide Metals,Radioactive and Never Found in Nature
103,7.0,Lawrencium,Lr,103.0,262.0,2961.0,Unknown,Unknown,Solid,Metal,Actinide Metals,Radioactive and Never Found in Nature
104,7.0,Rutherfordium,Rf,104.0,263.0,Unknown,Unknown,Unknown,Solid,Metal,Superheavy Elements,Radioactive and Never Found in Nature
105,7.0,Dubnium,Db,105.0,268.0,Unknown,Unknown,Unknown,Solid,Metal,Superheavy Elements,Radioactive and Never Found in Nature
106,7.0,Seaborgium,Sg,106.0,271.0,Unknown,Unknown,Unknown,Solid,Metal,Superheavy Elements,Radioactive and Never Found in Nature
107,7.0,Bogrium,Bh,107.0,270.0,Unknown,Unknown,Unknown,Solid,Metal,Superheavy Elements,Radioactive and Never Found in Nature
108,7.0,Hassium,Hs,108.0,270.0,Unknown,Unknown,Unknown,Solid,Metal,Superheavy Elements,Radioactive and Never Found in Nature
109,7.0,Meitnerium,Mt,109.0,278.0,Unknown,Unknown,Unknown,Solid,Metal,Superheavy Elements,Radioactive and Never Found in Nature
110,7.0,Darmstadtium,Ds,110.0,281.0,Unknown,Unknown,Unknown,Expected to be Solid,Metal,Superheavy Elements,Radioactive and Never Found in Nature
111,7.0,Roentgenium,Rg,111.0,281.0,Unknown,Unknown,Unknown,Expected to be Solid,Metal,Superheavy Elements,Radioactive and Never Found in Nature
112,7.0,Copernicium,Cn,112.0,285.0,Unknown,Unknown,Unknown,Expected to be Solid,Metal,Superheavy Elements,Radioactive and Never Found in Nature
113,7.0,Nihonium,Nh,113.0,286.0,Unknown,Unknown,Unknown,Expected to be Solid,Metal,Superheavy Elements,Radioactive and Never Found in Nature
114,7.0,Flerovium,Fl,114.0,289.0,Unknown,Unknown,Unknown,Expected to be Solid,Metal,Superheavy Elements,Radioactive and Never Found in Nature
115,7.0,Moscovium,Mc,115.0,289.0,Unknown,Unknown,Unknown,Expected to be Solid,Metal,Superheavy Elements,Radioactive and Never Found in Nature
116,7.0,Livermorium,Lv,116.0,293.0,Unknown,Unknown,Unknown,Expected to be Solid,Metal,Superheavy Elements,Radioactive and Never Found in Nature
117,7.0,Tennessine,Ts,117.0,294.0,Unknown,Unknown,Unknown,Expected to be Solid,Unknown,Superheavy Elements,Radioactive and Never Found in Nature
118,7.0,Oganesson,Og,118.0,294.0,Unknown,Unknown,Unknown,Expected to be Solid,Non-metal,Superheavy Elements,Radioactive and Never Found in Nature
