id,Name,Date of birth / death,Occupation(s),Inventions / accomplishments
17,"Blackwell, David",1919–2010,"Mathematician, statistician","First proposed the Blackwell channel model used in coding theory and information theory; one of the eponyms of the Rao–Blackwell theorem, which is a process that significantly improves crude statistical estimators"
18,"Blair, Henry",1807–1860,Inventor,Second black inventor to issue a patent; invented seed planter and cotton planter.
19,"Boahen, Kwabena",1964–,Bioengineer,Silicon retina able to process images in the same manner as a living retina
20,"Boone, Sarah",1832–1905,Inventor,Ironing board allowing sleeves of women's garments to be ironed more easily
21,"Bouchet, Edward",1852–1918,Physicist,First African-American to receive a PhD in any subject; received physics doctorate from Yale University in 1876
22,"Bowman, James",1923–2011,Physician,Pathologist and geneticist; Professor Emeritus Pritzker School of Medicine; first tenured African-American professor at the University of Chicago Division of Biological Sciences
23,"Boykin, Otis",1920–1982,"Inventor, engineer",Artificial heart pacemaker control unit
24,"Brady, St. Elmo",1884–1966,Chemist,Published three scholarly abstracts in Science; collaborated on a paper published in the Journal of Industrial and Engineering Chemistry
25,"Branson, Herman",1914–1995,"Physicist, educator",Protein structure research
26,"Brooks, Charles",1865– ?,Inventor[citation needed],Street sweeper truck and a type of paper punch
27,Henry Brown,1832– ?,Inventor,Invented fire safe
28,"Brown, Oscar E.",18xx– ?,Inventor,Received a patent for an improved horseshoe[46]
29,"Brown, Marie Van Brittan",1922–1999,Inventor,Invented the home security system
30,"Burr, John Albert",18xx– ?,Inventor,Rotary-blade lawn mower patent
31,"Cannon, Thomas C.",1943–,Inventor,"Led a group of engineers who developed the Tactical Optical Fiber Connector (TOFC), the first fiber optic connector deployed under battlefield conditions, and the ST Connector that helped make fiber optic communications affordable."
32,"Cardozo, William Warrick",1905–1962,Pediatrician,"Sickle cell anemia studies; in October 1937 he published ""Immunologic Studies in Sickle Cell Anemia"" in the Archives of Internal Medicine; many of the findings are still valid today"
33,"Carson, Ben",1951–,Pediatric neurosurgeon,Pediatric neurosurgery at Johns Hopkins University; first surgeon to successfully separate craniopagus twins
34,"Carruthers, George",1939–,Astrophysicist,"Invented ultraviolet camera/spectrograph, which was used by NASA when it launched Apollo 16 in 1972"
35,"Carver, George Washington",1865–1943,Botanical researcher,"Discovered hundreds of uses for previously useless vegetables and fruits, principally the peanut"
36,"Chappelle, Charles W.",1872–1941,"Electrician, construction, international businessman, and aviation pioneer","Designed long-distance flight airplane; the only African-American to invent and display the airplane at the 1911 First Industrial Air Show held in conjunction with the Auto Show at Grand Central Palace in Manhattan in New York City; president of the African Union Company, Inc."
37,"Chappelle, Emmett",1925–2019,Scientist and researcher,"Valuable contributions to several fields: medicine, biology, food science, and astrochemistry"
38,"Clark, Mamie",1914–2005,Psychologist,Conducted 1940s experiments using dolls to study children's attitudes about race
39,"Clark, Kenneth",1917–1983,Psychologist,First Black president of the American Psychological Association
40,"Crosthwait, David, Jr.",1898–1976,Research engineer,"Heating, ventilation, and air conditioning; received some 40 US patents relating to HVAC systems"
41,"Curtis, James H (Nick)",1935–,"Researcher, chemist (electronics/specialty chemicals)","Organic ionogen for aluminum electrolytic capacitors, cationic dialdehyde polysaccharides for wet strength paper and others, US Patent Office US Pat #3609467 US Pat #3547423 and others"
42,"Dabiri, John",1980–,Biophysicist,Expert on jellyfish hydrodynamics and designer of a vertical-axis wind farm adapted from schooling fish
43,"Daly, Marie Maynard",1921–2003,Chemist,First black American woman with a PhD in chemistry
44,"Dean, Mark",1957–,Computer scientist,"Led the team that developed the ISA bus, and led the design team responsible for creating the first one-gigahertz computer processor chip"
45,"Drew, Charles",1904–1950,Medical researcher,Developed improved techniques for blood storage
46,"Du Chaillu, Paul",1831–1903,ZoologistexplorerAnthropologist,"Explorer; first modern European outsider to confirm the existence of gorillas, and later the Pygmy people of central Africa; identified as white throughout life, but his mother was a Réunionnais mulatto; settled in America and considered it his country by adoption; the full aspects of his ancestry were not uncovered until 1979, and are still little known today"
47,"Easley, Annie",1933–2011[61],Computer scientist,"Work at the Lewis Research Center of the National Aeronautics and Space Administration and its predecessor, the National Advisory Committee for Aeronautics"
48,"Ellis, Clarence ""Skip""",1943–2014,Computer scientist,First African American with a PhD in computer science; software inventor including OfficeTalk at Xerox PARC
49,"Ezerioha, Bisi",1972–,Automotive engineer,Drag racing engineer and driver
50,"Ferguson, Lloyd Noel",1918–2011,"Chemist, educator","Chemistry doctorate, first received (1943, University of California, Berkeley)"
51,"Fryer, Roland G., Jr.",1977–,"Economist, social scientist, statistician",Inequality studies
52,"Gates, Sylvester James",1950–,Theoretical physicist,"Work on supersymmetry, supergravity, and superstring theory"
