DBN,SCHOOL NAME,Num of SAT Test Takers,SAT Critical Reading Avg. Score,SAT Math Avg. Score,SAT Writing Avg. Score
06M552,GREGORIO LUPERON HIGH SCHOOL FOR SCIENCE AND MATHEMATICS,56,339,349,326
07X221,SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL,65,364,378,348
07X321,CROTONA ACADEMY HIGH SCHOOL,9,379,364,382
07X334,INTERNATIONAL COMMUNITY HIGH SCHOOL,34,310,324,311
07X427,COMMUNITY SCHOOL FOR SOCIAL JUSTICE,43,361,359,357
07X473,MOTT HAVEN VILLAGE PREPARATORY HIGH SCHOOL,63,351,375,371
07X495,UNIVERSITY HEIGHTS SECONDARY SCHOOL,79,403,394,404
07X500,HOSTOSsLINCOLN ACADEMY OF SCIENCE,66,420,426,411
07X520,FOREIGN LANGUAGE ACADEMY OF GLOBAL STUDIES,64,399,396,391
07X527,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL,62,362,378,363
07X547,NEW EXPLORERS HIGH SCHOOL,28,367,356,361
07X548,URBAN ASSEMBLY SCHOOL FOR CAREERS IN SPORTS,44,387,411,383
07X551,BRONX ACADEMY OF LETTERS,51,413,381,407
07X600,ALFRED E. SMITH CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,76,394,400,364
07X655,SAMUEL GOMPERS CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,47,398,416,370
07X670,HEALTH OPPORTUNITIES HIGH SCHOOL,114,363,368,364
08X282,WOMEN'S ACADEMY OF EXCELLENCE,44,407,386,378
08X293,RENAISSANCE HIGH SCHOOL FOR MUSICAL THEATER & TECHNOLOGY,52,384,385,389
08X295,GATEWAY SCHOOL FOR ENVIRONMENTAL RESEARCH AND TECHNOLOGY,41,416,390,394
08X305,PABLO NERUDA ACADEMY FOR ARCHITECTURE AND WORLD STUDIES,67,337,361,340
08X312,MILLENNIUM ART ACADEMY,67,387,402,375
08X332,HOLCOMBE L. RUCKER SCHOOL OF COMMUNITY RESEARCH,39,363,371,350
08X519,"FELISA RINCON DE GAUTIER INSTITUTE FOR LAW AND PUBLIC POLICY, THE",68,373,370,356
08X530,BANANA KELLY HIGH SCHOOL,54,373,381,377
08X540,SCHOOL FOR COMMUNITY RESEARCH AND LEARNING,16,366,400,368
08X560,HIGH SCHOOL X560 s BRONX ACADEMY HIGH SCHOOL,9,404,368,399
08X650,JANE ADDAMS HIGH SCHOOL FOR ACADEMIC CAREERS,78,377,359,376
09X227,BRONX EXPEDITIONARY LEARNING HIGH SCHOOL,39,324,376,349
09X231,EAGLE ACADEMY FOR YOUNG MEN,78,373,387,374
09X239,"URBAN ASSEMBLY ACADEMY FOR HISTORY AND CITIZENSHIP FOR YOUNG MEN, THE",33,372,355,357
09X241,"URBAN ASSEMBLY SCHOOL FOR APPLIED MATH AND SCIENCE, THE",80,411,464,415
09X250,EXIMIUS COLLEGE PREPARATORY ACADEMY: A COLLEGE BOARD SCHOOL,50,393,394,382
09X252,MOTT HALL BRONX HIGH SCHOOL,67,369,367,356
09X260,BRONX CENTER FOR SCIENCE AND MATHEMATICS,81,459,480,457
09X263,VALIDUS PREPARATORY ACADEMY: AN EXPEDITIONARY LEARNING SCHOOL,74,356,363,356
09X276,LEADERSHIP INSTITUTE,30,361,353,367
09X297,MORRIS ACADEMY FOR COLLABORATIVE STUDIES,38,386,386,376
09X329,DREAMYARD PREPARATORY SCHOOL,51,382,365,391
09X365,ACADEMY FOR LANGUAGE AND TECHNOLOGY,54,315,339,297
09X403,BRONX INTERNATIONAL HIGH SCHOOL,49,314,312,339
09X404,SCHOOL FOR EXCELLENCE,32,363,360,351
09X412,BRONX HIGH SCHOOL OF BUSINESS,34,356,376,351
09X413,BRONX HIGH SCHOOL FOR MEDICAL SCIENCE,64,400,419,402
09X414,JONATHAN LEVIN HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS,35,379,364,379
09X505,"BRONX SCHOOL FOR LAW, GOVERNMENT AND JUSTICE",80,404,418,402
09X517,FREDERICK DOUGLASS ACADEMY III SECONDARY SCHOOL,50,368,384,369
09X525,BRONX LEADERSHIP ACADEMY HIGH SCHOOL,114,384,394,388
09X543,HIGH SCHOOL FOR VIOLIN AND DANCE,27,353,315,371
10X141,RIVERDALE / KINGSBRIDGE ACADEMY (MIDDLE SCHOOL / HIGH SCHOOL 141),113,438,455,440
10X213,BRONX ENGINEERING AND TECHNOLOGY ACADEMY,86,373,412,365
10X225,THEATRE ARTS PRODUCTION COMPANY SCHOOL,59,405,391,394
10X237,"THE MARIE CURIE SCHOOL FOR MEDICINE, NURSING, AND HEALTH PROFESSIONS",79,382,393,382
10X243,WEST BRONX ACADEMY FOR THE FUTURE,26,382,406,370
10X268,KINGSBRIDGE INTERNATIONAL HIGH SCHOOL,52,304,356,302
10X284,BRONX SCHOOL OF LAW AND FINANCE,54,402,395,385
10X342,INTERNATIONAL SCHOOL FOR LIBERAL ARTS,49,300,333,301
10X368,INsTECH ACADEMY (M.S. / HIGH SCHOOL 368),111,390,408,383
10X374,KNOWLEDGE AND POWER PREPARATORY ACADEMY INTERNATIONAL HIGH SCHOOL (KAPPA),61,392,401,387
10X397,ENGLISH LANGUAGE LEARNERS AND INTERNATIONAL SUPPORT PREPARATORY ACADEMY (ELLIS),38,343,356,330
10X433,HIGH SCHOOL FOR TEACHING AND THE PROFESSIONS,57,370,371,365
10X434,BELMONT PREPARATORY HIGH SCHOOL,51,404,418,400
10X437,FORDHAM HIGH SCHOOL FOR THE ARTS,48,355,350,372
10X438,FORDHAM LEADERSHIP ACADEMY FOR BUSINESS AND TECHNOLOGY,63,367,385,367
10X439,BRONX HIGH SCHOOL FOR LAW AND COMMUNITY SERVICE,65,366,364,352
10X440,DEWITT CLINTON HIGH SCHOOL,443,419,426,410
10X442,"CELIA CRUZ BRONX HIGH SCHOOL OF MUSIC, THE",52,423,420,427
