id,Lab 0A,Lab 0B,Lab 1 Worksheet,Lab 2A,Lab 2B,Lab 3A,Lab 3B,Lab 4A,Lab 4B,Lab 5A,Lab 5B,Lab 6A,Lab 6B,Lab 7A,Lab 7B,Lab 8A,Lab 8B,Lab 9A,Lab 9B,Lab 10A,Lab 10B,Lab 11A,Lab 11B,CS135 ABET Direct Assessment,ABET Quiz Participation Points,Research Current Score,Research Unposted Current Score,Research Final Score,Research Unposted Final Score,Labs Current Score,Labs Unposted Current Score,Labs Final Score,Labs Unposted Final Score,ABET Current Score,ABET Unposted Current Score,ABET Final Score,ABET Unposted Final Score,ABET Participation Points Current Score,ABET Participation Points Unposted Current Score,ABET Participation Points Final Score,ABET Participation Points Unposted Final Score,Current Score,Unposted Current Score,Final Score,Unposted Final Score,Group
8dec0c52e1e54e1f33cbe51796e55f1d99bfe8fe4e2088782ca6d1626bbc3f0d,100,100,78,94.87,96.5,89.29,92.77,96.5,100,95.44,95.91,95,25,,,,,,,,,,,,,,,,,86.7,86.7,37.27,37.27,,,0,0,,,0,0,86.7,86.7,35.4,35.4,G1
371e74abf5cc5cbc88d890a300e22965a28a496f68a96c23c2be8b3a6195c754,100,100,94,98,93,100,100,99.5,98.5,100,100,100,100,,,,,,,,,,,,,,,,,98.67,98.67,42.41,42.41,,,0,0,,,0,0,98.67,98.67,40.29,40.29,G1
41435d499efe72f2caaa119c75a04b7a3dd909d270441fcf88023a32c781201c,0,100,68,83.23,95.5,94.29,47.03,89.5,90,28.38,0,0,0,,,,,,,,,,,,,,,,,49.32,49.32,21.2,21.2,,,0,0,,,0,0,49.32,49.32,20.14,20.14,G1
8e1bc0522de40ba2f43714063640c15064dfeb40a202b0785cd7bbf544fc2f2b,100,100,74,0,63.77,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,19.62,19.62,8.43,8.43,,,0,0,,,0,0,19.62,19.62,8.01,8.01,G1
fb5333b0eb23d6d4c81df98c427ef0488572d0b5d3d8d2542025c1a59c671f5f,100,100,94,100,75.2,100,100,100,98.5,100,100,100,100,,,,,,,,,,,,,,,,,97.75,97.75,42.01,42.01,,,0,0,,,0,0,97.75,97.75,39.91,39.91,G1
a722c2eb17a02f6cf8af2d3cdfc0105408581c7f197efb2bc4d16b615db3a0e2,100,100,55,87.77,66.7,100,100,100,100,100,90.36,98.5,95,,,,,,,,,,,,,,,,,91.07,91.07,39.14,39.14,,,0,0,,,0,0,91.07,91.07,37.19,37.19,G1
e144580d10fdd2b7b8398833d7a0b7c30ddeebc4ac1711078e9debc41409010d,100,100,70,91,88,99.54,100,100,100,100,100,98.76,93,,,,,,,,,,,,,,,,,94.78,94.78,40.74,40.74,,,0,0,,,0,0,94.78,94.78,38.7,38.7,G1
33d35bf727f4207519904882b77fd8c3a698221346a72fa6102187ab922939c0,100,100,94,72,92.5,97.6,100,99.5,100,100,100,100,100,,,,,,,,,,,,,,,,,97,97,41.69,41.69,,,0,0,,,0,0,97,97,39.61,39.61,G1
91abe6ec0389bf79f311e8b69ef1d6b47c282ab21b19fecdb24e75536fbbbec0,100,100,100,77.5,76.7,100,100,98.55,98.75,100,98.64,65,100,,,,,,,,,,,,,,,,,93.28,93.28,40.09,40.09,,,0,0,,,0,0,93.28,93.28,38.09,38.09,G1
ba8d6bd0eacf943f502f3c029db61baa4726d04cb0c21f9825a2e9b594bc2d70,100,100,100,80,95.5,100,100,100,100,100,100,97.76,100,,,,,,,,,,,,,,,,,98.27,98.27,42.24,42.24,,,0,0,,,0,0,98.27,98.27,40.13,40.13,G1
4a273610f6d71277a96774582ee584342d0837d5585a8de6ee4c447065460e48,100,100,94,73,65.2,100,93.69,100,100,70,95.91,100,53.5,,,,,,,,,,,,,,,,,87.28,87.28,37.51,37.51,,,0,0,,,0,0,87.28,87.28,35.64,35.64,G1
96a83ac87b790c13ab0c65b0943274d5964ea1cf4217ace19b6d3ffc349c3781,100,100,94,99.27,96.23,100,100,100,100,100,100,100,91.26,,,,,,,,,,,,,,,,,98.22,98.22,42.22,42.22,,,0,0,,,0,0,98.22,98.22,40.11,40.11,G1
eb1925a27051315d9331081224df8be19da5ffaeb83fb7605118c2c89a56039f,100,100,71,99.5,73.7,100,100,100,100,100,100,100,95,,,,,,,,,,,,,,,,,94.89,94.89,40.79,40.79,,,0,0,,,0,0,94.89,94.89,38.75,38.75,G1
c58ed2fd2c459ced255028301ed673ecc2bfc6c8990da7afb540566722a6ee17,100,100,51.6,20,79.5,6,22.14,79,87.75,24.62,19.87,75.5,30,,,,,,,,,,,,,,,,,49.99,49.99,21.49,21.49,,,0,0,,,0,0,49.99,49.99,20.41,20.41,G1
233db4c6e26a5ab1bf06d11d4f5ae5346142252b765e4d4196c89e97ed6ef8e7,100,100,94,86,96.23,100,100,86,100,100,100,100,100,,,,,,,,,,,,,,,,,97.16,97.16,41.76,41.76,,,0,0,,,0,0,97.16,97.16,39.67,39.67,G1
a1ece7749f5f225d583909bd5e2df9fced9d766f201db8df1ed196e376ec503c,100,100,92,100,93,93.54,99.54,99,100,100,95.91,85.42,25,,,,,,,,,,,,,,,,,88.66,88.66,38.11,38.11,,,0,0,,,0,0,88.66,88.66,36.2,36.2,G1
723cb489e4355b40b8974ee5325d37379d35eafc8de226c8bb30583729d4c210,100,100,84,89.27,68.7,100,100,89.5,100,100,25.47,100,79,,,,,,,,,,,,,,,,,85.95,85.95,36.94,36.94,,,0,0,,,0,0,85.95,85.95,35.1,35.1,G1
3255415c2f99bf4d0fb3e0ca5432d6b05a09ec681bee6772d286a5824954aa75,100,100,94,88.5,0,0,4.66,99.5,94.25,30.07,24.09,100,100,,,,,,,,,,,,,,,,,64.7,64.7,27.81,27.81,,,0,0,,,0,0,64.7,64.7,26.42,26.42,G1
