id,Provider,Location,Latitude,Longitude,Access Location,Borough,Neighborhood,Postal Code
1458,NYPL,175 NORTH END AVENUE,40.72,-74.02,Library,Manhattan,Battery Park City-Lower Manhattan,10282.0
1459,BPL,1664 WEST 13 STREET,40.61,-73.99,Library,Brooklyn,Bensonhurst East,11223.0
1460,BPL,1702 60 STREET,40.62,-73.99,Library,Brooklyn,Borough Park,11204.0
1461,SPECTRUM,Track and Soccer Field,40.75,-74.0,Outdoor,Manhattan,Hudson Yards-Chelsea-Flatiron-Union Square,10001.0
1462,SPECTRUM,2nd Floor Lobby,40.75,-74.0,Indoor,Manhattan,Hudson Yards-Chelsea-Flatiron-Union Square,10001.0
1463,SPECTRUM,3rd Floor Basketball Court,40.75,-74.0,Indoor,Manhattan,Hudson Yards-Chelsea-Flatiron-Union Square,10001.0
1464,SPECTRUM,3rd Floor Basketball Court,40.75,-74.0,Indoor,Manhattan,Hudson Yards-Chelsea-Flatiron-Union Square,10001.0
1465,SPECTRUM,3rd Floor Cardio Rm,40.75,-74.0,Indoor,Manhattan,Hudson Yards-Chelsea-Flatiron-Union Square,10001.0
1466,SPECTRUM,4th Floor Weight Rm,40.75,-74.0,Indoor,Manhattan,Hudson Yards-Chelsea-Flatiron-Union Square,10001.0
1467,SPECTRUM,North Pathway and Foutain Area,40.71,-74.01,Outdoor,Manhattan,SoHo-TriBeCa-Civic Center-Little Italy,10007.0
1468,SPECTRUM,South Pathway and Foutain Area,40.71,-74.01,Outdoor,Manhattan,Battery Park City-Lower Manhattan,10038.0
1469,SPECTRUM,"Front area of the Lake Club Restaurant, Bridge and Parking Lot",40.62,-74.11,Outdoor,Staten Island,Westerleigh,10301.0
1470,QPL,89-11 MERRICK BOULEVARD,40.71,-73.79,Library,Queens,Jamaica,11432.0
1471,QPL,72-31 METROPOLITAN AVENUE,40.71,-73.88,Library,Queens,Middle Village,11379.0
1472,QPL,60-05 MAIN STREET,40.74,-73.83,Library,Queens,Queensboro Hill,11355.0
1473,NYPL,224 EAST 125 STREET,40.8,-73.93,Library,Manhattan,East Harlem North,10035.0
1474,BPL,GRAND ARMY PLAZA,40.67,-73.97,Library,Brooklyn,Park Slope-Gowanus,11238.0
1475,BPL,5108 4 AVENUE,40.65,-74.01,Library,Brooklyn,Sunset Park West,11220.0
1476,NYPL,174 EAST 110 STREET,40.79,-73.94,Library,Manhattan,East Harlem South,10029.0
1477,BPL,380 WASHINGTON AVENUE,40.69,-73.97,Library,Brooklyn,Clinton Hill,11238.0
