id,Address,City,County,Latitude,Longitude,Postal Code,State Code,State
126,3867 Promenade Pkwy,D'iberville,Harrison,30.45,-88.9,39540.0,MS,Mississippi
127,69320 Highway 21,Covington,St. Tammany Parish,30.44,-90.14,70433.0,LA,Louisiana
128,2030 Hammond Square Dr,Hammond,Tangipahoa Parish,30.48,-90.46,70403.0,LA,Louisiana
129,4103 Pecanland Mall Dr,Monroe,Ouachita Parish,32.5,-92.07,71203.0,LA,Louisiana
130,4500 Veterans Memorial Blvd,Metairie,Jefferson Parish,30.0,-90.18,70006.0,LA,Louisiana
131,1401 W Esplanade Ave,Kenner,Jefferson Parish,30.02,-90.25,70065.0,LA,Louisiana
132,1731 Manhattan Blvd,Harvey,Jefferson Parish,29.89,-90.05,70058.0,LA,Louisiana
133,2001 Millerville Rd,Baton Rouge,East Baton Rouge Parish,30.44,-91.02,70816.0,LA,Louisiana
134,6885 Siegen Ln,Baton Rouge,East Baton Rouge Parish,30.38,-91.06,70809.0,LA,Louisiana
135,6625 E Lloyd Expy,Evansville,Vanderburgh,37.98,-87.47,47715.0,IN,Indiana
136,4000 1st Ave,Evansville,Vanderburgh,38.02,-87.58,47710.0,IN,Indiana
137,202 Siemers Dr,Cape Girardeau,Cape Girardeau,37.3,-89.58,63701.0,MO,Missouri
138,7311 Jefferson Blvd,Louisville,Jefferson,38.15,-85.67,40219.0,KY,Kentucky
139,3000 W Deyoung St,Marion,Williamson,37.75,-88.98,62959.0,IL,Illinois
140,3600 Mall Rd,Louisville,Jefferson,38.2,-85.67,40218.0,KY,Kentucky
141,4640 Taylorsville Rd,Louisville,Jefferson,38.22,-85.59,40220.0,KY,Kentucky
142,4174 Westport Rd,Louisville,Jefferson,38.26,-85.64,40207.0,KY,Kentucky
143,2209 State St,New Albany,Floyd,38.31,-85.84,47150.0,IN,Indiana
144,12975 Shelbyville Rd,Louisville,Jefferson,38.25,-85.51,40243.0,KY,Kentucky
145,1125 Veterans Pkwy,Clarksville,Clark,38.33,-85.76,47129.0,IN,Indiana
146,4101 Towne Center Dr,Louisville,Jefferson,38.3,-85.56,40241.0,KY,Kentucky
147,131 West Reynolds Rd,Lexington,Fayette,37.99,-84.53,40503.0,KY,Kentucky
148,1940 Pavillon Way,Lexington,Fayette,38.02,-84.42,40509.0,KY,Kentucky
149,3970 SW Archer Rd,Gainesville,Alachua,29.62,-82.38,32608.0,FL,Florida
150,250 NW 13th St,Gainesville,Alachua,29.65,-82.34,32601.0,FL,Florida
151,1727 Martin Luther King Jr Blvd,Houma,Terrebonne Parish,29.61,-90.76,70360.0,LA,Louisiana
152,3225 Louisiana Ave,Lafayette,Lafayette Parish,30.27,-92.0,70501.0,LA,Louisiana
153,4313 Ambassador Caffery Pkwy,Lafayette,Lafayette Parish,30.16,-92.05,70508.0,LA,Louisiana
154,9525 Crosshill Blvd,Jacksonville,Duval,30.2,-81.82,32222.0,FL,Florida
155,200 Glynn Isle,Brunswick,Glynn,31.2,-81.48,31525.0,GA,Georgia
156,6331 Roosevelt Blvd,Jacksonville,Duval,30.23,-81.7,32244.0,FL,Florida
157,463737 State Rd 200,Yulee,Nassau,30.63,-81.55,32097.0,FL,Florida
158,1490 County Rd 220,Orange Park,Clay,30.1,-81.71,32003.0,FL,Florida
159,10490 San Jose Blvd,Jacksonville,Duval,30.19,-81.63,32257.0,FL,Florida
160,444 Monument Rd,Jacksonville,Duval,30.33,-81.55,32225.0,FL,Florida
161,4567 River City Dr,Jacksonville,Duval,30.26,-81.53,32246.0,FL,Florida
162,9041 Southside Blvd,Jacksonville,Duval,30.19,-81.55,32256.0,FL,Florida
163,2000 SW College Rd,Ocala,Marion,29.17,-82.16,34471.0,FL,Florida
164,13740 Beach Blvd,Jacksonville,Duval,30.29,-81.46,32224.0,FL,Florida
165,490 Marsh Landing Pkwy,Jacksonville Beach,Duval,30.25,-81.39,32250.0,FL,Florida
166,2116 N Roan St,Johnson City,Washington,36.34,-82.37,37601.0,TN,Tennessee
167,2626 E Stone Dr,Kingsport,Sullivan,36.55,-82.49,37660.0,TN,Tennessee
168,5119 Sunset Blvd,Lexington,Lexington,34.01,-81.19,29072.0,SC,South Carolina
169,134 Harbison Blvd,Columbia,Lexington,34.07,-81.16,29212.0,SC,South Carolina
170,14065 Abercorn St,Savannah,Chatham,31.98,-81.18,31419.0,GA,Georgia
171,1907 E Victory Dr,Savannah,Chatham,32.04,-81.07,31404.0,GA,Georgia
172,1050 Fording Island Rd,Bluffton,Beaufort,32.26,-80.85,29910.0,SC,South Carolina
173,150 W 100th Ave,Anchorage,Anchorage Borough,61.13,-149.88,99515.0,AK,Alaska
174,1200 N Muldoon Rd,Anchorage,Anchorage Borough,61.23,-149.75,99504.0,AK,Alaska
175,1801 E Parks Hwy,Wasilla,Matanuska-Susitna Borough,61.58,-149.4,99654.0,AK,Alaska
176,7377 Alcoa Rd,Bryant,Saline,34.6,-92.53,72022.0,AR,Arkansas
177,12700 Chenal Pkwy,Little Rock,Pulaski,34.76,-92.41,72211.0,AR,Arkansas
178,420 S University Ave,Little Rock,Pulaski,34.75,-92.35,72205.0,AR,Arkansas
179,4000 McCain Blvd,North Little Rock,Pulaski,34.79,-92.23,72116.0,AR,Arkansas
180,501 Elsinger Blvd,Conway,Faulkner,35.09,-92.41,72032.0,AR,Arkansas
