id,Address,City,County,Latitude,Longitude,Postal Code,State Code,State
342,1135 S Gilbert Rd,Mesa,Maricopa,33.39,-111.79,85204.0,AZ,Arizona
343,1525 S Power Rd,Mesa,Maricopa,33.39,-111.68,85206.0,AZ,Arizona
344,9830 W Lower Buckeye Rd,Tolleson,Maricopa,33.42,-112.27,85353.0,AZ,Arizona
345,1800 E Rio Salado Pkwy,Tempe,Maricopa,33.43,-111.91,85281.0,AZ,Arizona
346,995 S Cotton Ln,Goodyear,Maricopa,33.44,-112.42,85338.0,AZ,Arizona
347,4515 E Thomas Rd,Phoenix,Maricopa,33.48,-111.98,85018.0,AZ,Arizona
348,7409 W Virginia Ave,Phoenix,Maricopa,33.48,-112.22,85035.0,AZ,Arizona
349,1515 N Litchfield Rd,Goodyear,Maricopa,33.46,-112.36,85395.0,AZ,Arizona
350,2151 N Power Rd,Mesa,Maricopa,33.45,-111.68,85215.0,AZ,Arizona
351,1625 E Camelback Rd,Phoenix,Maricopa,33.51,-112.05,85016.0,AZ,Arizona
352,5715 N 19th Ave,Phoenix,Maricopa,33.52,-112.1,85015.0,AZ,Arizona
353,9000 E Talking Stick Way,Scottsdale,Maricopa,33.54,-111.89,85250.0,AZ,Arizona
354,9350 W Northern Ave,Glendale,Maricopa,33.55,-112.26,85305.0,AZ,Arizona
355,10404 N 43rd Ave,Glendale,Maricopa,33.58,-112.15,85302.0,AZ,Arizona
356,12602 N Paradise Village Pkwy W,Phoenix,Maricopa,33.6,-111.99,85032.0,AZ,Arizona
357,16825 E Shea Blvd,Fountain Hills,Maricopa,33.57,-111.72,85268.0,AZ,Arizona
358,15444 N Frank Lloyd Wright Blvd,Scottsdale,Maricopa,33.63,-111.89,85260.0,AZ,Arizona
359,16806 N 7th St,Phoenix,Maricopa,33.64,-112.07,85022.0,AZ,Arizona
360,8055 W Bell Rd,Peoria,Maricopa,33.64,-112.23,85382.0,AZ,Arizona
361,13731 W Bell Rd,Surprise,Maricopa,33.64,-112.35,85374.0,AZ,Arizona
362,2727 W Agua Fria Fwy,Phoenix,Maricopa,33.67,-112.12,85027.0,AZ,Arizona
363,21001 N Tatum Blvd Ste 20,Phoenix,Maricopa,33.67,-111.97,85050.0,AZ,Arizona
364,24890 N Lake Pleasant Pkwy,Peoria,Maricopa,33.71,-112.28,85383.0,AZ,Arizona
365,4151 E Highway 90,Sierra Vista,Cochise,31.56,-110.26,85635.0,AZ,Arizona
366,32351 N Scottsdale Rd,Scottsdale,Maricopa,33.78,-111.92,85266.0,AZ,Arizona
367,1450 S Yuma Palms Pkwy,Yuma,Yuma,32.7,-114.61,85365.0,AZ,Arizona
368,1851 E Highway 69,Prescott,Yavapai,34.55,-112.43,86301.0,AZ,Arizona
369,2295 N Imperial Ave,El Centro,Imperial,32.81,-115.57,92243.0,CA,California
370,1650 S Milton Rd,Flagstaff,Coconino,35.18,-111.66,86001.0,AZ,Arizona
371,9371 Coors Blvd NW,Albuquerque,Bernalillo,35.19,-106.66,87114.0,NM,New Mexico
372,2120 Louisiana Blvd NE,Albuquerque,Bernalillo,35.1,-106.57,87110.0,NM,New Mexico
373,11120 Lomas Blvd NE,Albuquerque,Bernalillo,35.09,-106.53,87112.0,NM,New Mexico
374,4225 Crestview Dr,Rio Rancho,Sandoval,35.25,-106.65,87124.0,NM,New Mexico
375,6100 Paseo Del Norte NE,Albuquerque,Bernalillo,35.17,-106.58,87113.0,NM,New Mexico
376,8510 Montgomery Blvd NE,Albuquerque,Bernalillo,35.13,-106.55,87111.0,NM,New Mexico
377,2541 E Lohman Ave,Las Cruces,Dona Ana,32.32,-106.74,88011.0,NM,New Mexico
378,801 Sunland Park Dr,El Paso,El Paso,31.82,-106.55,79912.0,TX,Texas
379,4900 E Main St,Farmington,San Juan,36.77,-108.15,87402.0,NM,New Mexico
380,6001 W Gateway Blvd,El Paso,El Paso,31.78,-106.41,79925.0,TX,Texas
381,3550 Zafarano Dr,Santa Fe,Santa Fe,35.64,-106.01,87507.0,NM,New Mexico
382,1901 George Dieter Dr,El Paso,El Paso,31.77,-106.31,79936.0,TX,Texas
383,1874 Joe Battle Blvd,El Paso,El Paso,31.76,-106.27,79936.0,TX,Texas
384,3699 Hwy 95,Bullhead City,Mohave,35.05,-114.59,86442.0,AZ,Arizona
385,350 W Lake Mead Pkwy,Henderson,Clark,36.04,-114.99,89015.0,NV,Nevada
386,605 N Stephanie St,Henderson,Clark,36.07,-115.05,89014.0,NV,Nevada
387,695 S Green Valley Pkwy,Henderson,Clark,36.0,-115.09,89052.0,NV,Nevada
388,9725 S Eastern Ave,Las Vegas,Clark,36.01,-115.12,89183.0,NV,Nevada
389,1200 S Nellis Blvd,Las Vegas,Clark,36.16,-115.06,89104.0,NV,Nevada
390,4001 S Maryland Pkwy,Las Vegas,Clark,36.12,-115.14,89119.0,NV,Nevada
391,4100 Blue Diamond Rd,Las Vegas,Clark,36.04,-115.19,89139.0,NV,Nevada
392,7090 N 5th St,North Las Vegas,Clark,36.29,-115.13,89084.0,NV,Nevada
393,3550 S Rainbow Blvd,Las Vegas,Clark,36.12,-115.24,89103.0,NV,Nevada
394,275 S River Rd,Saint George,Washington,37.1,-113.55,84790.0,UT,Utah
395,6371 N Decatur Blvd,Las Vegas,Clark,36.27,-115.21,89130.0,NV,Nevada
396,3210 N Tenaya Way,Las Vegas,Clark,36.22,-115.25,89129.0,NV,Nevada
397,8750 W Charleston Blvd,Las Vegas,Clark,36.16,-115.29,89117.0,NV,Nevada
398,4155 S Grand Canyon Dr,Las Vegas,Clark,36.11,-115.31,89147.0,NV,Nevada
399,6480 Sky Pointe Dr,Las Vegas,Clark,36.28,-115.26,89131.0,NV,Nevada
400,78935 US Hwy 111,La Quinta,Riverside,33.71,-116.29,92253.0,CA,California
401,72549 Highway 111,Palm Desert,Riverside,33.72,-116.4,92260.0,CA,California
402,67750 E Palm Canyon Dr,Cathedral City,Riverside,33.79,-116.48,92234.0,CA,California
403,20288 US Highway 18,Apple Valley,San Bernardino,34.53,-117.22,92307.0,CA,California
404,19201 Bear Valley Rd,Apple Valley,San Bernardino,34.47,-117.24,92308.0,CA,California
405,12795 Main St,Hesperia,San Bernardino,34.43,-117.38,92345.0,CA,California
406,2380 Sterling Ave,San Bernardino,San Bernardino,34.14,-117.25,92404.0,CA,California
407,27320 W Lugonia Ave,Redlands,San Bernardino,34.07,-117.21,92374.0,CA,California
408,3527 W Florida Ave,Hemet,Riverside,33.75,-117.01,92545.0,CA,California
409,27100 Eucalyptus Ave,Moreno Valley,Riverside,33.94,-117.19,92555.0,CA,California
410,499 W Orange Show Rd,San Bernardino,San Bernardino,34.08,-117.29,92408.0,CA,California
411,2755 Canyon Springs Pkwy,Riverside,Riverside,33.94,-117.28,92507.0,CA,California
412,15272 Summit Ave,Fontana,San Bernardino,34.15,-117.47,92336.0,CA,California
413,30340 Haun Rd,Menifee,Riverside,33.68,-117.17,92584.0,CA,California
414,16964 Slover Ave,Fontana,San Bernardino,34.06,-117.43,92337.0,CA,California
415,3333 Arlington Ave,Riverside,Riverside,33.95,-117.38,92506.0,CA,California
416,27818 Clinton Keith Rd,Murrieta,Riverside,33.6,-117.17,92562.0,CA,California
417,2424 Highway 6 and 50 Ste C,Grand Junction,Mesa,39.09,-108.6,81505.0,CO,Colorado
418,3530 Wolverine Dr,Montrose,Montrose,38.44,-107.87,81401.0,CO,Colorado
419,175 W Center St,Orem,Utah,40.3,-111.7,84057.0,UT,Utah
420,608 W Main St,American Fork,Utah,40.38,-111.82,84003.0,UT,Utah
421,29676 Rancho California Rd,Temecula,Riverside,33.51,-117.15,92591.0,CA,California
422,41040 California Oaks Rd,Murrieta,Riverside,33.57,-117.2,92562.0,CA,California
423,3520 Tyler St,Riverside,Riverside,33.91,-117.46,92503.0,CA,California
424,10576 Foothill Blvd,Rancho Cucamonga,San Bernardino,34.11,-117.57,91730.0,CA,California
425,4200 E 4th St,Ontario,San Bernardino,34.08,-117.56,91764.0,CA,California
426,18287 Collier Ave,Lake Elsinore,Riverside,33.69,-117.34,92530.0,CA,California
427,12471 Limonite Ave,Mira Loma,Riverside,33.98,-117.55,91752.0,CA,California
428,1931 Campus Ave,Upland,San Bernardino,34.13,-117.64,91784.0,CA,California
429,2615 Tuscanny St,Corona,Riverside,33.83,-117.52,92881.0,CA,California
430,1290 Hamner Ave,Norco,Riverside,33.9,-117.56,92860.0,CA,California
431,9052 Central Ave,Montclair,San Bernardino,34.09,-117.69,91763.0,CA,California
432,5555 Philadelphia St,Chino,San Bernardino,34.03,-117.68,91710.0,CA,California
433,2462 Foothill Blvd,La Verne,Los Angeles,34.11,-117.76,91750.0,CA,California
434,3944 Grand Ave,Chino,San Bernardino,34.0,-117.72,91710.0,CA,California
435,701 Rio Rancho Road,Pomona,Los Angeles,34.03,-117.76,91766.0,CA,California
436,1280 Auto Park Way,Escondido,San Diego,33.11,-117.1,92029.0,CA,California
437,280 E Via Rancho Pkwy,Escondido,San Diego,33.07,-117.07,92025.0,CA,California
438,888 W Arrow Hwy,San Dimas,Los Angeles,34.1,-117.82,91773.0,CA,California
439,1751 University Dr,Vista,San Diego,33.17,-117.21,92083.0,CA,California
440,30602 Santa Margarita Pkwy,Rancho Santa Margarita,Orange,33.64,-117.6,92688.0,CA,California
441,443 College Blvd,Oceanside,San Diego,33.25,-117.29,92057.0,CA,California
442,8148 E Santa Ana Canyon Rd,Anaheim,Orange,33.87,-117.75,92808.0,CA,California
443,747 Grand Ave,Diamond Bar,Los Angeles,34.01,-117.82,91765.0,CA,California
444,14823 Pomerado Rd,Poway,San Diego,32.98,-117.06,92064.0,CA,California
445,38019 47Th St E,Palmdale,Los Angeles,34.57,-118.05,93552.0,CA,California
446,3150 Business Park Dr,Vista,San Diego,33.14,-117.23,92081.0,CA,California
447,26762 Portola Pkwy,Foothill Ranch,Orange,33.68,-117.66,92610.0,CA,California
448,809 N Azusa Ave,Azusa,Los Angeles,34.14,-117.91,91702.0,CA,California
449,17170 Camino Del Sur,San Diego,San Diego,33.02,-117.13,92127.0,CA,California
450,2831 E Eastland Ctr Dr,West Covina,Los Angeles,34.07,-117.88,91791.0,CA,California
451,2255 S El Camino Real,Oceanside,San Diego,33.18,-117.33,92054.0,CA,California
452,9846 Mission Gorge Rd,Santee,San Diego,32.84,-116.98,92071.0,CA,California
453,25601 Jeronimo Rd,Mission Viejo,Orange,33.62,-117.68,92691.0,CA,California
454,2370 S Azusa Ave,West Covina,Los Angeles,34.03,-117.91,91792.0,CA,California
455,250 Broadway,El Cajon,San Diego,32.81,-116.96,92021.0,CA,California
456,24500 Alicia Pkwy,Mission Viejo,Orange,33.61,-117.69,92691.0,CA,California
457,43525 10th St W,Lancaster,Los Angeles,34.67,-118.15,93534.0,CA,California
458,1050 Huntington Dr,Duarte,Los Angeles,34.14,-117.98,91010.0,CA,California
459,17751 Colima Rd,Rowland Heights,Los Angeles,33.99,-117.92,91748.0,CA,California
460,2191 N Tustin St,Orange,Orange,33.82,-117.83,92865.0,CA,California
461,855 E Birch St,Brea,Orange,33.92,-117.89,92821.0,CA,California
462,1010 N El Camino Real,Encinitas,San Diego,33.06,-117.26,92024.0,CA,California
463,990 Avenida Vista Hermosa,San Clemente,Orange,33.46,-117.61,92673.0,CA,California
464,13200 Jamboree Rd,Irvine,Orange,33.73,-117.78,92602.0,CA,California
465,2920 Yorba Linda Blvd,Fullerton,Orange,33.89,-117.88,92831.0,CA,California
466,39440 10th St W,Palmdale,Los Angeles,34.6,-118.15,93551.0,CA,California
467,900 Spectrum Center Dr,Irvine,Orange,33.65,-117.74,92618.0,CA,California
468,2620 E Chapman Ave,Orange,Orange,33.79,-117.83,92869.0,CA,California
469,3100 Baldwin Park Blvd,Baldwin Park,Los Angeles,34.07,-117.98,91706.0,CA,California
470,26932 La Paz Rd,Aliso Viejo,Orange,33.57,-117.71,92656.0,CA,California
471,2911 Jamacha Rd,El Cajon,San Diego,32.74,-116.94,92019.0,CA,California
472,8251 Mira Mesa Blvd,San Diego,San Diego,32.91,-117.15,92126.0,CA,California
473,5500 Grossmont Ctr Dr,La Mesa,San Diego,32.78,-117.01,91942.0,CA,California
474,1330 E 17th St,Santa Ana,Orange,33.76,-117.85,92705.0,CA,California
475,3750 Barranca Pkwy,Irvine,Orange,33.69,-117.81,92606.0,CA,California
476,2300 Park Ave,Tustin,Orange,33.7,-117.83,92782.0,CA,California
477,1000 W Imperial Hwy,La Habra,Orange,33.92,-117.96,90631.0,CA,California
478,200 W Orangethorpe Ave,Fullerton,Orange,33.86,-117.93,92832.0,CA,California
479,1441 W 17th St,Santa Ana,Orange,33.76,-117.89,92706.0,CA,California
480,1893 W Malvern Ave,Fullerton,Orange,33.88,-117.96,92833.0,CA,California
481,3121 E Colorado Blvd,Pasadena,Los Angeles,34.15,-118.09,91107.0,CA,California
482,12100 Harbor Blvd,Garden Grove,Orange,33.79,-117.91,92840.0,CA,California
483,15614 Whittwood Ln,Whittier,Los Angeles,33.94,-118.0,90603.0,CA,California
484,101 S Euclid St,Anaheim,Orange,33.83,-117.94,92802.0,CA,California
485,4255 CAMPUS DR STE A150,Irvine,Orange,33.65,-117.84,92612.0,CA,California
486,3600 Rosemead Blvd,Rosemead,Los Angeles,34.07,-118.07,91770.0,CA,California
487,3424 College Ave,San Diego,San Diego,32.74,-117.06,92115.0,CA,California
488,3300 S Bristol St,Santa Ana,Orange,33.7,-117.89,92704.0,CA,California
489,8001 Othello Ave,San Diego,San Diego,32.82,-117.15,92111.0,CA,California
490,910 Eastlake Pkwy,Chula Vista,San Diego,32.65,-116.97,91914.0,CA,California
491,5680 Balboa Ave,San Diego,San Diego,32.82,-117.18,92111.0,CA,California
492,7530 Orangethorpe Ave,Buena Park,Orange,33.86,-118.0,90621.0,CA,California
493,777 E Colorado Blvd,Pasadena,Los Angeles,34.15,-118.13,91101.0,CA,California
494,10621 Carmenita Rd,Santa Fe Springs,Los Angeles,33.94,-118.05,90670.0,CA,California
495,13831 Brookhurst St,Garden Grove,Orange,33.76,-117.96,92843.0,CA,California
496,3030 Harbor Blvd Ste A,Costa Mesa,Orange,33.68,-117.92,92626.0,CA,California
497,8800 Whittier Blvd,Pico Rivera,Los Angeles,34.0,-118.09,90660.0,CA,California
498,1288 Camino Del Rio N,San Diego,San Diego,32.77,-117.15,92108.0,CA,California
499,2120 W Main St,Alhambra,Los Angeles,34.09,-118.15,91801.0,CA,California
500,6835 Katella Ave,Cypress,Orange,33.8,-118.01,90630.0,CA,California
501,3030 Grape St,San Diego,San Diego,32.73,-117.13,92102.0,CA,California
502,12051 Imperial Hwy,Norwalk,Los Angeles,33.92,-118.08,90650.0,CA,California
503,16400 Beach Blvd,Westminster,Orange,33.73,-117.99,92683.0,CA,California
504,9882 Adams Ave,Huntington Beach,Orange,33.67,-117.96,92646.0,CA,California
505,3060 Plaza Bonita Rd,National City,San Diego,32.65,-117.06,91950.0,CA,California
506,20200 Bloomfield Ave,Cerritos,Los Angeles,33.85,-118.06,90703.0,CA,California
507,200 Westminster Mall,Westminster,Orange,33.75,-118.01,92683.0,CA,California
508,10600 Firestone Blvd,Norwalk,Los Angeles,33.93,-118.11,90650.0,CA,California
509,5600 Whittier Blvd,Commerce,Los Angeles,34.02,-118.15,90022.0,CA,California
510,3245 Sports Arena Blvd,San Diego,San Diego,32.75,-117.21,92110.0,CA,California
511,11525 South St,Cerritos,Los Angeles,33.86,-118.09,90703.0,CA,California
512,2626 Colorado Blvd,Los Angeles,Los Angeles,34.14,-118.22,90041.0,CA,California
513,4211 Eagle Rock Blvd,Los Angeles,Los Angeles,34.12,-118.23,90065.0,CA,California
514,12300 Seal Beach Blvd,Seal Beach,Orange,33.78,-118.07,90740.0,CA,California
515,1240 Broadway,Chula Vista,San Diego,32.6,-117.08,91911.0,CA,California
516,5700 Firestone Blvd,South Gate,Los Angeles,33.95,-118.17,90280.0,CA,California
517,2195 Glendale Galleria,Glendale,Los Angeles,34.14,-118.26,91210.0,CA,California
518,5760 E 7TH ST,Long Beach,Los Angeles,33.77,-118.12,90803.0,CA,California
519,2270 N Bellflower Blvd,Long Beach,Los Angeles,33.8,-118.12,90815.0,CA,California
520,141 Lakewood Center Mall,Lakewood,Los Angeles,33.85,-118.14,90712.0,CA,California
521,950 E 33rd St,Signal Hill,Los Angeles,33.82,-118.18,90755.0,CA,California
522,6750 Cherry Ave,Long Beach,Los Angeles,33.88,-118.17,90805.0,CA,California
523,1621 S Alameda St,Compton,Los Angeles,33.88,-118.22,90220.0,CA,California
524,1701 N Gaffey St,San Pedro,Los Angeles,33.76,-118.29,90731.0,CA,California
525,20700 S Avalon Blvd,Carson,Los Angeles,33.84,-118.26,90746.0,CA,California
526,651 W Sepulveda Blvd,Carson,Los Angeles,33.81,-118.29,90745.0,CA,California
527,2169 W Redondo Beach Blvd,Gardena,Los Angeles,33.89,-118.32,90247.0,CA,California
528,3433 Sepulveda Blvd,Torrance,Los Angeles,33.83,-118.35,90505.0,CA,California
529,2700 W 120th St,Hawthorne,Los Angeles,33.92,-118.32,90250.0,CA,California
530,735 S Figueroa St,Los Angeles,Los Angeles,34.05,-118.26,90017.0,CA,California
531,1601 Kingsdale Ave,Redondo Beach,Los Angeles,33.87,-118.36,90278.0,CA,California
532,3131 S HOOVER ST STE 1910,LOS ANGELES,LOS ANGELES,34.02,-118.29,90089.0,CA,California
533,3471 W Century Blvd,Inglewood,Los Angeles,33.95,-118.33,90301.0,CA,California
534,620 S Virgil Ave Ste 100,Los Angeles,Los Angeles,34.06,-118.29,90005.0,CA,California
535,1200 N Sepulveda Blvd,Manhattan Beach,Los Angeles,33.89,-118.39,90266.0,CA,California
536,3535 S La Cienega Blvd,Los Angeles,Los Angeles,34.02,-118.37,90016.0,CA,California
537,6000 Sepulveda Blvd,Culver City,Los Angeles,33.99,-118.39,90230.0,CA,California
538,"7100 Santa Monica Blvd, STE 201",West Hollywood,Los Angeles,34.09,-118.34,90046.0,CA,California
539,10820 Jefferson Blvd,Culver City,Los Angeles,34.0,-118.39,90230.0,CA,California
540,8480 Beverly Blvd Ste 1A,Los Angeles,Los Angeles,34.07,-118.38,90048.0,CA,California
541,1800 W Empire Ave,Burbank,Los Angeles,34.19,-118.33,91504.0,CA,California
542,1033 N Hollywood Way,Burbank,Los Angeles,34.17,-118.35,91505.0,CA,California
543,11051 Victory Blvd,North Hollywood,Los Angeles,34.19,-118.37,91606.0,CA,California
544,10861 Weyburn Ave,Los Angeles,Los Angeles,34.06,-118.44,90024.0,CA,California
545,9725 Laurel Canyon Blvd,Pacoima,Los Angeles,34.25,-118.42,91331.0,CA,California
546,5711 Sepulveda Blvd,Van Nuys,Los Angeles,34.18,-118.47,91411.0,CA,California
547,14920 Raymer St,Van Nuys,Los Angeles,34.21,-118.46,91405.0,CA,California
548,10340 N Sepulveda Blvd,Mission Hills,Los Angeles,34.26,-118.47,91345.0,CA,California
549,8999 Balboa Blvd,Northridge,Los Angeles,34.23,-118.5,91325.0,CA,California
550,2355 W Kettleman Ln,Lodi,San Joaquin,38.12,-121.3,95242.0,CA,California
551,10424 Trinity Parkway,Stockton,San Joaquin,38.05,-121.37,95219.0,CA,California
552,4707 Pacific Ave,Stockton,San Joaquin,37.99,-121.31,95207.0,CA,California
553,7505 Laguna Blvd,Elk Grove,Sacramento,38.43,-121.42,95758.0,CA,California
554,8101 Cosumnes River Blvd,Sacramento,Sacramento,38.46,-121.41,95823.0,CA,California
555,6507 4th Ave,Sacramento,Sacramento,38.55,-121.43,95817.0,CA,California
556,10881 Olson Dr,Rancho Cordova,Sacramento,38.6,-121.29,95670.0,CA,California
557,2505 Riverside Blvd,Sacramento,Sacramento,38.56,-121.5,95818.0,CA,California
558,2005 Town Center Plz,West Sacramento,Yolo,38.55,-121.54,95691.0,CA,California
559,1919 Fulton Ave,Sacramento,Sacramento,38.6,-121.4,95825.0,CA,California
560,16858 Golden Valley Pkwy,Lathrop,San Joaquin,37.81,-121.3,95330.0,CA,California
561,280 Spreckels Ave,Manteca,San Joaquin,37.8,-121.2,95336.0,CA,California
562,5769 Lone Tree Way,Antioch,Contra Costa,37.96,-121.74,94531.0,CA,California
563,5001 Madison Ave,Sacramento,Sacramento,38.66,-121.35,95841.0,CA,California
564,5837 Sunrise Blvd,Citrus Heights,Sacramento,38.67,-121.27,95610.0,CA,California
565,3601 N Freeway Blvd,Sacramento,Sacramento,38.64,-121.5,95834.0,CA,California
566,4400 Town Center Blvd,El Dorado Hills,El Dorado,38.65,-121.06,95762.0,CA,California
567,430 Blue Ravine Rd,Folsom,Sacramento,38.67,-121.15,95630.0,CA,California
568,4601 2nd St,Davis,Yolo,38.55,-121.7,95618.0,CA,California
569,2800 Naglee Rd,Tracy,San Joaquin,37.76,-121.46,95304.0,CA,California
570,4301 Century Blvd,Pittsburg,Contra Costa,38.01,-121.84,94565.0,CA,California
571,1925 Douglas Blvd,Roseville,Placer,38.75,-121.25,95661.0,CA,California
572,3900 Sisk Rd,Modesto,Stanislaus,37.69,-121.06,95356.0,CA,California
573,3000 Harbison Dr,Vacaville,Solano,38.36,-121.96,95687.0,CA,California
574,2425 Claribel Rd,Riverbank,Stanislaus,37.71,-120.95,95367.0,CA,California
575,10451 Fairway Dr,Roseville,Placer,38.79,-121.29,95678.0,CA,California
576,3405 Mchenry Ave,Modesto,Stanislaus,37.69,-121.0,95350.0,CA,California
577,2185 Bronze Star Dr,Woodland,Yolo,38.67,-121.73,95776.0,CA,California
578,5104 Commons Dr,Rocklin,Placer,38.8,-121.21,95677.0,CA,California
579,2059 Cadenasso Dr,Fairfield,Solano,38.25,-122.07,94533.0,CA,California
580,4300 Las Positas Rd,Livermore,Alameda,37.7,-121.75,94551.0,CA,California
581,950 Groveland Ln,Lincoln,Placer,38.87,-121.3,95648.0,CA,California
582,560 Contra Costa Blvd,Pleasant Hill,Contra Costa,37.98,-122.07,94523.0,CA,California
583,2800 Dublin Blvd,Dublin,Alameda,37.7,-121.85,94568.0,CA,California
584,1871 N Main St,Walnut Creek,Contra Costa,37.91,-122.06,94596.0,CA,California
585,2610 Bishop Dr,San Ramon,Contra Costa,37.76,-121.96,94583.0,CA,California
586,7200 Amador Plaza Rd,Dublin,Alameda,37.71,-121.93,94568.0,CA,California
587,2700 Bell Rd,Auburn,Placer,38.94,-121.1,95603.0,CA,California
588,904 Admiral Callaghan Lane,Vallejo,Solano,38.13,-122.22,94591.0,CA,California
589,3000 Countryside Dr,Turlock,Stanislaus,37.52,-120.88,95380.0,CA,California
590,205 Soscol Ave,Napa,Napa,38.28,-122.28,94559.0,CA,California
591,4000 Bel Aire Plz,Napa,Napa,38.32,-122.31,94558.0,CA,California
592,1400 Fitzgerald Dr,Pinole,Contra Costa,37.99,-122.31,94564.0,CA,California
593,15555 E 14th St,San Leandro,Alameda,37.7,-122.13,94578.0,CA,California
594,2187 Shattuck Ave,Berkeley,Alameda,37.87,-122.27,94704.0,CA,California
595,19661 Hesperian Blvd,Hayward,Alameda,37.67,-122.12,94541.0,CA,California
596,1414 University Ave,Berkeley,Alameda,37.87,-122.28,94702.0,CA,California
597,2499 Whipple Rd,Hayward,Alameda,37.61,-122.06,94544.0,CA,California
598,39201 Fremont Blvd,Fremont,Alameda,37.55,-121.98,94538.0,CA,California
599,4500 Macdonald Ave,Richmond,Contra Costa,37.93,-122.33,94805.0,CA,California
600,1057 Eastshore Hwy,Albany,Alameda,37.88,-122.31,94710.0,CA,California
601,1555 40th Street,Emeryville,Alameda,37.83,-122.29,94608.0,CA,California
602,43950 Pacific Commons Blvd,Fremont,Alameda,37.5,-121.97,94538.0,CA,California
603,2700 Fifth Street,Alameda,Alameda,37.79,-122.28,94501.0,CA,California
604,2155 Morrill Ave,San Jose,Santa Clara,37.41,-121.88,95132.0,CA,California
605,450 N Capitol Ave,San Jose,Santa Clara,37.37,-121.84,95133.0,CA,California
606,95 Holger Way,San Jose,Santa Clara,37.42,-121.96,95134.0,CA,California
607,1153 Butte House Rd,Yuba City,Sutter,39.15,-121.63,95991.0,CA,California
608,225 Bush St,San Francisco,San Francisco,37.79,-122.4,94104.0,CA,California
609,1750 Story Rd,San Jose,Santa Clara,37.34,-121.84,95122.0,CA,California
610,789 Mission St,San Francisco,San Francisco,37.78,-122.4,94103.0,CA,California
611,125 Shoreline Pkwy,San Rafael,Marin,37.96,-122.49,94901.0,CA,California
612,3155 Silver Creek Rd,San Jose,Santa Clara,37.31,-121.81,95121.0,CA,California
613,533 Coleman Ave,San Jose,Santa Clara,37.34,-121.91,95110.0,CA,California
614,200 Vintage Way,Novato,Marin,38.09,-122.55,94945.0,CA,California
615,1775 E Bayshore Rd,East Palo Alto,San Mateo,37.46,-122.14,94303.0,CA,California
616,2675 Geary Blvd,San Francisco,San Francisco,37.78,-122.45,94118.0,CA,California
617,1000 Commerce Ave,Atwater,Merced,37.34,-120.61,95301.0,CA,California
618,2004 El Camino Real,Santa Clara,Santa Clara,37.35,-121.96,95050.0,CA,California
619,2161 Monterey Hwy,San Jose,Santa Clara,37.3,-121.87,95125.0,CA,California
620,180 Donahue St,Sausalito,Marin,37.87,-122.51,94965.0,CA,California
621,2220 Bridgepointe Pkwy,San Mateo,San Mateo,37.56,-122.28,94404.0,CA,California
622,298 W McKinley Ave,Sunnyvale,Santa Clara,37.37,-122.03,94086.0,CA,California
623,555 Showers Dr,Mountain View,Santa Clara,37.4,-122.11,94040.0,CA,California
624,2485 El Camino Real,Redwood City,San Mateo,37.48,-122.22,94063.0,CA,California
625,5630 Cottle Rd,San Jose,Santa Clara,37.25,-121.8,95123.0,CA,California
626,1830 Ocean Ave,San Francisco,San Francisco,37.73,-122.46,94112.0,CA,California
627,401 Kenilworth Drive,Petaluma,Sonoma,38.24,-122.63,94952.0,CA,California
628,233 Winston Dr,San Francisco,San Francisco,37.73,-122.48,94132.0,CA,California
629,19499 Stevens Creek Blvd,Cupertino,Santa Clara,37.32,-122.01,95014.0,CA,California
630,879 Blossom Hill Rd,San Jose,Santa Clara,37.25,-121.86,95123.0,CA,California
631,1150 El Camino Real,San Bruno,San Mateo,37.64,-122.42,94066.0,CA,California
632,20745 Stevens Creek Blvd,Cupertino,Santa Clara,37.32,-122.04,95014.0,CA,California
633,1811 Hillsdale Ave,San Jose,Santa Clara,37.26,-121.92,95124.0,CA,California
634,5001 Junipero Serra Blvd,Colma,San Mateo,37.67,-122.46,94014.0,CA,California
635,1600 Saratoga Ave,San Jose,Santa Clara,37.29,-121.99,95129.0,CA,California
636,133 Serramonte Ctr,Daly City,San Mateo,37.67,-122.47,94015.0,CA,California
637,3280 R St,Merced,Merced,37.32,-120.49,95348.0,CA,California
638,1061 Cochrane Rd,Morgan Hill,Santa Clara,37.16,-121.65,95037.0,CA,California
639,475 Rohnert Park Expy W,Rohnert Park,Sonoma,38.35,-122.72,94928.0,CA,California
640,1980 Santa Rosa Ave,Santa Rosa,Sonoma,38.42,-122.71,95407.0,CA,California
641,950 Coddingtown Center,Santa Rosa,Sonoma,38.46,-122.73,95401.0,CA,California
642,1405 W Pacheco Blvd,Los Banos,Merced,37.05,-120.87,93635.0,CA,California
643,6705 Camino Arroyo,Gilroy,Santa Clara,37.0,-121.55,95020.0,CA,California
644,1825 41st Ave,Capitola,Santa Cruz,36.97,-121.97,95010.0,CA,California
645,1415 Main St,Watsonville,Santa Cruz,36.92,-121.77,95076.0,CA,California
646,1790 Airline Hwy,Hollister,San Benito,36.84,-121.39,95023.0,CA,California
647,910 Jacks Valley Rd,Carson City,Douglas,39.1,-119.78,89705.0,NV,Nevada
648,1640 N Main St,Salinas,Monterey,36.71,-121.65,93906.0,CA,California
649,1951 E 20th St,Chico,Butte,39.73,-121.8,95928.0,CA,California
