id,Lab 0A,Lab 0B,Lab 1 Worksheet,Lab 2A,Lab 2B,Lab 3A,Lab 3B,Lab 4A,Lab 4B,Lab 5A,Lab 5B,Lab 6A,Lab 6B,Lab 7A,Lab 7B,Lab 8A,Lab 8B,Lab 9A,Lab 9B,Lab 10A,Lab 10B,Lab 11A,Lab 11B,CS135 ABET Direct Assessment,ABET Quiz Participation Points,Research Current Score,Research Unposted Current Score,Research Final Score,Research Unposted Final Score,Labs Current Score,Labs Unposted Current Score,Labs Final Score,Labs Unposted Final Score,ABET Current Score,ABET Unposted Current Score,ABET Final Score,ABET Unposted Final Score,ABET Participation Points Current Score,ABET Participation Points Unposted Current Score,ABET Participation Points Final Score,ABET Participation Points Unposted Final Score,Current Score,Unposted Current Score,Final Score,Unposted Final Score
92c45c84d12e7ec414ba0369293bf05bc5a38ab731ed31cf2f948d9781723f66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3ec11782fc5b7b140c52502bb2b2c871f08ce5d68092897307952fc5f273ac68,100,0,72,100,100,100,97.51,80,100,99.24,100,100,100,,,,,,,,,,,,,,,,,91.18,91.18,39.19,39.19,,,0,0,,,0,0,91.18,91.18,37.23,37.23
449820d6728ae15dc3f3d7b9020188a286929d371d5160d81eac125f81bf3f84,100,0,94,62.3,100,100,100,100,100,100,98.49,100,0,,,,,,,,,,,,,,,,,82.66,82.66,35.53,35.53,,,0,0,,,0,0,82.66,82.66,33.75,33.75
6150cb85ddc3a56140b57ecebeb1b939612e0aa7e8cc5763669be0b0c062632b,100,100,88,100,100,93,92.8,100,81.33,68.04,98.49,95.46,24.88,,,,,,,,,,,,,,,,,85.04,85.04,36.55,36.55,,,0,0,,,0,0,85.04,85.04,34.72,34.72
e8231e184b11b1bd0bcedfe7e4bcad443882ebda4cc53d804c457448c7242962,100,100,34,95,75.77,95.51,92.51,98.18,98.63,100,89.51,96.82,0,,,,,,,,,,,,,,,,,78.87,78.87,33.9,33.9,,,0,0,,,0,0,78.87,78.87,32.2,32.2
ac7947cd601d3e745f78cc4faeb73bd18d677e8bf9196a324c0c9cfd4a9fec5b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86b3f8a5ba557b3c655741f72dd5675e7116240626b79b65523d6981d5f0267b,0,0,80,0,22.3,0,83,20.6,0,0,0,0,0,,,,,,,,,,,,,,,,,17.14,17.14,7.37,7.37,,,0,0,,,0,0,17.14,17.14,7,7
a7781bbbfa87ae23c2e648c93bd62829ee06e828a4bda3aff2aa612833b0d381,100,100,38,100,100,96.49,27.51,100,100,100,12.51,0,0,,,,,,,,,,,,,,,,,59.8,59.8,25.7,25.7,,,0,0,,,0,0,59.8,59.8,24.42,24.42
58f2cfad03d763adbad1fae4bb8a18fee196413add912c5c0a745ebffed477d1,100,100,94,100,100,95,97,100,100,99.76,99.51,100,100,,,,,,,,,,,,,,,,,98.75,98.75,42.44,42.44,,,0,0,,,0,0,98.75,98.75,40.32,40.32
ab892cf74ea047946aefb046304e9731986c33cfba90224f18c7b68d4029accd,100,100,94,100,100,96.49,100,100,100,98.49,82.51,100,100,,,,,,,,,,,,,,,,,97.39,97.39,41.86,41.86,,,0,0,,,0,0,97.39,97.39,39.77,39.77
d34b9f7f13a311d23956df84bc017878dab8402b5f3ab6679a00d51819d22d6d,0,100,32,0,100,95.51,15,84.63,100,65,68.67,75.5,81.42,,,,,,,,,,,,,,,,,64.72,64.72,27.82,27.82,,,0,0,,,0,0,64.72,64.72,26.43,26.43
a3a6cd8882879acc7684c7099a5232f22a21e6445dad8fdd774dd2121f87a5be,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dc019dcde3a9943977607b4a246328b8d2f1415f1747c41141974f3b3026efa5,100,100,94,100,100,100,96.51,100,100,100,98.49,100,100,,,,,,,,,,,,,,,,,99,99,42.55,42.55,,,0,0,,,0,0,99,99,40.43,40.43
