id,Year,Category,Nominee
84,1962.0,Best Classical Performance- Vocal Soloist (With or Without Orchestra),The Art Of The Prima Donna.
85,1962.0,Best Comedy Performance,An Evening With Mike Nichols And Elaine May.
86,1962.0,Best Contemporary Classical Composition,Stravinsky: Movements For Piano And Orchestra.
87,1962.0,Best Country & Western Recording,Big Bad John.
88,1962.0,Best Documentary or Spoken Word Recording (Other Than Comedy),Humor In Music.
89,1962.0,Best Engineering Contribution - Classical Recording,Ravel: Daphnis Et Chloe.
90,1962.0,Best Engineering Contribution - Novelty,Stan Freberg Presents The United States Of America.
91,1962.0,Best Engineering Contribution - Popular Recording,Judy At Carnegie Hall.
92,1962.0,Best Folk Recording,Belafonte Folk Singers At Home And Abroad.
93,1962.0,Best Gospel Or Other Religious Recording,Everytime I Feel The Spirit.
94,1962.0,Best Instrumental Arrangement,Moon River.
95,1962.0,Best Instrumental Theme Or Instrumental Version of Song,African Waltz.
96,1962.0,Best Jazz Performance - Large Group (Instrumental),West Side Story
97,1962.0,Best Jazz Performance- Soloist or Small Group (Instrumental),Andre Previn Plays Harold Arlen.
98,1962.0,Best New Artist Of 1961,Peter Nero (artist)
99,1962.0,Best Opera Recording,Puccini: Madame Butterfly.
100,1962.0,Best Original Cast Show Album,How To Succeed In Business Without Really Trying.
101,1962.0,Best Original Jazz Composition,African Waltz.
102,1962.0,Best Performance by a Chorus,Great Band With Great Voices.
103,1962.0,Best Performance by a Vocal Group,High Flying.
104,1962.0,Best Performance by an Orchestra - for Other Than Dancing,Breakfast at Tiffany's
105,1962.0,Best Performance by an Orchestra- For Dancing,Up A Lazy River.
106,1962.0,Best Recording for Children,Prokofiev: Peter And The Wolf.
107,1962.0,Best Rhythm & Blues Recording,Hit The Road Jack.
108,1962.0,Best Rock & Roll Recording,Let's Twist Again.
109,1962.0,"Best Solo Vocal Performance, Female",Judy At Carnegie Hall.
110,1962.0,"Best Solo Vocal Performance, Male",Lollipops And Roses.
111,1962.0,Best Soundtrack Album or Recording of Original Cast from Motion Picture or Television,West Side Story
112,1962.0,Best Soundtrack Album or Recording of Score from Motion Picture or Television,Breakfast at Tiffany's
113,1962.0,Record of the Year,Moon River.
114,1962.0,Song of the Year,Moon River.
115,1963.0,Album Of the Year - Classical,Columbia Records Presents Vladimir Horowitz.
116,1963.0,Album of the Year (Other Than Classical),The First Family.
117,1963.0,Best Album Cover- Classical,The Intimate Bach.
118,1963.0,Best Album Cover- Other Than Classical,Lena...Lovely And Alive.
119,1963.0,Best Background Arrangement (Behind Vocalist Or Instrumentalist),I Left My Heart In San Francisco.
120,1963.0,Best Classical Performance- Chamber Music,"The Heifetz-Piatigorsky Concerts With Primrose, Pennario And Guests."
121,1963.0,Best Classical Performance- Choral (Other Than Opera),Bach: St. Matthew Passion.
122,1963.0,Best Classical Performance- Instrumental Soloist Or Duo (Without Orchestra),Columbia Records Presents Vladimir Horowitz.
123,1963.0,Best Classical Performance- Instrumental Soloist Or Soloists (With Orchestra),Stravinsky: Violin Concerto In D.
124,1963.0,Best Classical Performance- Orchestra,Stravinsky: The Firebird Ballet.
125,1963.0,Best Classical Performance- Vocal Soloist (With or Without Orchestra),Wagner: Gotterdamerung - Brunnhilde's Immolation Scene/Wesendonck Songs.
126,1963.0,Best Comedy Performance,The First Family.
127,1963.0,Best Contemporary Composition,Stravinsky: The Flood.
128,1963.0,Best Country & Western Recording,Funny Way Of Laughin'.
129,1963.0,"Best Documentary, Spoken Word, or Drama Recording (Other Than Comedy)",The Story-Teller: A Session With Charles Laughton.
130,1963.0,Best Engineered Recording - Classical,Strauss: Also Sprach Zarathustra.
131,1963.0,Best Engineering Contribution - Novelty,"The Civil War, Vol. I>"
132,1963.0,Best Engineering Contribution - Other than Novelty and Other Than Classical,Hatari.
133,1963.0,Best Folk Recording,If I Had A Hammer.
134,1963.0,Best Gospel Or Other Religious Recording,Great Songs Of Love And Faith.
135,1963.0,Best Instrumental Arrangement,Baby Elephant Walk.
136,1963.0,Best Instrumental Theme,A Taste Of Honey.
137,1963.0,Best Jazz Performance- Large Group (Instrumental),Adventures In Jazz.
138,1963.0,Best Jazz Performance- Soloist or Small Group (Instrumental),Desafinado.
139,1963.0,Best New Artist Of 1962,Robert Goulet (artist)
140,1963.0,Best Opera Recording,Verdi: Aida.
141,1963.0,Best Original Cast Show Album,No Strings.
142,1963.0,Best Original Jazz Composition,Cast Your Fate To The Wind.
143,1963.0,Best Performance by a Chorus,Presenting The New Christy Minstrels.
144,1963.0,Best Performance by a Vocal Group,If I Had A Hammer.
145,1963.0,Best Performance by an Orchestra or Instrumentalist with Orchestra- Primarily Not Jazz Or For Dancing,The Colorful Peter Nero.
146,1963.0,Best Performance by an Orchestra- For Dancing,Fly Me To The Moon Bossa Nova.
147,1963.0,Best Recording for Children,Saint-Saens: Carnival Of The Animals/Britten: Young Person's Guide To The Orchestra.
148,1963.0,Best Rhythm & Blues Recording,I Can't Stop Loving You.
149,1963.0,Best Rock & Roll Recording,Alley Cat.
150,1963.0,"Best Solo Vocal Performance, Female",Ella Swings Brightly With Nelson Riddle.
151,1963.0,"Best Solo Vocal Performance, Male",I Left My Heart In San Francisco.
152,1963.0,Record of the Year,I Left My Heart In San Francisco.
153,1963.0,Song of the Year,What Kind Of Fool Am I.
154,1964.0,Album of the Year (Other Than Classical),The Barbra Streisand Album.
155,1964.0,Best Album Cover- Classical,Puccini: Madama Butterfly.
156,1964.0,Best Album Cover- Other Than Classical,The Barbra Streisand Album.
157,1964.0,Best Album Notes,The Ellington Era.
158,1964.0,Best Background Arrangement (Behind Vocalist Or Instrumentalist),Days Of Wine And Roses.
159,1964.0,Best Classical Composition By A Contemporary Composer,Britten: War Requiem.
160,1964.0,Best Classical Performance- Chamber Music,Evening Of Elizabethan Music.
161,1964.0,Best Classical Performance- Choral (Other Than Opera),Britten: War Requiem.
162,1964.0,Best Classical Performance- Instrumental Soloist Or Duo (Without Orchestra),The Sound Of Horowitz.
163,1964.0,Best Classical Performance- Instrumental Soloist Or Soloists (With Orchestra),Tchaikovsky: Piano Concerto No. 1 In B Flat Minor.
164,1964.0,Best Classical Performance- Orchestra,Bartók: Concerto For Orchestra.
165,1964.0,Best Classical Performance- Vocal Soloist (With or Without Orchestra),Great Scenes From Gershwin's Porgy And Bess.
166,1964.0,Best Comedy Performance,"Hello Mudduh, Hello Faddah."
167,1964.0,Best Country & Western Recording,Detroit City.
168,1964.0,"Best Documentary, Spoken Word, or Drama Recording (Other Than Comedy)",Who's Afraid Of Virginia Woolf?.
169,1964.0,Best Engineered Recording- Classical,Puccini: Madama Butterfly.
170,1964.0,Best Engineered Recording- Other than Classical,Charade.
171,1964.0,Best Engineered Recording- Special or Novel Effects,"The Civil War, Vol. II."
172,1964.0,Best Folk Recording,Blowin' In The Wind.
173,1964.0,Best Gospel Or Other Religious Recording (Musical),Dominique.
174,1964.0,Best Instrumental Arrangement,I Can't Stop Loving You.
175,1964.0,Best Instrumental Jazz Performance- Large Group,"Encore: Woody Herman, 1963."
176,1964.0,Best Instrumental Jazz Performance- Soloist or Small Group,Conversations With Myself.
177,1964.0,Best Instrumental Theme,More - Theme From Mondo Cane.
178,1964.0,Best New Artist Of 1963,Ward Swingle.
179,1964.0,Best Opera Recording,Puccini: Madama Butterfly.
180,1964.0,Best Original Jazz Composition,Gravy Waltz.
181,1964.0,Best Original Score from a Motion Picture or Television Show,Tom Jones
182,1964.0,Best Performance by a Chorus,Bach's Greatest Hits.
183,1964.0,Best Performance by a Vocal Group,Blowin' In The Wind.
184,1964.0,Best Performance by an Orchestra or Instrumentalist with Orchestra- Primarily Not Jazz Or For Dancing,Java.
185,1964.0,Best Performance by an Orchestra- For Dancing,This Time By Basie! Hits Of The 50's And 60's.
186,1964.0,Best Recording for Children,Bernstein Conducts For Young People.
187,1964.0,Best Rhythm & Blues Recording,Busted.
188,1964.0,Best Rock & Roll Recording,Deep Purple.
189,1964.0,Best Score From An Original Cast Show Album,She Loves Me.
190,1964.0,"Best Vocal Performance, Female",The Barbra Streisand Album.
191,1964.0,"Best Vocal Performance, Male",Wives And Lovers.
192,1964.0,Classical Album Of the Year,Britten: War Requiem.
193,1964.0,Most Promising New Classical Recording Artist,Liszt: Concerto No. 1 For Piano & Orchestra.
194,1964.0,Record of the Year,Days Of Wine And Roses.
195,1964.0,Song of the Year,Days Of Wine And Roses.
196,1965.0,Album of the Year,Getz/Gilberto
197,1965.0,Album of the Year -- Classical,Bernstein: Symphony No. 3 Kaddish
198,1965.0,Best Accompaniment Arrangement for Vocalist(s) or Instrumentalist(s),People
199,1965.0,Best Album Cover- Other Than Classical,People
200,1965.0,Best Album Notes,Mexico (Legacy Collection)
201,1965.0,Best Chamber Music Performance - Vocal,It Was A Lover And His Lass
202,1965.0,Best Chamber Performance - Instrumental,"Beethoven: Trio No. 1 In E Flat, Op. 1 #1"
203,1965.0,Best Choral Performance (other than opera),Britten: A Ceremony Of Carols
204,1965.0,Best Comedy Performance,I Started Out as a Child
205,1965.0,Best Composition by a Contemporary Composer,Barber: Piano Concerto
206,1965.0,Best Country & Western Album,Dang Me/Chug-A-Lug
207,1965.0,Best Country & Western Single,Dang Me
208,1965.0,Best Country & Western Song,Dang Me
209,1965.0,Best Country & Western Vocal Performance - Female,Here Comes My Baby
210,1965.0,Best Country & Western Vocal Performance - Male,Dang Me
211,1965.0,"Best Documentary, Spoken Word or Drama Recording (other than comedy)","BBC Tribute To John F. Kennedy (That Was The Week That Was, Cast)"
212,1965.0,Best Engineered Recording,Britten: Young Person's Guide To The Orchestra
213,1965.0,Best Engineered Recording - Non-Classical,Getz/Gilberto
214,1965.0,Best Engineered Recording - Special or Novel Effects,The Chipmunks Sing The Beatles
215,1965.0,Best Folk Recording,We'll Sing In The Sunshine
216,1965.0,Best Gospel or Other Religious Recording (Musical),Great Gospel Songs
217,1965.0,Best Instrumental Arrangement,The Pink Panther
218,1965.0,Best Instrumental Composition (other than jazz),The Pink Panther Theme
219,1965.0,Best Instrumental Jazz Performance - Large Group or Soloist with Large Group,Guitar From Ipanema
220,1965.0,Best Instrumental Jazz Performance - Small Group or Soloist with Small Group,Getz/Gilberto
221,1965.0,Best Instrumental Performance - Non-Jazz,The Pink Panther
222,1965.0,Best New Artist,The Beatles (artist)
223,1965.0,Best Opera Recording,Bizet: Carmen
224,1965.0,Best Original Jazz Composition,The Cat
225,1965.0,Best Original Score Written for a Motion Picture or Television Show,Mary Poppins
226,1965.0,Best Performance - Instrumental Soloist or Soloists (with orchestra),Prokofiev: Violin Concerto No. 1 In D
227,1965.0,Best Performance - Instrumental Soloist or Soloists (without orchestra),"Vladimir Horowitz Plays Beethoven, Debussy, Chopin"
228,1965.0,Best Performance - Orchestra,Mahler: Symphony No. 5/Berg: Wozzeck Excerpts
229,1965.0,Best Performance by a Chorus,The Swingle Singers Going Baroque
230,1965.0,Best Performance by a Vocal Group,A Hard Day's Night
231,1965.0,Best Recording for Children,Mary Poppins
232,1965.0,Best Rhythm & Blues Recording,How Glad I Am
233,1965.0,Best Rock & Roll Recording,Downtown
234,1965.0,Best Score From an Original Cast Show Album,Funny Girl
235,1965.0,"Best Vocal Performance, Female",People
236,1965.0,"Best Vocal Performance, Male","Hello, Dolly!"
237,1965.0,Best Vocal Soloist Performance (with or without orchestra),Berlioz: Nuits D'Ete (Song Cycle)/Falla: El Amor Brujo
238,1965.0,Most Promising New Classical Recording Artist,"The Age Of Bel Canto: Operatic Scenes (Boyngne, cond.)"
239,1965.0,Record of the Year,The Girl From Ipanema
240,1965.0,Song of the Year,"Hello, Dolly!"
241,1966.0,Album of the Year,September Of My Years
242,1966.0,Album of the Year - Classical,Horowitz At Carnegie Hall - An Historic Return
243,1966.0,Best Album Cover - Graphic Arts,Bartók: Concerto No. 2 For Violin/Stravinsky: Concerto For Violin
244,1966.0,Best Album Cover - Photography,Jazz Suite On The Mass Texts
245,1966.0,Best Album Notes,September Of My Years
246,1966.0,Best Arrangement Accompanying a Vocalist or Instrumentalist,It Was A Very Good Year
247,1966.0,Best Classical Chamber Music Performance - Instrumental or Vocal,Bartók: The Six String Quartets - Nos. 1-6
248,1966.0,Best Classical Choral Performance (other than opera),Stravinsky: Symphony Of Psalms/Poulenc: Gloria
249,1966.0,Best Classical Performance - Instrumental Soloist or Soloists (with orchestra),Beethoven: Piano Concerto No. 4 In G
250,1966.0,Best Classical Performance - Instrumental Soloist or Soloists (without orchestra),Horowitz At Carnegie Hall - An Historic Return
251,1966.0,Best Classical Performance - Orchestra,Ives: Symphony No. 4
252,1966.0,Best Classical Vocal Soloist Performance,"Strauss: Salome (Dance Of The Seven Veils, Interlude, Final Scene)/The Egyptian Helen (Awakening Scene)"
253,1966.0,Best Comedy Performance,Why Is There Air?
254,1966.0,Best Composition by a Contemporary Classical Composer,Ives: Symphony No. 4
255,1966.0,Best Contemporary (R&R) Performance - Group (Vocal or Instrumental),Flowers On The Wall
256,1966.0,Best Contemporary (R&R) Single,King Of The Road
257,1966.0,Best Contemporary (R&R) Vocal Performance - Female,I Know A Place
258,1966.0,Best Contemporary (R&R) Vocal Performance - Male,King Of The Road
259,1966.0,Best Country & Western Album,The Return Of Roger Miller
260,1966.0,Best Country & Western Single,King Of The Road
261,1966.0,Best Country & Western Song,King Of The Road
262,1966.0,Best Country & Western Vocal Performance - Female,Queen Of The House
263,1966.0,Best Country & Western Vocal Performance - Male,King Of The Road
264,1966.0,Best Engineered Recording - Non-Classical,A Taste Of Honey
