id,Year,Category,Nominee
951,1980.0,"Best Soul Gospel Performance, Traditional",Changing Times.
952,1980.0,Best Spoken Word Album,Ages of Man : Reading from Shakespeare
953,1980.0,Classical Producer of the Year,James Mallison (producer)
954,1980.0,Producer of the Year,Larry Butler (producer)
955,1980.0,Record of the Year,What A Fool Believes.
956,1980.0,Song of the Year,What A Fool Believes.
957,1981.0,Album of the Year,Christopher Cross.
958,1981.0,Best Album Notes,"Trilogy: Past, Present And Future."
959,1981.0,Best Album Package,Against The Wind.
960,1981.0,Best Album of Original Score Written for a Motion Picture or Television Special,Star Wars: Episode V - The Empire Strikes Back
961,1981.0,Best Arrangement Accompanying Vocalist(s),Sailing.
962,1981.0,Best Arrangement for Voices,Birdland.
963,1981.0,Best Cast Show Album,Evita - Premier American Recording (Various Artists).
964,1981.0,Best Chamber Music Performance,Play Music For Two Violins (Moszkowski: Suite For Two Violins/Shostakovich: Duets/Prokofiev: Sonata For Two Violins).
965,1981.0,"Best Choral Performance, Classical (other than opera)",Mozart: Requiem.
966,1981.0,Best Classical Album,Berg: Lulu (Complete Version).
967,1981.0,Best Classical Orchestral Recording,Bruckner: Symphony No. 6 In A.
968,1981.0,"Best Classical Performance, Instrumental Soloist or Soloists (with orchestra)",Berg: Violin Concerto/Stravinsky: Violin Concerto In D.
969,1981.0,"Best Classical Performance, Instrumental Soloist or Soloists (without orchestra)",The Spanish Album.
970,1981.0,Best Classical Vocal Soloist Performance,"Prima Donna, Vol. 5 - Great Soprano Arias From Handel To Britten."
971,1981.0,Best Comedy Recording,No Respect.
972,1981.0,Best Country Instrumental Performance,Orange Blossom Special/Hoedown.
973,1981.0,Best Country Performance by a Duo or Group with Vocal,That Lovin' You Feelin' Again.
974,1981.0,Best Country Song,On The Road Again.
975,1981.0,"Best Country Vocal Performance, Female",Could I Have This Dance?.
976,1981.0,"Best Country Vocal Performance, Male",He Stopped Loving Her Today.
977,1981.0,"Best Engineered Recording, Classical",Berg: Lulu (Complete Version).
978,1981.0,"Best Engineered Recording, Non-Classical",The Wall.
979,1981.0,Best Ethnic or Traditional Folk Recording,Rare Blues (Various Artists).
980,1981.0,"Best Gospel Performance, Contemporary or Inspirational",The Lord's Prayer.
981,1981.0,"Best Gospel Performance, Traditional",We Come To Worship.
982,1981.0,Best Historical Reissue Album,Segovia - The EMI Recordings 1927-39.
983,1981.0,Best Inspirational Performance,With My Song I Will Praise Him.
984,1981.0,Best Instrumental Arrangement,"Dinorah, Dinorah."
985,1981.0,Best Instrumental Composition,The Empire Strikes Back.
986,1981.0,"Best Jazz Fusion Performance, Vocal or Instrumental",Birdland.
987,1981.0,"Best Jazz Instrumental Performance, Big Band",On The Road.
988,1981.0,"Best Jazz Instrumental Performance, Group",We Will Meet Again.
989,1981.0,"Best Jazz Instrumental Performance, Soloist",I Will Say Goodbye.
990,1981.0,"Best Jazz Vocal Performance, Female",A Perfect Match - Ella And Basie.
991,1981.0,"Best Jazz Vocal Performance, Male",Moody's Mood.
992,1981.0,Best Latin Recording,La Onda Va Bien.
993,1981.0,Best New Artist,Christopher Cross (artist)
994,1981.0,Best Opera Recording,Berg: Lulu (Complete Version).
995,1981.0,Best Pop Instrumental Performance,One On One.
996,1981.0,Best Pop Performance by a Duo or Group with Vocal,Guilty.
997,1981.0,"Best Pop Vocal Performance, Female",The Rose.
998,1981.0,"Best Pop Vocal Performance, Male",This Is It.
999,1981.0,Best R&B Instrumental Performance,Off Broadway.
1000,1981.0,Best R&B Performance by a Duo or Group with Vocal,Shining Star.
1001,1981.0,"Best R&B Vocal Performance, Female",Never Knew Love Like This Before.
1002,1981.0,"Best R&B Vocal Performance, Male",Give Me The Night.
1003,1981.0,Best Recording for Children,In Harmony/A Sesame Street Record (Various Artists).
1004,1981.0,Best Rhythm & Blues Song,Never Knew Love Like This Before.
1005,1981.0,Best Rock Instrumental Performance,Reggatta De Blanc.
1006,1981.0,Best Rock Performance by a Duo or Group with Vocal,Against The Wind.
1007,1981.0,"Best Rock Vocal Performance, Female",Crimes Of Passion.
1008,1981.0,"Best Rock Vocal Performance, Male",Glass Houses.
1009,1981.0,"Best Soul Gospel Performance, Contemporary",Rejoice.
1010,1981.0,"Best Soul Gospel Performance, Traditional","Lord, Let Me Be An Instrument."
1011,1981.0,"Best Spoken Word, Documentary or Drama Recording","Gertrude Stein, Gertrude Stein, Gertrude Stein."
1012,1981.0,Classical Producer of the Year,Robert Woods (producer)
1013,1981.0,Producer of the Year (Non-Classical),Phil Ramone (producer)
1014,1981.0,Record of the Year,Sailing.
1015,1981.0,Song of the Year,Sailing.
1016,1982.0,Album of the Year,Double Fantasy.
1017,1982.0,Best Album Notes,Erroll Garner - Master Of The Keyboard.
1018,1982.0,Best Album Package,Tattoo You.
1019,1982.0,Best Album of Original Score Written for a Motion Picture or Television Special,Raiders of the Lost Ark
1020,1982.0,Best Arrangement On An Instrumental Recording,Velas.
1021,1982.0,Best Cast Show Album,"Lena Horne - The Lady And Her Music, Live On Broadway."
1022,1982.0,Best Chamber Music Performance,Tchaikovsky: Piano Trio In A Minor.
1023,1982.0,Best Choral Performance (other than opera),Haydn: The Creation.
1024,1982.0,Best Classical Album,Mahler: Symphony No. 2 In C Minor.
1025,1982.0,Best Classical Orchestral Recording,Mahler: Symphony No. 2 In C Minor.
1026,1982.0,"Best Classical Performance, Instrumental Soloist or Soloists (with orchestra)",Isaac Stern 60th Anniversary Celebration.
1027,1982.0,"Best Classical Performance, Instrumental Soloist or Soloists (without orchestra)",The Horowitz Concerts 1979/80.
1028,1982.0,Best Classical Vocal Soloist Performance,Live From Lincoln Center - Sutherland/Horne/Pavarotti.
1029,1982.0,Best Comedy Recording,Rev. Du Rite
1030,1982.0,Best Country Instrumental Performance,Country After All These Years.
1031,1982.0,Best Country Performance by a Duo or Group with Vocal,Elvira.
1032,1982.0,Best Country Song,9 to 5
1033,1982.0,"Best Country Vocal Performance, Female",9 to 5.
1034,1982.0,"Best Country Vocal Performance, Male",(There's) No Gettin' Over Me.
1035,1982.0,"Best Engineered Recording, Classical",Isaac Stern 60th Anniversary Celebration.
1036,1982.0,"Best Engineered Recording, Non-Classical",Gaucho.
1037,1982.0,Best Ethnic or Traditional Folk Recording,There Must Be A Better World Somewhere.
1038,1982.0,"Best Gospel Performance, Contemporary or Inspirational",Priority.
1039,1982.0,"Best Gospel Performance, Traditional",The Masters V.
1040,1982.0,Best Historical Album,Hoagy Carmichael - From Stardust To Ole Buttermilk Sky.
1041,1982.0,Best Inspirational Performance,Amazing Grace.
1042,1982.0,Best Instrumental Arrangement Accompanying Vocal(s),Ai No Corrida.
1043,1982.0,Best Instrumental Composition,The Theme From Hill Street Blues.
1044,1982.0,"Best Jazz Fusion Performance, Vocal or Instrumental",Winelight.
1045,1982.0,"Best Jazz Instrumental Performance, Big Band",Walk On The Water.
1046,1982.0,"Best Jazz Instrumental Performance, Group","Chick Corea & Gary Burton In Concert - Zurich, October 28, 1979."
1047,1982.0,"Best Jazz Instrumental Performance, Soloist",Bye Bye Blackbird.
1048,1982.0,"Best Jazz Vocal Performance, Duo or Group",Until I Met You (Corner Pocket).
1049,1982.0,"Best Jazz Vocal Performance, Female",Digital III At Montreaux.
1050,1982.0,"Best Jazz Vocal Performance, Male",Blue Rondo A La Turk.
1051,1982.0,Best Latin Recording,Guajira Pa La Jeva.
1052,1982.0,Best New Artist,Sheena Easton (artist)
1053,1982.0,Best Opera Recording,Janácek: From The House Of The Dead.
1054,1982.0,Best Pop Instrumental Performance,The Theme From Hill Street Blues.
1055,1982.0,Best Pop Performance by a Duo or Group with Vocal,Boy From New York City.
1056,1982.0,"Best Pop Vocal Performance, Female","Lena Horne - The Lady And Her Music, Live On Broadway."
1057,1982.0,"Best Pop Vocal Performance, Male",Breakin' Away.
1058,1982.0,Best R&B Instrumental Performance,All I Need Is You.
1059,1982.0,Best R&B Performance by a Duo or Group with Vocal,The Dude.
1060,1982.0,"Best R&B Vocal Performance, Female",Hold On I'm Comin'.
1061,1982.0,"Best R&B Vocal Performance, Male",One Hundred Ways.
1062,1982.0,Best Recording for Children,Sesame Country.
1063,1982.0,Best Rhythm & Blues Song,Just The Two Of Us.
1064,1982.0,Best Rock Instrumental Performance,Behind My Camel.
1065,1982.0,Best Rock Performance by a Duo or Group with Vocal,Don't Stand So Close To Me.
1066,1982.0,"Best Rock Vocal Performance, Female",Fire And Ice.
1067,1982.0,"Best Rock Vocal Performance, Male",Jessie's Girl.
1068,1982.0,"Best Soul Gospel Performance, Contemporary",Don't Give Up.
1069,1982.0,"Best Soul Gospel Performance, Traditional",The Lord Will Make A Way.
1070,1982.0,"Best Spoken Word, Documentary or Drama Recording",Donovan's Brain.
1071,1982.0,Best Vocal Arrangement for Two or More Voices,A Nightingale Sang In Berkeley Square.
1072,1982.0,Classical Producer of the Year,James Mallison (producer)
1073,1982.0,Producer of the Year,Quincy Jones (producer)
1074,1982.0,Record of the Year,Bette Davis Eyes.
1075,1982.0,Song of the Year,Bette Davis Eyes.
1076,1982.0,Video Of The Year,Michael Nesmith In Elephant Parts.
1077,1983.0,Album of the Year,Toto IV.
1078,1983.0,Best Album Notes,Bunny Berigan - Giants Of Jazz.
1079,1983.0,Best Album Package,Get Closer.
1080,1983.0,Best Album of Original Score Written for a Motion Picture or Television Special,E.T. the Extra-Terrestrial
1081,1983.0,Best Arrangement On An Instrumental Recording,Flying.
1082,1983.0,Best Cast Show Album,Dreamgirls(Various Artists).
1083,1983.0,Best Chamber Music Performance,"Brahms: The Sonatas For Clarinet & Piano, Op. 120."
1084,1983.0,Best Choral Performance (other than opera),Berlioz: La Damnation De Faust.
1085,1983.0,Best Classical Album,Bach: The Goldberg Variations.
1086,1983.0,"Best Classical Performance, Instrumental Soloist (with orchestra)",Elgar: Violin Concerto In B Minor.
1087,1983.0,Best Classical Vocal Soloist Performance,Verdi: Arias (Leontyne Price Sings Verdi).
1088,1983.0,Best Comedy Recording,Live On The Sunset Strip.
1089,1983.0,Best Country Instrumental Performance,Alabama Jubilee.
1090,1983.0,Best Country Performance by a Duo or Group with Vocal,Mountain Music.
1091,1983.0,Best Country Song,Always On My Mind.
1092,1983.0,"Best Country Vocal Performance, Female",Break It To Me Gently.
1093,1983.0,"Best Country Vocal Performance, Male",Always On My Mind.
1094,1983.0,"Best Engineered Recording, Classical",Mahler: Symphony No. 7 In E Minor (Song Of The Night).
1095,1983.0,"Best Engineered Recording, Non-Classical",Toto IV.
1096,1983.0,Best Ethnic or Traditional Folk Recording,Queen Ida & The Bon Temps Zydeco Band On Tour.
1097,1983.0,"Best Gospel Performance, Contemporary",Age To Age.
1098,1983.0,"Best Gospel Performance, Traditional",I'm Following You.
1099,1983.0,Best Historical Album,"The Tommy Dorsey/Frank Sinatra Sessions - Vols. 1 ,2 & 3."
1100,1983.0,Best Inspirational Performance,He Set My Life To Music.
1101,1983.0,Best Instrumental Arrangement Accompanying Vocal(s),Flying - Theme from 'E.T. the Extra-Terrestrial'.
1102,1983.0,Best Instrumental Composition,Flying - Theme from 'E.T. the Extra-Terrestrial'.
1103,1983.0,"Best Jazz Fusion Performance, Vocal or Instrumental",Offramp.
1104,1983.0,"Best Jazz Instrumental Performance, Big Band",Warm Breeze.
1105,1983.0,"Best Jazz Instrumental Performance, Group",More Live.
1106,1983.0,"Best Jazz Instrumental Performance, Soloist",We Want Miles.
1107,1983.0,"Best Jazz Vocal Performance, Duo or Group",Route 66.
1108,1983.0,"Best Jazz Vocal Performance, Female",Gershwin Live!.
1109,1983.0,"Best Jazz Vocal Performance, Male",An Evening With George Shearing & Mel Tormé.
1110,1983.0,Best Latin Recording,Machito & His Salsa Big Band '82.
1111,1983.0,Best New Artist,Men at Work (artist)
1112,1983.0,Best Opera Recording,Wagner: Der Ring Des Nibelungen.
1113,1983.0,Best Orchestral Performance,Mahler: Sym. No. 7 In E Min. (Song Of The Night).
1114,1983.0,Best Pop Instrumental Performance,Chariots of Fire Theme (Dance Version).
1115,1983.0,Best Pop Performance by a Duo or Group with Vocal,Up Where We Belong.
1116,1983.0,"Best Pop Vocal Performance, Female",You Should Hear How She Talks About You.
1117,1983.0,"Best Pop Vocal Performance, Male",Truly.
1118,1983.0,Best R&B Performance by a Duo or Group with Vocal,Wanna Be With You.
1119,1983.0,"Best R&B Vocal Performance, Female",And I Am Telling You I'm Not Going.
1120,1983.0,Best Recording for Children,In Harmony 2 (various artists).
1121,1983.0,Best Rhythm & Blues Song,Turn Your Love Around.
1122,1983.0,Best Rock Instrumental Performance,D.N.A..
1123,1983.0,Best Rock Performance by a Duo or Group with Vocal,Eye Of The Tiger.
1124,1983.0,"Best Rock Vocal Performance, Female",Shadows Of The Night.
1125,1983.0,"Best Rock Vocal Performance, Male",Hurts So Good.
1126,1983.0,"Best Soul Gospel Performance, Contemporary",Higher Plane.
1127,1983.0,"Best Soul Gospel Performance, Traditional",Precious Lord.
1128,1983.0,"Best Spoken Word, Documentary or Drama Recording",Raiders Of The Lost Ark - The Movie On Record (Various Artists).
1129,1983.0,Best Traditional Blues Recording,Alright Again.
1130,1983.0,Best Vocal Arrangement for Two or More Voices,Rosanna.
1131,1983.0,Classical Producer of the Year,Robert Woods (producer)
1132,1983.0,Producer of the Year,TOTO (artist)
1133,1983.0,Record of the Year,Rosanna.
1134,1983.0,Song of the Year,Always On My Mind.
1135,1983.0,Video Of The Year,Physical.
1136,1984.0,Album of the Year,Thriller.
1137,1984.0,Best Album Notes,The Interplay Sessions.
1138,1984.0,Best Album Package,Speaking In Tongues.
1139,1984.0,Best Album of Original Score Written for a Motion Picture or Television Special,Flashdance
1140,1984.0,Best Arrangement on an Instrumental,Summer Sketches '82.
1141,1984.0,Best Cast Show Album,Cats (Complete Original Broadway Cast Recording).
1142,1984.0,Best Chamber Music Performance,"Brahms: Sonata For Cello And Piano In E Minor, Op. 38 And Sonata In F, Op. 99."
1143,1984.0,Best Choral Performance (other than opera),Haydn: The Creation.
1144,1984.0,Best Classical Album,Mahler: Symphony No. 9 In D.
1145,1984.0,Best Classical Performance – Instrumental Soloist or Soloists (with orchestra),Haydn: Trumpet Concerto In E Flat/L. Mozart: Trumpet Concerto In D/Hummel: Trumpet Concerto In E Flat.
1146,1984.0,Best Classical Performance – Instrumental Soloist or Soloists (without orchestra),Beethoven: Piano Sonatas Nos. 12 & 13.
1147,1984.0,Best Classical Vocal Soloist Performance,Leontyne Price & Marilyn Horne In Concert At The Met.
1148,1984.0,Best Comedy Recording,Eddie Murphy: Comedian.
1149,1984.0,Best Country Instrumental Performance,Fireball.
1150,1984.0,Best Country Performance by a Duo or Group with Vocal,The Closer You Get....
1151,1984.0,"Best Country Vocal Performance, Female",A Little Good News.
1152,1984.0,"Best Country Vocal Performance, Male",I.O.U..
1153,1984.0,"Best Engineered Recording, Classical",Mahler: Symphony No. 9 In D.
1154,1984.0,"Best Engineered Recording, Non-Classical",Thriller.
1155,1984.0,Best Ethnic or Traditional Folk Recording,I'm Here.
1156,1984.0,Best Gospel Performance by a Duo or Group,More Than Wonderful.
1157,1984.0,"Best Gospel Performance, Female",Ageless Medley.
1158,1984.0,"Best Gospel Performance, Male",Walls Of Glass.
1159,1984.0,Best Historical Album,"The Greatest Recordings Of Arturo Toscanini - Symphonies, Vol. I."
1160,1984.0,Best Inspirational Performance,He's A Rebel.
1161,1984.0,Best Instrumental Arrangement Accompanying Vocal(s),What's New.
1162,1984.0,Best Instrumental Composition,Love Theme From Flashdance(various artists).
1163,1984.0,"Best Jazz Fusion Performance, Vocal or Instrumental",Travels.
1164,1984.0,"Best Jazz Instrumental Performance, Big Band",All In Good Time.
1165,1984.0,"Best Jazz Instrumental Performance, Group",At The Vanguard.
1166,1984.0,"Best Jazz Instrumental Performance, Soloist",Think Of One.
1167,1984.0,"Best Jazz Vocal Performance, Duo or Group",Why Not!.
1168,1984.0,"Best Jazz Vocal Performance, Female",The Best Is Yet To Come.
1169,1984.0,"Best Jazz Vocal Performance, Male",Top Drawer
1170,1984.0,Best Latin Pop Performance,Me Enamoré.
1171,1984.0,Best Mexican-American Performance,Anselma.
1172,1984.0,Best New Artist,Culture Club (artists)
1173,1984.0,Best New Country Song,Stranger In My House.
1174,1984.0,Best Opera Recording,Verdi: La Traviata.
1175,1984.0,Best Orchestral Recording,Mahler: Symphony No. 9 In D.
1176,1984.0,Best Pop Instrumental Performance,Being With You.
1177,1984.0,Best Pop Performance by a Duo or Group with Vocal,Every Breath You Take.
1178,1984.0,"Best Pop Vocal Performance, Female",Flashdance - What A Feeling.
1179,1984.0,"Best Pop Vocal Performance, Male",Thriller.
1180,1984.0,Best R&B Instrumental Performance,Rockit.
1181,1984.0,Best R&B Performance by a Duo or Group with Vocal,Ain't Nobody.
1182,1984.0,"Best R&B Vocal Performance, Female",Chaka Khan.
1183,1984.0,"Best R&B Vocal Performance, Male",Billie Jean.
1184,1984.0,Best Recording for Children,E.T. the Extra-Terrestrial album.
1185,1984.0,Best Rhythm & Blues Song,Billie Jean.
1186,1984.0,Best Rock Instrumental Performance,Brimstone And Treacle.
1187,1984.0,Best Rock Performance by a Duo or Group with Vocal,Synchronicity.
1188,1984.0,"Best Rock Vocal Performance, Female",Love Is A Battlefield.
1189,1984.0,"Best Rock Vocal Performance, Male",Beat It.
1190,1984.0,Best Soul Gospel Performance by a Duo or Group,I'm So Glad I'm Standing Here Today.
1191,1984.0,"Best Soul Gospel Performance, Female",We Sing Praises.
1192,1984.0,"Best Soul Gospel Performance, Male",I'll Rise Again.
1193,1984.0,Best Spoken Word or Non-musical Recording,Copland: A Lincoln Portrait.
1194,1984.0,Best Traditional Blues Recording,Blues 'N' Jazz.
1195,1984.0,Best Tropical Latin Performance,On Broadway.
1196,1984.0,Best Video Album,Duran Duran
1197,1984.0,"Best Video, Short Form",Girls On Film/Hungry Like The Wolf.
1198,1984.0,Best Vocal Arrangement for Two or More Voices,Be Bop Medley.
1199,1984.0,Classical Producer of the Year,"Marc Aubort (producer), Joanna Nickrenz (producer)"
1200,1984.0,"Producer of the Year, Non-Classical","Michael Jackson (producer), Quincy Jones (producer)"
1201,1984.0,Record of the Year,Beat It.
1202,1984.0,Song of the Year,Every Breath You Take.
1203,1985.0,Album of the Year,Can't Slow Down.
1204,1985.0,Best Album Notes,Big Band Jazz.
1205,1985.0,Best Album Package,She's So Unusual.
1206,1985.0,Best Album of Original Score Written for a Motion Picture or a Television Special,Purple Rain
1207,1985.0,Best Arrangement on an Instrumental,Grace (Gymnastics Theme).
1208,1985.0,Best Cast Show Album,Sunday In The Park With George.
1209,1985.0,Best Chamber Music Performance,Beethoven: The Late String Quartets.
1210,1985.0,Best Choral Performance (other than opera),Brahms: A German Requiem.
1211,1985.0,Best Classical Album,Amadeus.
1212,1985.0,Best Classical Orchestral Recording,Prokofiev: Symphony No. 5 In B Flat.
1213,1985.0,Best Classical Performance – Instrumental Soloist or Soloists (with orchestra),"Wynton Marsalis-Edita Gruberova-Handel, Purcell, Etc,."
1214,1985.0,Best Classical Performance – Instrumental Soloist or Soloists (without orchestra),Bach: The Unaccompanied Cello Suites.
1215,1985.0,Best Classical Vocal Soloist Performance,Ravel: Songs of Maurice Ravel.
1216,1985.0,Best Comedy Recording,Eat It.
1217,1985.0,Best Country Instrumental Performance,Wheel Hoss.
1218,1985.0,Best Country Performance by a Duo or Group with Vocal,Mama He's Crazy.
1219,1985.0,Best Country Song,City Of New Orleans.
1220,1985.0,"Best Country Vocal Performance, Female",In My Dreams.
1221,1985.0,"Best Country Vocal Performance, Male",That's The Way Love Goes.
1222,1985.0,"Best Engineered Recording, Classical","Prokofiev: Symphony No. 5 in B Flat, Op. 100."
1223,1985.0,"Best Engineered Recording, Non-Classical",17.0
1224,1985.0,Best Ethnic or Traditional Folk Recording,Elizabeth Cotten Live!.
1225,1985.0,Best Gospel Performance by a Duo or Group,Keep The Flame Burning.
1226,1985.0,"Best Gospel Performance, Female",Angels.
1227,1985.0,"Best Gospel Performance, Male",Michael W. Smith.
1228,1985.0,Best Historical Album,Big Band Jazz.
1229,1985.0,Best Inspirational Performance,Forgive Me.
1230,1985.0,Best Instrumental Arrangement Accompanying Vocal(s),Hard Habit To Break.
1231,1985.0,Best Instrumental Composition,Olympic Fanfare & Theme.
1232,1985.0,"Best Jazz Fusion Performance, Vocal or Instrumental",First Circle.
1233,1985.0,"Best Jazz Instrumental Performance, Big Band",88 Basie Street.
1234,1985.0,"Best Jazz Instrumental Performance, Group",New York Scene.
1235,1985.0,"Best Jazz Instrumental Performance, Soloist",Hot House Flowers.
1236,1985.0,Best Jazz Vocal Performance,Nothin' But The Blues.
1237,1985.0,Best Latin Pop Performance,Always In My Heart (Siempre En Mi Corazon).
1238,1985.0,Best Mexican-American Performance,Me Gustas Tal Como Eres.
1239,1985.0,"Best Music Video, Short Form",David Bowie.
1240,1985.0,Best New Artist,Cyndi Lauper (artist)
1241,1985.0,Best New Classical Composition,Barber: Antony And Cleopatra.
1242,1985.0,Best Opera Recording,Bizet: Carmen.
1243,1985.0,Best Pop Instrumental Performance,Ghostbusters (Instrumental).
1244,1985.0,Best Pop Performance by a Duo or Group with Vocal,Jump (For My Love).
1245,1985.0,"Best Pop Vocal Performance, Female",What's Love Got To Do With It.
1246,1985.0,"Best Pop Vocal Performance, Male",Against All Odds (Take A Look At Me Now).
1247,1985.0,Best R&B Instrumental Performance,Sound System.
1248,1985.0,Best R&B Performance by a Duo or Group with Vocal,Yah Mo B There.
1249,1985.0,"Best R&B Vocal Performance, Female",I Feel For You.
1250,1985.0,"Best R&B Vocal Performance, Male",Caribbean Queen (No More Love On The Run).
1251,1985.0,Best Recording for Children,Where The Sidewalk Ends.
1252,1985.0,Best Reggae Recording,Anthem.
1253,1985.0,Best Rhythm & Blues Song,I Feel For You.
1254,1985.0,Best Rock Instrumental Performance,Cinema.
1255,1985.0,Best Rock Performance by a Duo or Group with Vocal,Purple Rain - Music From The Motion Picture.
1256,1985.0,"Best Rock Vocal Performance, Female",Better Be Good To Me.
1257,1985.0,"Best Rock Vocal Performance, Male",Dancing In The Dark.
1258,1985.0,Best Soul Gospel Performance by a Duo or Group,Sailin' On The Sea Of Your Love.
1259,1985.0,"Best Soul Gospel Performance, Female",Sailin'.
1260,1985.0,"Best Soul Gospel Performance, Male",Always Remember.
1261,1985.0,Best Spoken Word Album,The Words Of Gandhi.
1262,1985.0,Best Traditional Blues Recording,Blues Explosion.
1263,1985.0,Best Tropical Latin Performance,Palo Pa Rumba.
1264,1985.0,Best Video Album,Michael Jackson: Thriller
1265,1985.0,Best Vocal Arrangement for Two or More Voices,Automatic.
1266,1985.0,Classical Producer Of The Year,Steven Epstein (producer)
1267,1985.0,"Producer of the Year, Non-Classical","Lionel Richie (producer), James Anthony Carmichael (producer), David Foster (producer)"
1268,1985.0,Record of the Year,What's Love Got To Do With It.
1269,1985.0,Song of the Year,What's Love Got To Do With It.
1270,1986.0,Album of the Year,No Jacket Required.
1271,1986.0,Best Album Notes,"Sam Cooke Live At The Harlem Square Club, 1963."
1272,1986.0,Best Album Of Original Score Written For A Motion Picture Or A Television Special,Beverly Hills Cop (various artists).
1273,1986.0,Best Album Package,Lush Life.
1274,1986.0,Best Album of Original Score Written for a Motion Picture or Television Special,Beverly Hills Cop
1275,1986.0,Best Arrangement on an Instrumental,Early A.M. Attitude.
1276,1986.0,Best Cast Show Album,West Side Story.
1277,1986.0,Best Chamber Music Performance,Brahms: Cello And Piano Sonatas In E Minor And F.
1278,1986.0,Best Choral Performance (other than opera),Berlioz: Requiem.
1279,1986.0,Best Classical Album,Berlioz: Requiem.
1280,1986.0,Best Classical Orchestral Recording,Faure: Pelleas Et Melisande.
1281,1986.0,Best Classical Performance - Instrumental Soloist or Soloists (with or without orchestra),"Elgar: Cello Concerto, Op. 85/Walton: Concerto For Cello & Orch."
1282,1986.0,Best Classical Performance - Instrumental Soloist or Soloists (without orchestra),Ravel: Gaspard De La Nuit; Pavane Pour Une Infante Defunte; Valses Nobles Et Sentimentales.
1283,1986.0,Best Classical Vocal Soloist Performance,Berlioz: Requiem.
1284,1986.0,Best Comedy Recording,Whoopi Goldberg Original Broadway Show Record
1285,1986.0,Best Contemporary Composition,Lloyd Webber: Requiem.
1286,1986.0,"Best Country Instrumental Performance (orchestra, group or soloist)",Cosmic Square Dance.
1287,1986.0,Best Country Performance by a Duo or Group with Vocal,Why Not Me.
1288,1986.0,Best Country Song,The Highwayman
1289,1986.0,"Best Country Vocal Performance, Female",I Don't Know Why You Don't Want Me.
1290,1986.0,"Best Country Vocal Performance, Male",Lost In The Fifties Tonight (In The Still Of The Night).
1291,1986.0,"Best Engineered Recording, Classical",Berlioz: Requiem.
1292,1986.0,"Best Engineered Recording, Non-Classical",Brothers In Arms.
1293,1986.0,Best Ethnic or Traditional Folk Recording,My Toot Toot.
1294,1986.0,"Best Gospel Performance by a Duo or Group, Choir or Chorus",I've Just Seen Jesus.
1295,1986.0,"Best Gospel Performance, Female",Unguarded.
1296,1986.0,"Best Gospel Performance, Male",How Excellent Is Thy Name.
1297,1986.0,Best Historical Album,RCA/Met - 100 Singers - 100 Years (various artists).
1298,1986.0,Best Inspirational Performance,Come Sunday.
1299,1986.0,Best Instrumental Arrangement Accompanying Vocals,Lush Life.
1300,1986.0,Best Instrumental Composition,Miami Vice Theme.
1301,1986.0,"Best Jazz Fusion Performance, Vocal or Instrumental",Straight To The Heart.
1302,1986.0,"Best Jazz Instrumental Performance, Big Band",The Cotton Club - Original Motion Picture Soundtrack.
1303,1986.0,"Best Jazz Instrumental Performance, Group",Black Codes From The Underground.
1304,1986.0,"Best Jazz Instrumental Performance, Soloist",Black Codes From The Underground.
1305,1986.0,"Best Jazz Vocal Performance, Duo or Group",Vocalese.
1306,1986.0,"Best Jazz Vocal Performance, Female",Cleo At Carnegie - The 10th Anniversary Concert.
1307,1986.0,"Best Jazz Vocal Performance, Male",Another Night In Tunisia.
1308,1986.0,Best Latin Pop Performance,Es Fácil Amar.
1309,1986.0,Best Mexican-American Performance,Simplemente Mujer.
1310,1986.0,"Best Music Video, Long Form",Huey Lewis & The News - The Heart Of Rock 'n' Roll.
1311,1986.0,"Best Music Video, Short Form",We Are The World - The Video Event. The artist USA for Africa did not receive a Grammy Award for this win.
1312,1986.0,Best New Artist,Sade (artist)
1313,1986.0,Best New Classical Artist,Stravinsky: L' Histoire Du Soldat (The Soldier's Tale - Suite) - (also) - Walton: Façade (An Instrumental Suite In The Original Scoring).
1314,1986.0,Best Opera Recording,Schoenberg: Moses Und Aron.
1315,1986.0,Best Polka Recording,70 Years Of Hits.
1316,1986.0,"Best Pop Instrumental Performance, (Orchestra, Group or Soloist)",Miami Vice Theme.
1317,1986.0,Best Pop Performance by a Duo or Group with Vocals,We Are the World. The artist USA for Africa did not receive a Grammy Award for this win.
1318,1986.0,"Best Pop Vocal Performance, Female",Saving All My Love For You.
1319,1986.0,"Best Pop Vocal Performance, Male",No Jacket Required.
1320,1986.0,"Best R&B Instrumental Performance (Orchestra, Group or Soloist)",Musician.
1321,1986.0,Best R&B Performance by a Duo or Group with Vocal,Nightshift.
1322,1986.0,"Best R&B Vocal Performance, Female",Freeway Of Love.
1323,1986.0,"Best R&B Vocal Performance, Male",In Square Circle.
1324,1986.0,Best Recording for Children,Follow That Bird - Original Motion Picture Soundtrack.
1325,1986.0,Best Reggae Recording,Cliff Hanger.
1326,1986.0,Best Rhythm & Blues Song,Freeway Of Love.
1327,1986.0,"Best Rock Instrumental Performance (Orchestra, Group or Soloist)",Escape.
1328,1986.0,Best Rock Performance by a Duo or Group with Vocal,Money for Nothing.
1329,1986.0,"Best Rock Vocal Performance, Female",One Of The Living.
1330,1986.0,"Best Rock Vocal Performance, Male",The Boys Of Summer.
