id,Rank,Name,Profession,Sector,Age,Influence,Reach,Twitter Followers,Picture
82,82.0,Maya Rupert,Campaign Manager for Julian Castro,Politics,38.0,140.1,8.17,16422.0,https://gawker-media-ressh.cloudinary.com/image/upload/v1567704267/The%20Root%20100%202019/maya.rupert.jpg
83,83.0,Brandi Collins-Dexter,Senior Campaign Director of Color of Change,Community,38.0,139.0,6.11,1350.0,https://gawker-media-ressh.cloudinary.com/image/upload/v1569427157/brandi.collins-dexter2_fhflle.jpg
84,84.0,Dantley Davis,Vice President of Design and Research at Twitter,STEM,42.0,138.8,8.02,7451.0,https://gawker-media-ressh.cloudinary.com/image/upload/v1567704268/The%20Root%20100%202019/dantley.davis.jpg
85,85.0,Meghan Markle,Duchess of Sussex,Community,38.0,138.7,8.01,0.0,https://gawker-media-ressh.cloudinary.com/image/upload/v1567704273/The%20Root%20100%202019/meghan.markle.jpg
86,86.0,Kamilah Forbes,Executive Producer of the Apollo Theatre,Arts,43.0,138.4,7.97,1596.0,https://gawker-media-ressh.cloudinary.com/image/upload/v1567704272/The%20Root%20100%202019/kamilah.forbes.jpg
87,87.0,Chaédria LaBouvier,"Journalist, Curator",Arts,34.0,137.4,7.87,7006.0,https://gawker-media-ressh.cloudinary.com/image/upload/v1567704270/The%20Root%20100%202019/chaedria.labouvier.jpg
88,88.0,Diamond Stingily,"Artist, Poet",Arts,29.0,135.4,7.64,565.0,https://gawker-media-ressh.cloudinary.com/image/upload/v1567704273/The%20Root%20100%202019/diamond.stingily.jpg
89,89.0,Alexandra Bell,Multimedia Artist,Arts,36.0,135.1,8.53,1862.0,https://gawker-media-ressh.cloudinary.com/image/upload/v1569528529/Alexandra-Bell-2_qvopge.jpg
90,90.0,Denise Woodard,Founder of Partake Foods,Business,36.0,135.0,7.59,523.0,https://gawker-media-ressh.cloudinary.com/image/upload/v1567704266/The%20Root%20100%202019/denise.woodard.jpg
91,91.0,Jarrid Tingle,"Venture Capitalist, Entrepreneur",Business,27.0,129.7,5.93,0.0,https://gawker-media-ressh.cloudinary.com/image/upload/v1567704268/The%20Root%20100%202019/jarrid.tingle.jpg
92,92.0,Naomi Washington-Leapheart,Faith Work Director at the National LGBTQ Task Force,Community,37.0,128.7,5.83,1140.0,https://gawker-media-ressh.cloudinary.com/image/upload/v1567704269/The%20Root%20100%202019/naomi.washington-leapheart.jpg
93,93.0,Marcus Bullock,"App Developer, Entrepreneur",Community,39.0,122.8,7.05,790.0,https://gawker-media-ressh.cloudinary.com/image/upload/v1567704269/The%20Root%20100%202019/marcus.bullock.jpg
94,94.0,Kiki Ayers,Publicist,Business,29.0,122.2,7.41,21111.0,https://gawker-media-ressh.cloudinary.com/image/upload/v1567704267/The%20Root%20100%202019/kiki.ayers.jpg
95,95.0,Raniyah Coperland,CEO of Black AIDS Institute,Community,34.0,120.5,6.05,106.0,https://gawker-media-ressh.cloudinary.com/image/upload/v1567704266/The%20Root%20100%202019/Raniyah.Copeland.jpg
96,96.0,Delano Dunn,Visual Artist,Arts,41.0,119.3,5.93,135.0,https://gawker-media-ressh.cloudinary.com/image/upload/v1567704274/The%20Root%20100%202019/delano.dunn.jpg
97,97.0,Dorian Burton,Assistant Executive Director at William R Kenan Jr. Charitable Trust,Community,37.0,117.8,5.76,1962.0,https://gawker-media-ressh.cloudinary.com/image/upload/v1567704276/The%20Root%20100%202019/dorian.burton.jpg
98,98.0,William Tarpeh,Professor,STEM,28.0,111.5,3.43,1019.0,https://gawker-media-ressh.cloudinary.com/image/upload/v1567704276/The%20Root%20100%202019/william.tarpeh.jpg
99,99.0,Brooke Obie,Managing Editor at Shadow & Act,Media,33.0,114.9,6.18,6388.0,https://gawker-media-ressh.cloudinary.com/image/upload/v1567704267/The%20Root%20100%202019/brooke.obie.jpg
