ID,Name,Coordinates
CO,Colorado,489.6323 333.45049;490.02056 352.47486;485.36153 352.66898999999995;461.67813 353.5425599999999;459.34861 353.63965999999994;457.40735 353.73675999999995;428.5796 355.58095999999995;409.3611 357.1339699999999;385.38651000000004 359.4634899999999;383.057 359.7546799999999;382.76581000000004 357.2310299999999;377.52440000000007 306.6611499999999;375.68020000000007 288.99565999999993;374.9037000000001 281.32766999999996;374.7095700000001 278.80402999999995;377.7185300000001 278.51284;426.6383400000001 274.24206999999996;448.18635000000006 272.88318;469.63730000000004 271.91254999999995;472.74332000000004 271.81544999999994;474.68458000000004 271.71834999999993;478.76123 271.6212499999999;480.7025 271.5241499999999;486.81746999999996 271.33001999999993;488.37047999999993 271.33001999999993;488.37047999999993 273.2712899999999;489.43817999999993 324.6176799999999;489.53527999999994 330.3443999999999;489.53527999999994 332.1885999999999;489.63237999999996 333.4504199999999
NV,Nevada,294.82662 293.1693;304.92118999999997 355.96913;310.06552999999997 387.41759;310.64790999999997 390.52360000000004;307.83308 391.00892000000005;296.86495 393.04725;269.39608000000004 398.48278000000005;266.67832000000004 399.06516000000005;263.96055000000007 399.64754000000005;250.27465000000007 402.6564900000001;225.71768000000006 408.48028000000005;222.99991000000006 409.15972000000005;222.12634000000006 405.47133;208.92576000000005 349.46591;220.37921000000006 332.96517;232.22091000000006 316.56151;253.18654000000006 286.47194;268.23133000000007 265.31218;275.99638000000004 254.92643;278.52002000000005 251.52922;278.52002000000005 251.82041;280.07303 255.12055;280.17013000000003 270.55359;284.44091000000003 274.14492;287.83812 271.13597;290.07057 271.03887;294.34135 289.86911999999995;294.34135 290.0632499999999;294.82666 293.1692699999999
NM,New Mexico,472.45213 264.24449;472.54923 266.76813;472.64633000000003 269.29177;472.74343000000005 271.81541;469.63741000000005 271.91251;448.18646000000007 272.88314;426.6384500000001 274.24203;377.7186400000001 278.5128;374.7096800000001 278.80399;374.3214300000001 275.30971999999997;367.0416900000001 200.18286999999998;366.3622500000001 193.09725999999998;363.6444800000001 164.46363999999997;364.0327400000001 164.36653999999996;377.4274500000001 163.10470999999995;378.6892700000001 169.89912999999996;381.1158500000001 171.84039999999996;408.29352000000006 169.41381999999996;408.48765000000003 169.41381999999996;406.06107000000003 174.16990999999996;418.38808 173.29633999999996;449.15709 171.54920999999996;468.37559 170.67563999999996;471.67573999999996 261.72083999999995;472.35517999999996 261.62373999999994;472.45228 264.2444499999999
OR,Oregon,162.2384 426.24283;177.67144000000002 421.58380000000005;219.21445000000003 410.13036000000005;222.99991000000003 409.15972000000005;225.71768000000003 408.48028000000005;250.27465000000004 402.6564900000001;263.96055 399.64754000000005;266.67832 399.06516000000005;267.06657 401.10348000000005;276.28757 439.34635000000003;273.66686000000004 445.55839000000003;273.95805 447.98497000000003;284.05262 461.18556;288.80871 473.12432;285.50856000000005 476.71566;285.41146000000003 478.55985000000004;285.41146000000003 478.65695000000005;283.56726000000003 479.0452000000001;256.29252 485.2572400000001;254.83658000000003 484.5778000000001;249.49810000000002 485.45137000000005;238.72410000000002 484.28661000000005;232.12381000000002 485.16018;225.13526000000002 485.25728000000004;224.55288000000002 487.00442000000004;209.79929 488.36330000000004;204.55788 491.17813;203.87844 493.02233;204.46082 500.30206400000003;200.96654 504.087525;200.67536 503.99046500000003;199.99591 503.50515;195.14276 506.028791;192.23086 505.15522300000003;190.2896 506.12585400000006;188.25128 497.7784250000001;186.89239 495.44891100000007;180.87448 480.7923800000001;179.12734 472.7361400000001;178.05965 472.6390400000001;172.42999 459.2443300000001;168.64453 453.5176100000001;167.28564 452.5469800000001;163.79137 445.7525600000001;163.11193 438.5698900000001;160.97654 432.1637200000001;162.23836 426.3399400000001;162.23836 426.2428400000001|197.76346 505.9316650000001;197.47227 506.8052330000001;197.37517 506.1257910000001;197.76342 505.9316650000001
UT,Utah,352.38505 384.02038;327.34277 387.80584;313.36568 390.03828999999996;310.64791 390.5236;310.06553 387.41758999999996;304.92119 355.96912999999995;294.82662000000005 293.16929999999996;294.34131 290.06327999999996;296.86495 289.67501999999996;321.90723 285.69543999999996;339.47566 283.17179;372.18593 279.09514;374.70957 278.80395000000004;374.90369999999996 281.32759000000004;375.68019999999996 288.99558;377.52439999999996 306.66107;382.76580999999993 357.23095;383.0569999999999 359.7546;381.1157399999999 359.94872;356.3646399999999 362.95768;352.5791799999999 363.44299;355.0057599999999 382.3703;355.1998799999999 383.63212;352.3850499999999 384.02038
WY,Wyoming,461.38694 396.83271;462.16344 411.97455;463.13407 432.35781000000003;463.23117 434.88145000000003;461.96935 434.97855000000004;437.02413 436.4345;423.04704000000004 437.59926;396.54881000000006 440.1229;363.3532200000001 444.19955;361.9943400000001 434.68736;361.89724000000007 434.10499;361.50899000000004 430.9019;359.76185000000004 418.38076;356.46170000000006 393.14435000000003;355.5881300000001 386.83525000000003;355.19988000000006 383.63216000000006;355.00576000000007 382.37034000000006;352.57918000000006 363.4430300000001;356.36464000000007 362.95772000000005;381.1157400000001 359.94876000000005;383.0570000000001 359.75464000000005;385.3865100000001 359.4634500000001;409.3611000000001 357.1339300000001;428.5796000000001 355.5809200000001;457.40735000000006 353.7367200000001;459.34861000000006 353.6396200000001;459.4457100000001 356.1632600000001;459.9310300000001 366.35489000000007;460.80460000000005 384.11744000000004;461.1928500000001 391.68836000000005;461.2899500000001 394.21200000000005;461.3870500000001 396.83271
AR,Arkansas,690.4559 260.94434;679.9730800000001 259.39133000000004;684.24386 266.18575000000004;682.39966 269.97121000000004;645.4186100000001 266.37987000000004;614.16429 263.85623000000004;609.6023200000001 263.56504000000007;610.1847 260.84728000000007;613.97016 241.24053000000006;614.0672599999999 236.87269000000006;615.1349599999999 210.47152000000006;615.2320599999998 206.10368000000005;615.5232499999998 206.00658000000004;616.9791999999999 204.45357000000004;622.8029799999999 204.64770000000004;623.3853599999999 196.10615000000004;623.5794899999999 193.67957000000004;626.5884499999999 193.97076000000004;635.8094399999999 194.65020000000004;672.4022399999999 198.04741000000004;672.5963599999999 198.04741000000004;672.4992599999999 200.18280000000004;673.46989 200.86224000000004;671.72276 204.16238000000004;675.41116 219.69248000000005;673.95521 221.43962000000005;679.48781 227.55460000000005;679.09955 232.79600000000005;683.1762 239.59042000000005;683.1762 239.68752000000006;682.98208 239.88164000000006;686.47635 243.08473000000006;685.50572 246.96725000000006;688.22349 251.23803000000007;687.64111 255.21762000000007;690.553 260.84728000000007;690.553 260.9443800000001;690.4559 260.9443800000001
IA,Iowa,661.53109 391.30011;656.1926199999999 394.11494;653.28072 398.09452999999996;652.31009 403.82124999999996;653.0866 406.44195999999994;650.27177 409.8391699999999;650.27177 409.8391699999999;645.51567 409.3538499999999;597.76062 405.37425999999994;578.63918 404.3065699999999;573.78603 404.01537999999994;571.7477 403.9182799999999;573.39778 393.14426999999995;572.03889 387.99992;574.1742800000001 384.79684;574.1742800000001 384.1174;574.8537200000001 384.02029999999996;577.95974 374.89635999999996;580.9687 370.14027;581.16283 364.70473;584.46297 360.14277;583.8805900000001 358.20151;586.8895500000001 345.97155;586.8895500000001 345.68036;586.8895500000001 345.68036;606.78749 346.26274;628.04431 348.10694;648.91288 350.72765;653.6689799999999 346.55393;653.8630999999999 346.35981;654.7366699999999 346.74806;654.0572299999999 350.53352;657.6485599999999 352.76597000000004;659.1045099999999 362.66641000000004;657.6485599999999 363.34585000000004;658.5221299999998 368.39313000000004;662.8899699999998 369.2667;667.7431299999998 372.76097000000004;669.8785199999999 378.87595000000005;669.9756199999998 381.98197000000005;666.0930999999998 385.67037000000005;664.9283399999998 387.9998800000001;661.2399399999998 390.3294000000001;661.4340699999998 390.8147100000001;661.5311699999997 391.3000300000001
KS,Kansas,608.92288 276.28031;606.4963 317.33801;602.12846 319.86165;601.74021 321.80292;598.24593 324.90894;601.64314 329.08264999999994;600.28426 331.50922999999995;597.76062 331.41212999999993;595.4311 333.06220999999994;594.46047 333.83870999999994;591.1603299999999 333.64458999999994;555.34404 332.28569999999996;538.9403699999999 331.89744999999994;506.32715999999994 331.89744999999994;493.22363999999993 332.0915799999999;489.53523999999993 332.1886799999999;489.53523999999993 330.3444799999999;489.4381399999999 324.6177599999999;488.3704399999999 273.27136999999993;488.3704399999999 271.33009999999996;492.5441599999999 271.23299999999995;515.0627999999999 270.94181;567.7680799999999 271.71831999999995;605.3314999999999 273.46545;609.0198999999999 273.75663999999995;608.9227999999999 276.28027999999995
MO,Missouri,653.66898 346.55401;648.9128800000001 350.72773;628.0443100000001 348.10702000000003;606.7874900000002 346.26282000000003;586.8895500000002 345.68044000000003;586.8895500000002 345.68044000000003;586.7924500000003 345.09806000000003;589.2190200000002 340.43903000000006;591.4514800000002 338.88603000000006;594.0721800000002 334.2270000000001;594.4604300000002 333.8387400000001;595.4310600000002 333.0622400000001;597.7605800000002 331.4121600000001;600.2842200000002 331.5092600000001;601.6431000000002 329.0826800000001;598.2458900000003 324.90897000000007;601.7401700000003 321.80295000000007;602.1284200000002 319.8616800000001;606.4962600000002 317.3380400000001;608.9228400000002 276.2803400000001;609.0199400000001 273.7567000000001;609.2140700000001 271.2330600000001;609.3111700000001 268.7094200000001;609.5053 266.0887200000001;609.6024 263.5650700000001;614.16437 263.8562600000001;645.41869 266.3799000000001;682.39974 269.9712400000001;684.24394 266.1857800000001;679.97316 259.3913600000001;690.45598 260.94437000000005;690.5530799999999 260.94437000000005;690.5530799999999 261.72087000000005;690.7472099999999 266.18578;692.6884699999999 268.61236;692.10609 271.33012;692.00899 271.42722000000003;691.9118900000001 271.52432000000005;692.30014 272.78614000000005;692.88252 272.5920100000001;693.17371 271.8155100000001;693.0766100000001 271.5243200000001;693.0766100000001 271.4272200000001;693.0766100000001 270.6507100000001;693.46487 270.5536100000001;694.2413700000001 271.52424000000013;694.2413700000001 271.62134000000015;694.33847 271.9125300000001;696.86211 273.4655400000001;697.25037 273.65967000000006;698.12394 281.6188400000001;697.92981 282.0071000000001;697.63862 282.1042000000001;690.74714 287.7338600000001;691.8148299999999 289.7721900000001;689.8735699999999 295.3047800000001;686.3792999999998 298.0225500000001;679.7790099999999 300.9344500000001;675.6052899999999 304.3316500000001;676.0906099999999 311.32020000000006;677.3524299999998 317.82343000000003;670.3638799999998 317.43518;668.2284899999997 319.66763000000003;667.2578599999997 324.13253000000003;656.1926699999997 333.45059000000003;653.0866499999997 342.08921000000004;653.8631499999998 346.35999000000004;653.8631499999998 346.35999000000004;653.6690299999998 346.55411000000004
NE,Nebraska,572.33008 384.31156999999996;569.3211299999999 387.32052;558.7412499999999 390.42654;555.34404 390.52364;550.1996899999999 389.0677;544.08471 392.95022;524.9632799999999 392.7561;497.10615999999993 393.04729;464.20176999999995 394.11498;461.28986999999995 394.21208;461.19276999999994 391.68844;460.8045199999999 384.11752;459.93094999999994 366.35497000000004;459.44562999999994 356.16334000000006;459.3485299999999 353.63970000000006;461.6780499999999 353.54260000000005;485.36144999999993 352.6690300000001;490.0204799999999 352.4749000000001;489.6322199999999 333.45053000000013;489.5351199999999 332.1887100000001;493.2235199999999 332.0916100000001;506.3270399999999 331.89748000000014;538.9402499999999 331.89748000000014;555.3439199999999 332.28573000000017;591.1602099999999 333.64462000000015;594.46035 333.83874000000014;594.0721 334.22700000000015;591.4513999999999 338.8860300000001;589.21894 340.4390300000001;586.79237 345.0980600000001;586.88947 345.6804400000001;586.88947 345.97163000000006;583.88051 358.20159000000007;584.4628899999999 360.14285000000007;581.1627499999998 364.70481000000007;580.9686199999999 370.14035000000007;577.9596599999999 374.8964400000001;574.8536399999999 384.0203800000001;574.1741999999999 384.1174800000001;572.3299999999999 384.3116100000001
OK,Oklahoma,609.50526 266.08869;609.31113 268.70939;609.2140300000001 271.23303;609.0199000000001 273.75667;605.3315000000001 273.46548;567.7680800000002 271.71835;515.0628000000002 270.94184;492.54416000000015 271.23303;488.37044000000014 271.33013;486.8174300000002 271.33013;480.7024600000002 271.52425999999997;478.7611900000002 271.62136;474.68454000000025 271.71846;472.74328000000025 271.81556;472.64618000000024 269.29192;472.54908000000023 266.76828;472.4519800000002 264.24464;472.3548800000002 261.62393000000003;472.9372600000002 261.62393000000003;496.4265300000002 261.04155000000003;521.2746900000002 260.75036000000006;521.5658800000002 227.55478000000005;523.3130200000002 221.73099000000005;527.1955400000002 218.04259000000005;531.3692600000002 217.84846000000005;532.2428200000002 219.59560000000005;537.9695500000001 214.35419000000005;545.4434100000001 213.57769000000005;546.8022900000001 212.02468000000005;549.5200600000001 213.28650000000005;556.31448 210.08341000000004;556.31448 208.23922000000005;558.83812 208.33632000000006;561.4588200000001 210.56877000000006;566.3119800000001 207.46275000000006;570.87395 205.81268000000006;573.97996 210.08345000000006;583.8804 205.42443000000006;587.5688 208.43338000000006;590.57776 209.59814000000006;593.00434 209.01576000000006;602.1282699999999 211.63646000000006;606.9814299999999 209.59814000000006;611.3492699999999 206.78331000000006;615.1347299999999 206.10387000000006;615.2318299999998 206.10387000000006;615.1347299999999 210.47171000000006;614.0670299999999 236.87288000000007;613.96993 241.24072000000007;610.18447 260.84747000000004;609.6020900000001 263.56523000000004;609.5049900000001 266.08888
SD,South Dakota,566.89455 453.42051000000004;550.49088 452.93519000000003;510.98618999999997 452.64400000000006;468.18134999999995 453.80876000000006;464.39588999999995 454.00289000000004;464.29878999999994 451.77043000000003;463.9105399999999 442.93769000000003;463.61934999999994 436.24033000000003;463.52224999999993 434.88145000000003;463.23105999999996 434.88145000000003;463.13395999999995 432.35781000000003;462.1633299999999 411.97455;461.3868299999999 396.83271;461.2897299999999 394.21200000000005;464.2016299999999 394.11490000000003;497.1060199999999 393.04721;524.9631399999998 392.75602000000003;544.0845699999999 392.95014000000003;550.1995499999998 389.06762000000003;555.3438999999998 390.52356000000003;558.7411099999998 390.42646;569.3209899999998 387.32044;572.3299399999999 384.31149;574.1741399999999 384.11736;574.1741399999999 384.7968;572.0387499999998 387.99988;573.3976399999998 393.14423;571.7475599999998 403.91823999999997;573.7858899999998 404.01534;573.5917599999998 408.48024;568.7386099999998 442.64646;566.2149699999998 446.91724;570.0974899999998 453.3234;570.1945899999997 453.61458999999996;566.8944499999997 453.42046999999997
LA,Louisiana,688.99995 119.71749999999997;687.7381300000001 119.42630999999997;687.1557500000001 118.84392999999997;688.9999500000001 119.71749999999997|693.0766000000001 119.71749999999997;692.3971600000001 120.00868999999997;692.2030400000001 119.71749999999997;693.0766000000001 119.71749999999997|695.4061200000001 120.49400999999997;694.7266800000001 120.49400999999997;694.3384200000002 120.00868999999997;695.4061200000001 120.49400999999997|694.2413600000001 121.17344999999997;694.0472300000001 121.46463999999997;693.9501300000002 121.17344999999997;694.2413200000002 121.17344999999997|702.0063700000002 126.31778999999997;701.7151800000001 126.12366999999998;702.2005000000001 126.12366999999998;702.0063700000002 126.31778999999997|715.5952100000002 132.04451999999998;716.1775900000001 132.82101999999998;715.4981400000001 131.94744999999998;715.5952400000001 132.04455|717.5365000000002 134.56819;717.3423700000002 134.47108999999998;717.3423700000002 134.37398999999996;717.5365000000002 134.56811999999996|667.6460600000001 126.02655999999996;669.1020000000002 127.87075999999996;665.1224100000002 128.93845999999996;663.3752800000002 127.48250999999996;667.6460600000001 126.02655999999996|707.9272500000002 134.47104999999996;707.5390000000002 134.85930999999997;707.4419000000003 134.66517999999996;707.9272200000003 134.47104999999996|708.9949100000002 136.21818999999996;708.0242800000002 136.50937999999996;708.3154700000002 135.53874999999996;708.9949100000002 136.21818999999996|716.9540900000002 137.86825999999996;716.9540900000002 138.15944999999996;716.9540900000002 138.06234999999995;716.9540900000002 137.86821999999995|718.8953500000002 139.13003999999995;718.7982500000003 139.22713999999996;718.8953500000002 139.03300999999996;718.8953500000002 139.13010999999997|718.1188500000002 139.32423999999997;717.9247200000002 139.42134;717.8276200000003 139.13015;718.1188100000003 139.32428|711.3243900000003 139.61547;712.1979600000003 139.90666;712.1979600000003 140.19785;711.3243900000003 139.61547|711.8097100000003 140.10079;712.2950200000004 140.5861;712.1979200000004 140.6832;711.8096700000004 140.10083|708.4124600000005 143.69216;708.2183300000005 143.49803;708.3154300000004 143.49803;708.4125300000004 143.69216|672.5962300000004 198.04751;672.4021100000004 198.04751;635.8093100000004 194.6503;626.5883200000004 193.97086;623.5793600000004 193.67967;623.6764600000004 191.35014999999999;625.6177200000004 172.61696999999998;628.8208100000004 168.15206999999998;628.9179100000003 165.53135999999998;632.0239300000003 160.09582999999998;634.5475700000003 152.13664999999997;633.6740000000003 147.67174999999997;632.9945600000003 136.60654999999997;631.5386200000003 133.01521999999997;631.7327400000003 133.01521999999997;632.0239300000003 130.49157999999997;630.3738600000003 128.16205999999997;642.4096800000002 129.52094999999997;651.8248100000002 126.90023999999997;658.5221600000002 126.02666999999997;661.9193700000002 128.45324999999997;660.0751700000002 130.87982999999997;666.2872100000002 132.82108999999997;666.0930900000002 130.68569999999997;669.2961700000002 131.46220999999997;671.9168700000002 127.38555999999997;674.1493200000002 128.16205999999997;679.9731100000002 124.18246999999997;676.3817800000003 122.92064999999997;684.6321400000003 120.49407999999997;687.7381600000002 120.49407999999997;689.5823600000002 122.72652999999997;693.5619500000003 124.86191999999997;696.3767800000003 120.78525999999997;698.3180400000003 124.47365999999997;697.7356600000004 130.29744999999997;702.9770700000004 128.25911999999997;703.5594500000003 126.51198999999997;709.7714900000003 125.73547999999997;712.8775100000003 123.21183999999997;712.4892600000003 121.17351999999997;716.8571000000003 125.25016999999997;715.2070200000003 127.38555999999997;707.9272900000003 129.22975999999997;705.2095200000003 130.78276999999997;705.1124200000004 133.69465999999997;708.1213800000004 133.30640999999997;710.4508900000004 138.06249999999997;707.4419300000004 142.23620999999997;705.7918600000004 138.25662999999997;702.0064000000004 138.93606999999997;704.6271000000005 143.20684999999997;702.8799700000005 143.69215999999997;698.6091900000006 140.68319999999997;692.4942100000006 140.29494999999997;690.7470800000007 141.65383999999997;693.5619100000007 146.60404999999997;696.8620500000007 146.70114999999998;702.4917200000008 144.85694999999998;706.5683700000008 144.46869999999998;706.5683700000008 144.46869999999998;704.3359200000008 147.28352999999998;700.0651400000008 155.63094999999998;701.2299000000008 160.28997999999999;667.7431200000009 156.60159;669.0049400000008 157.86341;667.6460600000008 161.35768;669.6843800000008 164.36664;670.8491400000008 171.93756;678.2259400000008 184.55576;674.6346000000009 188.9236;674.8287300000009 192.12669;672.5962700000009 197.3681;672.5962700000009 198.04754
TX,Texas,573.98015 52.06451000000004;569.3211299999999 69.63293000000004;569.3211299999999 66.33278000000004;573.98015 52.06451000000004|572.91246 82.93058000000005;569.61231 76.71854000000005;569.22406 74.68021000000005;572.91246 82.93058000000005|575.5331600000001 87.49254000000005;578.63918 91.56920000000005;576.40673 90.21031000000005;575.5331600000001 87.49254000000005|586.5013 97.39298000000005;579.2215600000001 93.60752000000005;581.25989 93.99577000000005;586.5013 97.39298000000005|587.47193 98.75187000000005;589.51025 100.40194000000005;588.73375 100.20781000000005;587.47193 98.75187000000005|472.35507000000007 261.62378000000007;471.67563000000007 261.7208800000001;468.3754800000001 170.67568000000009;449.1569800000001 171.5492500000001;418.3879700000001 173.29638000000008;406.06096000000014 174.16995000000009;408.48754000000014 169.41386000000008;408.58464000000015 169.31676000000007;419.06746000000015 158.83395000000007;425.0853700000001 151.74834000000007;433.0445400000001 145.82749000000007;438.6742100000001 135.53880000000007;440.80959000000007 124.76479000000006;445.37156000000004 121.75584000000006;448.96290000000005 117.77625000000006;454.10724000000005 115.93205000000006;461.58110000000005 111.17596000000006;464.97831 109.91413000000006;469.63734 114.57316000000006;471.09328999999997 119.52338000000006;473.51986999999997 124.27948000000006;481.09078999999997 127.28843000000006;484.00268 125.83249000000006;492.44716999999997 125.15304000000006;500.11515999999995 120.39695000000006;505.3565699999999 119.42632000000006;503.90061999999995 116.70855000000006;506.90957999999995 114.76729000000006;509.7244099999999 111.37008000000006;510.3067899999999 107.77875000000006;512.1509899999999 105.35217000000006;516.4217599999998 95.06348000000006;520.6925399999998 91.47214000000005;523.9926899999998 86.03661000000005;528.1663999999998 81.76583000000005;530.0105999999998 81.18345000000005;531.5636099999998 70.11826000000005;536.1255799999998 67.59461000000005;536.3196999999998 64.10034000000005;537.4844599999998 64.39153000000005;545.4436399999997 54.685220000000044;549.4232299999998 53.81165000000004;554.4705099999998 50.80269000000004;562.2355599999997 50.80269000000004;567.8652199999997 47.69668000000004;574.5625699999997 49.15262000000004;571.5536199999997 51.96745000000004;568.8358499999997 60.120750000000044;567.7681599999997 67.20636000000005;566.2151499999998 69.53588000000005;566.8945899999998 74.29197000000005;564.8562599999998 74.48610000000005;562.1384899999998 78.95100000000005;565.2445099999998 75.65085000000005;568.8358499999997 76.91267000000005;570.7771099999998 82.05702000000005;566.8945899999998 87.29843000000005;572.7183699999998 86.61899000000005;575.4361399999998 90.79270000000005;575.0478899999998 92.24865000000005;577.4744699999998 95.45173000000005;576.8920899999998 92.63690000000005;579.6098599999998 94.77229000000005;578.5421599999999 98.55775000000006;582.0364299999999 96.71355000000005;586.5013399999999 99.23719000000006;582.1334999999999 103.79916000000006;584.8512599999999 102.73146000000006;589.8985499999999 102.44027000000006;596.4988399999999 103.89622000000006;603.8756399999999 108.84644000000006;608.3405399999999 112.53484000000006;609.0199799999999 115.25261000000006;611.7377499999999 118.06744000000006;610.2817999999999 122.72647000000006;610.5729899999999 125.63836000000006;615.4261499999999 127.77375000000006;615.03789 122.62940000000006;617.9497899999999 122.62940000000006;614.7467099999999 119.91164000000006;627.6560999999999 126.70605000000006;629.79149 126.80315000000006;631.15037 133.01519000000005;631.5386299999999 133.01519000000005;632.99457 136.60652000000005;633.67401 147.67172000000005;634.5475799999999 152.13662000000005;632.0239399999999 160.09580000000005;628.91792 165.53133000000005;628.82082 168.15204000000006;625.61773 172.61694000000006;623.67647 191.35012000000006;623.57937 193.67964000000006;623.3852400000001 196.10622000000006;622.8028600000001 204.64777000000007;616.9790800000001 204.45364000000006;615.52313 206.00665000000006;615.23194 206.10375000000008;615.13484 206.10375000000008;611.3493800000001 206.78319000000008;606.9815400000001 209.59802000000008;602.1283800000001 211.63634000000008;593.0044500000001 209.01564000000008;590.5778700000002 209.59802000000008;587.5689100000002 208.43326000000008;583.8805100000002 205.42431000000008;573.9800700000002 210.08333000000007;570.8740600000002 205.81256000000008;566.3120900000002 207.46263000000008;561.4589300000002 210.56865000000008;558.8382300000002 208.33620000000008;556.3145900000002 208.23910000000006;556.3145900000002 210.08329000000006;549.5201700000002 213.28638000000007;546.8024000000003 212.02456000000006;545.4435200000003 213.57757000000007;537.9696600000003 214.35407000000006;532.2429300000003 219.59548000000007;531.3693700000003 217.84834000000006;527.1956500000003 218.04247000000007;523.3131300000003 221.73087000000007;521.5659900000004 227.55466000000007;521.2748000000004 260.7502400000001;496.42664000000036 261.04143000000005;472.9373700000004 261.62381000000005;472.3549900000004 261.62381000000005
CT,Connecticut,936.99622 445.65546;923.01913 440.31699000000003;922.82501 440.80230000000006;914.9629 438.47279000000003;913.21576 437.98747000000003;913.40989 437.01684;917.09828 422.74856;918.26304 421.29261;915.7394 418.18659;917.48654 416.53652;917.48654 416.53652;923.1161999999999 421.97206;926.12515 426.14576999999997;926.7075299999999 424.98100999999997;940.8787499999999 431.29011999999994;941.1699399999999 431.58129999999994;941.0728399999999 433.91081999999994;940.49047 435.9491499999999;937.48151 444.3936399999999;937.09326 445.4613299999999;936.99616 445.6554599999999
NH,New Hampshire,923.8927 513.017262;922.63088 511.464252;921.17494 511.75544199999996;920.39843 505.349276;920.39843 505.252216;922.72795 496.516535;922.53382 494.76939899999996;918.3601 489.23680099999996;919.4277999999999 484.18951999999996;919.4277999999999 477.88041;918.6512899999999 472.05663;923.0191299999999 456.13827;923.0191299999999 456.13827;923.0191299999999 456.13827;926.9987199999999 457.40009;939.2286799999999 461.47675;944.76127 467.49465999999995;944.76127 467.49465999999995;944.76127 469.0476699999999;945.05246 471.5713099999999;944.37302 471.28011999999995;944.27592 471.86249999999995;938.1609400000001 479.33635999999996;937.9668100000001 480.01579999999996;923.8926600000001 513.017265;923.8926600000001 513.017265
RI,Rhode Island,946.50841 436.91978;946.4113100000001 438.9581;946.12012 438.1816;946.50837 436.91978|948.4496300000001 438.47279;947.1878100000001 440.89936;947.0907100000002 438.37572;948.4495900000002 438.47282|947.8672100000002 441.48177000000004;948.5466500000002 439.73464;949.4202200000002 438.18163000000004;950.0026000000001 439.34638000000007;949.1290300000002 440.99646000000007;948.8378400000001 442.1612100000001;947.8672100000001 442.1612100000001;947.8672100000001 441.4817700000001|937.0932100000001 445.46136000000007;937.4814600000001 444.39367000000004;940.4904200000001 435.94918000000007;941.07279 433.9108500000001;941.16989 431.5813300000001;941.36401 431.87252000000007;946.02304 435.56092000000007;945.14948 442.16121000000004;947.0907400000001 442.54947000000004;947.0907400000001 442.54947000000004;942.8199600000002 447.69381000000004;938.3550600000001 445.94668;937.0932400000002 445.46136
VT,Vermont,923.01913 456.13827000000003;918.65129 472.05663000000004;919.4278 477.88041000000004;919.4278 484.18952;918.3601000000001 489.236798;922.5338200000001 494.76939600000003;922.7279500000001 496.51653200000004;920.3984300000001 505.25221300000004;919.1366100000001 504.76689700000003;913.7981400000001 502.82563500000003;908.5567300000001 500.78730900000005;896.5209000000001 496.41946900000005;895.8414600000001 496.22534300000007;900.2093000000001 486.03371000000004;901.6652500000001 476.42447000000004;906.8095900000001 468.36823000000004;911.6627500000001 452.44988000000006;911.85688 452.5469800000001;912.6333800000001 452.83817000000005;914.8658300000001 453.51761000000005;916.8070900000001 454.19705000000005;922.3396900000001 455.8471200000001;923.0191300000001 456.13831000000005;923.0191300000001 456.13831000000005
AL,Alabama,718.31301 244.15242;718.7012699999999 243.37591;720.0601499999999 242.50235;720.6425299999999 202.70647000000002;720.8366599999998 180.86727000000002;725.7868699999998 150.97182;726.1751299999997 151.06892000000002;730.5429699999997 150.19535000000002;731.7077199999998 158.83397000000002;733.6489899999998 153.98081000000002;736.9491299999999 150.97185000000002;743.2582399999999 154.66025000000002;742.5787899999999 155.24263000000002;742.7729199999999 155.14553;738.4050799999999 165.14303;780.3363499999999 171.93745;783.15118 172.42276;783.15118 172.51986000000002;780.5304699999999 177.47008000000002;780.3363499999999 184.55568000000002;778.2009599999999 188.43821000000003;779.2686499999999 196.00913000000003;781.0157899999998 197.95039000000003;773.8331199999998 210.76273000000003;760.8266599999998 250.36448000000004;760.7295599999999 250.55861000000004;757.8176599999999 250.07329000000004;742.28756 247.54965000000004;734.52252 246.57902000000004;718.21591 244.34657000000004;718.31301 244.15244000000004
