id,Position,Track Name,Artist,Streams,URL
55,55,Dance Monkey,Tones And I,1434559,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
56,56,Roses - Imanbek Remix,SAINt JHN,1400172,https://open.spotify.com/track/5f5tMrP3ZZbNtiLIHKOQLS
57,57,Midnight Sky,Miley Cyrus,1388046,https://open.spotify.com/track/27ycaQnQAxaPiyeg3nr2aB
58,58,It's Beginning to Look a Lot like Christmas,Michael Bublé,1350737,https://open.spotify.com/track/0lLdorYw7lVrJydTINhWdI
59,59,Golden,Harry Styles,1347665,https://open.spotify.com/track/45S5WTQEGOB1VHr1Q4FuPl
60,60,Reloj,Rauw Alejandro,1340532,https://open.spotify.com/track/4loQgPwJHocL3dFwLfjb1J
61,61,"Ay, DiOs Mío!",KAROL G,1336870,https://open.spotify.com/track/7x4ASXYEKfQBCewcZhK776
62,62,Sofia,Clairo,1333271,https://open.spotify.com/track/7B3z0ySL9Rr0XvZEAjWZzM
63,63,SO DONE,The Kid LAROI,1328100,https://open.spotify.com/track/3qgPpwtuRu5oP8EtFSj8HE
64,64,Breaking Me,Topic,1292669,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
65,65,Come & Go (with Marshmello),Juice WRLD,1274499,https://open.spotify.com/track/2Y0wPrPQBrGhoLn14xRYCG
66,66,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,1268778,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
67,67,Savage Love (Laxed - Siren Beat),Jawsh 685,1260010,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
68,68,lovely (with Khalid),Billie Eilish,1258546,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
69,69,Rockin' Around The Christmas Tree,Brenda Lee,1253928,https://open.spotify.com/track/2EjXfH91m7f8HiJN1yQg97
70,70,Don't Start Now,Dua Lipa,1236067,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
71,71,Despeinada,Ozuna,1226245,https://open.spotify.com/track/0JAZWvvqttGFm4UMDsPQXC
72,72,Train Wreck,James Arthur,1218422,https://open.spotify.com/track/55Am8neGJkdj2ADaM3aw5H
73,73,Jingle Bell Rock,Bobby Helms,1213452,https://open.spotify.com/track/3hBXvHLlTHvnbwrPbeoyAj
74,74,Paradise (feat. Dermot Kennedy),MEDUZA,1200068,https://open.spotify.com/track/6ft4hAq6yde8jPZY2i5zLr
75,75,Sweater Weather,The Neighbourhood,1192109,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
76,76,Daisy,Ashnikko,1174932,https://open.spotify.com/track/0AUvWawuP0ibk4SQ3sIZjk
77,77,death bed (coffee for your head),Powfu,1174917,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
78,78,Tyler Herro,Jack Harlow,1141275,https://open.spotify.com/track/4DuUwzP4ALMqpquHU0ltAB
79,79,Circles,Post Malone,1136480,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
80,80,Tattoo - Remix with Camilo,Rauw Alejandro,1130290,https://open.spotify.com/track/4G3PTss3mU33Tau7t4KbwE
81,81,Dreams - 2004 Remaster,Fleetwood Mac,1127349,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz
82,82,Deep End,Fousheé,1126076,https://open.spotify.com/track/6HlE9t71z9DjGi7KqSyEpA
83,83,The Business,Tiësto,1114236,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
84,84,Stuck with U (with Justin Bieber),Ariana Grande,1113384,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
85,85,Tú Me Dejaste De Querer (feat. Niño de Elche & La Hungara),C. Tangana,1110778,https://open.spotify.com/track/0XinBYhf1X3kdvKQHOX971
86,86,Wishing Well,Juice WRLD,1101304,https://open.spotify.com/track/2U5WueTLIK5WJLD7mvDODv
87,87,Memories,Maroon 5,1096533,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
88,88,POPSTAR (feat. Drake),DJ Khaled,1093813,https://open.spotify.com/track/6EDO9iiTtwNv6waLwa1UUq
89,89,Lucid Dreams,Juice WRLD,1091565,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
90,90,Mood Swings (feat. Lil Tjay),Pop Smoke,1087589,https://open.spotify.com/track/5rZlwNFl01HqLWBQGryKSm
91,91,It's the Most Wonderful Time of the Year,Andy Williams,1084199,https://open.spotify.com/track/1IcR6RlgvDczfvoWJSSY2A
92,92,Señorita,Shawn Mendes,1070116,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
93,93,goosebumps,Travis Scott,1069868,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
94,94,Adore You,Harry Styles,1067134,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
95,95,Mi Cuarto,Jerry Di,1056981,https://open.spotify.com/track/6fmQjRuo7XvRFCK2qex5hQ
96,96,Lovesick Girls,BLACKPINK,1055903,https://open.spotify.com/track/4Ws314Ylb27BVsvlZOy30C
97,97,Blueberry Faygo,Lil Mosey,1046841,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
98,98,How You Like That,BLACKPINK,1030588,https://open.spotify.com/track/4SFknyjLcyTLJFPKD2m96o
99,99,Diamonds,Sam Smith,1028940,https://open.spotify.com/track/1hJIbOjWpid6LtnozHmzRS
100,100,Ice Cream (with Selena Gomez),BLACKPINK,1028048,https://open.spotify.com/track/4JUPEh2DVSXFGExu4Uxevz
101,101,La Luz,Sech,1024390,https://open.spotify.com/track/5zj8WNkBrEzlI5FKeYV4ol
102,102,The Box,Roddy Ricch,1018799,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
103,103,La Jeepeta - Remix,Nio Garcia,1016841,https://open.spotify.com/track/6bvfJf4KjonPMuPfGfy3S2
104,104,Underneath the Tree,Kelly Clarkson,1014807,https://open.spotify.com/track/3nAp4IvdMPPWEH9uuXFFV5
105,105,bad guy,Billie Eilish,1009335,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
106,106,my ex's best friend (with blackbear),Machine Gun Kelly,1000803,https://open.spotify.com/track/7kDUspsoYfLkWnZR7qwHZl
107,107,"Mood (Remix) feat. Justin Bieber, J Balvin & iann dior",24kGoldn,989064,https://open.spotify.com/track/6FuGJB290AQMAHTfjOYVaK
108,108,HIGHEST IN THE ROOM,Travis Scott,984510,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
109,109,Rain On Me (with Ariana Grande),Lady Gaga,967926,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
110,110,Robbery,Juice WRLD,965304,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
111,111,Shallow,Lady Gaga,961860,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
112,112,Body,Megan Thee Stallion,958802,https://open.spotify.com/track/0A1hoCfMLkiAgvhWkkucJa
113,113,Say You Won't Let Go,James Arthur,942797,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
114,114,Head Shoulders Knees & Toes (feat. Norma Jean Martine),Ofenbach,942179,https://open.spotify.com/track/6i7zAdNhzUN2k1HcrBxPHG
115,115,I CAN'T STOP ME,TWICE,940634,https://open.spotify.com/track/3apeXzypBMnUfYcZYNX6DH
116,116,If the World Was Ending - feat. Julia Michaels,JP Saxe,939367,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
117,117,Falling,Harry Styles,934701,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp
118,118,Mistletoe,Justin Bieber,927676,https://open.spotify.com/track/7xapw9Oy21WpfEcib2ErSA
119,119,Fever,Dua Lipa,922476,https://open.spotify.com/track/3F1P0QzdXtBz0MXy7KIO5w
120,120,Falling,Trevor Daniel,919554,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
121,121,Tusa,KAROL G,919434,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
122,122,Break My Heart,Dua Lipa,913694,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
123,123,Skit,BTS,912925,https://open.spotify.com/track/4GVwjLRT7oSsKby7Vy8EHr
124,124,Caramelo,Ozuna,904039,https://open.spotify.com/track/5Jm4w8jmPEBTLjI9vH4fXo
125,125,Baby (with J Balvin),Sfera Ebbasta,901776,https://open.spotify.com/track/4L5ZhW0VJeQ6je2iqvqZ4X
126,126,Believer,Imagine Dragons,896707,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
127,127,Jocelyn Flores,XXXTENTACION,893110,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
128,128,Mad at Disney,salem ilese,885791,https://open.spotify.com/track/7aGyRfJWtLqgJaZoG9lJhE
129,129,everything i wanted,Billie Eilish,877077,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
130,130,All Girls Are The Same,Juice WRLD,868318,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1
131,131,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix",Jack Harlow,861502,https://open.spotify.com/track/2MbdDtCv5LUVjYy9RuGTgC
132,132,Tick Tock (feat. 24kGoldn),Clean Bandit,856448,https://open.spotify.com/track/27u7t9d7ZQoyjsCROHuZJ3
133,133,Life Is Good (feat. Drake),Future,852730,https://open.spotify.com/track/1K5KBOgreBi5fkEHvg5ap3
134,134,Dior,Pop Smoke,851212,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
135,135,De Cora <3,Rauw Alejandro,851210,https://open.spotify.com/track/22Sh5dlwbERqJAq1fZk5b2
136,136,Somebody’s Problem,Morgan Wallen,847633,https://open.spotify.com/track/0SErdEdRcVX1uJCf1eTGYH
137,137,Azul,J Balvin,838582,https://open.spotify.com/track/2lCkncy6bIB0LTMT7kvrD1
