id,Justice number,Image,Justice,Year of birth,State,Position,Succeeded,Date confirmed,Tenure length,Nominated by
103,103.0,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Antonin_Scalia_Official_SCOTUS_Portrait_crop.jpg/475px-Antonin_Scalia_Official_SCOTUS_Portrait_crop.jpg,Antonin Scalia,1936.0,VA,AssociateJustice,Rehnquist,"September 17, 1986","29 years, 140 days",Ronald Reagan
104,104.0,https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Anthony_Kennedy_official_SCOTUS_portrait.jpg/472px-Anthony_Kennedy_official_SCOTUS_portrait.jpg,Anthony Kennedy,1936.0,CA,AssociateJustice,Powell,"February 3, 1988","30 years, 163 days",Ronald Reagan
105,105.0,https://upload.wikimedia.org/wikipedia/commons/2/2f/DavidSouter.jpg,David Souter,1939.0,NH,AssociateJustice,Brennan,"October 2, 1990","18 years, 263 days",George H. W. Bush
106,106.0,https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Clarence_Thomas_official_SCOTUS_portrait.jpg/436px-Clarence_Thomas_official_SCOTUS_portrait.jpg,Clarence Thomas,1948.0,GA,AssociateJustice,T. Marshall,"October 15, 1991",Ongoing,George H. W. Bush
107,107.0,https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/Ruth_Bader_Ginsburg_2016_portrait.jpg/480px-Ruth_Bader_Ginsburg_2016_portrait.jpg,Ruth Bader Ginsburg,1933.0,NY,AssociateJustice,B. White,"August 3, 1993",Ongoing,Bill Clinton
108,108.0,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Stephen_Breyer%2C_SCOTUS_photo_portrait.jpg/480px-Stephen_Breyer%2C_SCOTUS_photo_portrait.jpg,Stephen Breyer,1938.0,MA,AssociateJustice,Blackmun,"July 29, 1994",Ongoing,Bill Clinton
109,109.0,https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Official_roberts_CJ.jpg/480px-Official_roberts_CJ.jpg,John Roberts,1955.0,MD,ChiefJustice,Rehnquist,"September 29, 2005",Ongoing,George W. Bush
110,110.0,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/Samuel_Alito_official_photo.jpg/480px-Samuel_Alito_official_photo.jpg,Samuel Alito,1950.0,NJ,AssociateJustice,O'Connor,"January 31, 2006",Ongoing,George W. Bush
111,111.0,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Sonia_Sotomayor_in_SCOTUS_robe.jpg/480px-Sonia_Sotomayor_in_SCOTUS_robe.jpg,Sonia Sotomayor,1954.0,NY,AssociateJustice,Souter,"August 6, 2009",Ongoing,Barack Obama
112,112.0,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Elena_Kagan_Official_SCOTUS_Portrait_%282013%29.jpg/400px-Elena_Kagan_Official_SCOTUS_Portrait_%282013%29.jpg,Elena Kagan,1960.0,MA,AssociateJustice,Stevens,"August 5, 2010",Ongoing,Barack Obama
113,113.0,https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Associate_Justice_Neil_Gorsuch_Official_Portrait.jpg/480px-Associate_Justice_Neil_Gorsuch_Official_Portrait.jpg,Neil Gorsuch,1967.0,CO,AssociateJustice,Scalia,"April 7, 2017",Ongoing,Donald Trump
114,114.0,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Associate_Justice_Brett_Kavanaugh_Official_Portrait.jpg/480px-Associate_Justice_Brett_Kavanaugh_Official_Portrait.jpg,Brett Kavanaugh,1965.0,MD,AssociateJustice,Kennedy,"October 6, 2018",Ongoing,Donald Trump
