id,State,Year,NationalRank,FemaleSenateDemocrats,FemaleSenateRepublicans,FemaleSenateIndependents,FemaleSenateOther,FemaleSenateTotal,TotalSenateMembers,FemaleHouseDemocrats,FemaleHouseRepublicans,FemaleHouseIndependents,FemaleHouseOther,FemaleHouseTotal,TotalHouseMembers,TotalFemalesinLegislature,TotalLegislatureMembers,PercentageOfFemalesInLegislature
1293,Texas,1994,35,2,2,0,0,4,31,19,8,0,0,27,150,31,181,17.1
1294,Utah,1994,39,1,1,0,0,2,29,4,9,0,0,13,75,15,104,14.4
1295,Vermont,1994,3,7,4,0,0,11,30,33,16,0,0,49,150,60,180,33.3
1296,Virginia,1994,44,3,1,0,0,4,40,9,3,0,0,12,100,16,140,11.4
1297,Washington,1994,1,14,4,0,0,18,49,28,13,0,0,41,98,59,147,40.1
1298,West Virginia,1994,34,4,1,0,0,5,34,15,3,0,0,18,100,23,134,17.2
1299,Wisconsin,1994,9,2,7,0,0,9,33,16,11,0,0,27,99,36,132,27.3
1300,Wyoming,1994,17,1,4,0,0,5,30,6,11,0,0,17,60,22,90,24.4
1301,Alabama,1993,49,1,1,0,0,2,35,6,0,0,0,6,105,8,140,5.7
1302,Alaska,1993,21,3,0,1,0,4,20,5,4,0,0,9,40,13,60,21.7
1303,Arizona,1993,2,3,6,0,0,9,30,9,12,0,0,21,60,30,90,33.3
1304,Arkansas,1993,45,1,0,0,0,1,35,11,2,0,0,13,100,14,135,10.4
1305,California,1993,20,2,2,1,0,5,40,18,4,0,0,22,80,27,120,22.5
1306,Colorado,1993,3,3,5,0,0,8,35,16,11,0,0,27,65,35,100,35
1307,Connecticut,1993,13,4,4,0,0,8,36,27,12,0,0,39,151,47,187,25.1
1308,Deleware,1993,38,2,1,0,0,3,21,2,4,0,0,6,41,9,62,14.5
1309,Florida,1993,31,4,2,0,0,6,40,16,6,0,0,22,120,28,160,17.5
1310,Georgia,1993,32,4,2,0,0,6,56,23,12,0,0,35,180,41,236,17.4
1311,Hawaii,1993,17,5,1,0,0,6,25,10,2,0,0,12,51,18,76,23.7
1312,Idaho,1993,7,6,3,0,0,9,35,6,17,0,0,23,70,32,105,30.5
1313,Illinois,1993,18,5,6,0,0,11,59,15,15,0,0,30,118,41,177,23.2
1314,Indiana,1993,28,7,6,0,0,13,50,7,9,0,0,16,100,29,150,19.3
1315,Iowa,1993,37,4,2,0,0,6,50,8,8,0,0,16,100,22,150,14.7
1316,Kansas,1993,8,3,11,0,0,14,40,19,15,0,0,34,125,48,165,29.1
1317,Kentucky,1993,50,1,0,0,0,1,38,4,2,0,0,6,100,7,138,5.1
1318,Louisiana,1993,48,1,0,0,0,1,39,8,2,0,0,10,105,11,144,7.6
1319,Maine,1993,6,7,4,0,0,11,35,36,12,0,0,48,151,59,186,31.7
1320,Maryland,1993,15,10,0,0,0,10,47,31,5,0,0,36,141,46,188,24.5
1321,Massachusetts,1993,19,7,2,0,0,9,40,25,12,0,0,37,160,46,200,23
1322,Michigan,1993,24,2,1,0,0,3,38,15,12,0,0,27,110,30,148,20.3
1323,Minnesota,1993,10,12,8,0,0,20,67,25,10,0,0,35,134,55,201,27.4
1324,Mississippi,1993,44,3,1,0,0,4,52,13,2,0,0,15,122,19,174,10.9
1325,Missouri,1993,29,0,1,0,0,1,34,22,14,0,0,36,163,37,197,18.8
1326,Montana,1993,25,7,2,0,0,9,50,13,8,0,0,21,100,30,150,20
1327,Nebraska*,1993,23,0,0,0,0,10,49,0,0,0,0,0,0,10,49,20.4
1328,Nevada,1993,12,3,2,0,0,5,21,9,3,0,0,12,42,17,63,27
1329,New Hampshire,1993,5,6,3,0,0,9,24,59,74,0,0,133,400,142,424,33.5
1330,New Jersey,1993,41,1,0,0,0,1,40,2,12,0,0,14,80,15,120,12.5
1331,New Mexico,1993,27,6,2,0,0,8,42,9,5,0,0,14,70,22,112,19.6
1332,New York,1993,33,7,1,0,0,8,61,21,6,0,0,27,150,35,211,16.6
1333,North Carolina,1993,30,6,1,0,0,7,50,15,9,0,0,24,120,31,170,18.2
1334,North Dakota,1993,35,5,3,0,0,8,49,8,8,0,0,16,98,24,147,16.3
1335,Ohio,1993,22,1,4,0,0,5,33,13,10,0,0,23,99,28,132,21.2
1336,Oklahoma,1993,47,5,1,0,0,6,48,4,3,0,0,7,101,13,149,8.7
1337,Oregon,1993,9,7,1,0,0,8,30,11,6,0,0,17,60,25,90,27.8
1338,Pennsylvania,1993,46,3,1,0,0,4,50,11,10,0,0,21,203,25,253,9.9
1339,Rhode Island,1993,14,9,2,0,0,11,50,18,8,0,0,26,100,37,150,24.7
1340,South Carolina,1993,40,2,1,0,0,3,46,10,9,0,0,19,124,22,170,12.9
1341,South Dakota,1993,25,6,1,0,0,7,35,3,11,0,0,14,70,21,105,20
1342,Tennessee,1993,43,2,1,0,0,3,33,8,5,0,0,13,99,16,132,12.1
1343,Texas,1993,36,2,2,0,0,4,31,18,7,0,0,25,150,29,181,16
1344,Utah,1993,39,1,1,0,0,2,29,4,8,0,0,12,75,14,104,13.5
1345,Vermont,1993,4,7,4,0,0,11,30,34,16,0,0,50,150,61,180,33.9
1346,Virginia,1993,42,3,1,0,0,4,40,10,3,0,0,13,100,17,140,12.1
1347,Washington,1993,1,14,4,0,0,18,49,26,14,0,0,40,98,58,147,39.5
1348,West Virginia,1993,34,4,1,0,0,5,34,14,3,0,0,17,100,22,134,16.4
1349,Wisconsin,1993,11,2,7,0,0,9,33,16,11,0,0,27,99,36,132,27.3
1350,Wyoming,1993,16,1,4,0,0,5,30,6,11,0,0,17,60,22,90,24.4
1351,Alabama,1992,50,0,1,0,0,1,35,7,0,0,0,7,105,8,140,5.7
1352,Alaska,1992,15,1,0,3,0,4,20,5,5,0,0,10,40,14,60,23.3
1353,Arizona,1992,1,4,4,0,0,8,30,10,13,0,0,23,60,31,90,34.4
