id,State,Year,NationalRank,FemaleSenateDemocrats,FemaleSenateRepublicans,FemaleSenateIndependents,FemaleSenateOther,FemaleSenateTotal,TotalSenateMembers,FemaleHouseDemocrats,FemaleHouseRepublicans,FemaleHouseIndependents,FemaleHouseOther,FemaleHouseTotal,TotalHouseMembers,TotalFemalesinLegislature,TotalLegislatureMembers,PercentageOfFemalesInLegislature
1461,Hawaii,1990,10,6,1,0,0,7,25,10,1,0,0,11,51,18,76,23.7
1462,Idaho,1990,9,5,4,0,0,9,42,6,16,0,0,22,84,31,126,24.6
1463,Illinois,1990,20,6,6,0,0,12,59,9,12,0,0,21,118,33,177,18.6
1464,Indiana,1990,33,6,5,0,0,11,50,4,6,0,0,10,100,21,150,14
1465,Iowa,1990,24,3,3,0,0,6,50,13,6,0,0,19,100,25,150,16.7
1466,Kansas,1990,8,5,4,0,0,9,40,16,17,0,0,33,125,42,165,25.5
1467,Kentucky,1990,47,2,0,0,0,2,38,3,3,0,0,6,100,8,138,5.8
1468,Louisiana,1990,50,0,0,0,0,0,39,3,0,0,0,3,105,3,144,2.1
1469,Maine,1990,3,5,5,0,0,10,35,29,19,0,0,48,151,58,186,31.2
1470,Maryland,1990,12,7,1,0,0,8,47,31,4,0,0,35,141,43,188,22.9
1471,Massachusetts,1990,23,3,2,0,0,5,40,22,7,0,0,29,160,34,200,17
1472,Michigan,1990,30,1,1,0,0,2,38,12,8,0,0,20,110,22,148,14.9
1473,Minnesota,1990,21,6,4,0,0,10,67,17,10,0,0,27,134,37,201,18.4
1474,Mississippi,1990,48,2,1,0,0,3,52,7,0,0,0,7,122,10,174,5.7
1475,Missouri,1990,31,1,1,0,0,2,34,19,8,0,0,27,163,29,197,14.7
1476,Montana,1990,22,5,1,0,0,6,50,16,5,0,0,21,100,27,150,18
1477,Nebraska*,1990,15,0,0,0,0,10,49,0,0,0,0,0,0,10,49,20.4
1478,Nevada,1990,13,2,2,0,0,4,21,8,2,0,0,10,42,14,63,22.2
1479,New Hampshire,1990,2,2,4,0,0,6,24,48,82,0,0,130,400,136,424,32.1
1480,New Jersey,1990,38,2,1,0,0,3,40,4,6,0,0,10,80,13,120,10.8
1481,New Mexico,1990,34,3,1,0,0,4,42,5,6,0,0,11,70,15,112,13.4
1482,New York,1990,37,5,1,0,0,6,61,14,3,0,0,17,150,23,211,10.9
1483,North Carolina,1990,32,2,2,0,0,4,50,12,8,0,0,20,120,24,170,14.1
1484,North Dakota,1990,29,3,2,0,0,5,53,10,9,0,0,19,106,24,159,15.1
1485,Ohio,1990,35,1,2,0,0,3,33,11,3,0,0,14,99,17,132,12.9
1486,Oklahoma,1990,44,5,1,0,0,6,48,6,1,0,0,7,101,13,149,8.7
1487,Oregon,1990,16,6,1,0,0,7,30,6,5,0,0,11,60,18,90,20
1488,Pennsylvania,1990,46,2,0,0,0,2,50,7,8,0,0,15,203,17,253,6.7
1489,Rhode Island,1990,28,5,4,0,0,9,50,11,3,0,0,14,100,23,150,15.3
1490,South Carolina,1990,43,1,1,0,0,2,46,10,3,0,0,13,124,15,170,8.8
1491,South Dakota,1990,19,6,1,0,0,7,35,6,7,0,0,13,70,20,105,19
1492,Tennessee,1990,42,1,1,0,0,2,33,4,7,0,0,11,99,13,132,9.8
1493,Texas,1990,40,2,1,0,0,3,31,11,5,0,0,16,150,19,181,10.5
1494,Utah,1990,36,1,0,0,0,1,29,5,6,0,0,11,75,12,104,11.5
1495,Vermont,1990,1,6,0,0,0,6,30,30,24,0,0,54,150,60,180,33.3
1496,Virginia,1990,39,2,1,0,0,3,40,8,4,0,0,12,100,15,140,10.7
1497,Washington,1990,5,5,5,0,0,10,49,22,11,0,0,33,98,43,147,29.3
1498,West Virginia,1990,18,6,1,0,0,7,34,16,3,0,0,19,100,26,134,19.4
1499,Wisconsin,1990,7,1,3,0,0,4,33,18,12,0,0,30,99,34,132,25.8
1500,Wyoming,1990,11,4,0,0,0,4,30,7,11,0,0,18,64,22,94,23.4
1501,Alabama,1989,48,0,1,0,0,1,35,7,0,0,0,7,105,8,140,5.7
1502,Alaska,1989,14,1,0,3,0,4,20,5,4,0,0,9,40,13,60,21.7
1503,Arizona,1989,4,2,3,0,0,5,30,9,13,0,0,22,60,27,90,30
1504,Arkansas,1989,45,2,0,0,0,2,35,7,1,0,0,8,100,10,135,7.4
1505,California,1989,27,2,2,0,0,4,40,8,7,0,0,15,80,19,120,15.8
1506,Colorado,1989,5,2,5,0,0,7,35,9,13,0,0,22,65,29,100,29
1507,Connecticut,1989,13,4,3,0,0,7,36,19,15,0,0,34,151,41,187,21.9
1508,Deleware,1989,26,2,2,0,0,4,21,2,4,0,0,6,41,10,62,16.1
1509,Florida,1989,25,7,3,0,0,10,40,8,8,0,0,16,120,26,160,16.3
1510,Georgia,1989,40,1,1,0,0,2,56,18,4,0,0,22,180,24,236,10.2
1511,Hawaii,1989,10,4,3,0,0,7,25,9,2,0,0,11,51,18,76,23.7
1512,Idaho,1989,9,6,3,0,0,9,42,5,17,0,0,22,84,31,126,24.6
1513,Illinois,1989,18,6,6,0,0,12,59,9,12,0,0,21,118,33,177,18.6
1514,Indiana,1989,33,6,5,0,0,11,50,5,6,0,0,11,100,22,150,14.7
1515,Iowa,1989,24,3,3,0,0,6,50,13,6,0,0,19,100,25,150,16.7
1516,Kansas,1989,8,5,4,0,0,9,40,17,17,0,0,34,125,43,165,26.1
1517,Kentucky,1989,49,1,0,0,0,1,38,3,3,0,0,6,100,7,138,5.1
1518,Louisiana,1989,50,0,0,0,0,0,39,3,0,0,0,3,105,3,144,2.1
1519,Maine,1989,2,5,5,0,0,10,35,28,19,0,0,47,151,57,186,30.7
1520,Maryland,1989,12,6,0,0,0,6,47,32,4,0,0,36,141,42,188,22.3
1521,Massachusetts,1989,23,4,1,0,0,5,40,22,8,0,0,30,160,35,200,17.5
1522,Michigan,1989,30,1,1,0,0,2,38,12,8,0,0,20,110,22,148,14.9
1523,Minnesota,1989,19,6,4,0,0,10,67,17,10,0,0,27,134,37,201,18.4
1524,Mississippi,1989,47,2,1,0,0,3,52,7,0,0,0,7,122,10,174,5.7
1525,Missouri,1989,31,1,1,0,0,2,34,19,8,0,0,27,163,29,197,14.7
1526,Montana,1989,21,5,1,0,0,6,50,16,5,0,0,21,100,27,150,18
1527,Nebraska*,1989,20,0,0,0,0,9,49,0,0,0,0,0,0,9,49,18.4
1528,Nevada,1989,15,1,2,0,0,3,21,8,2,0,0,10,42,13,63,20.6
1529,New Hampshire,1989,1,2,4,0,0,6,24,48,82,0,0,130,400,136,424,32.1
1530,New Jersey,1989,43,2,1,0,0,3,40,2,6,0,0,8,80,11,120,9.2
1531,New Mexico,1989,34,3,1,0,0,4,42,5,6,0,0,11,70,15,112,13.4
1532,New York,1989,37,5,1,0,0,6,61,15,3,0,0,18,150,24,211,11.4
1533,North Carolina,1989,32,3,1,0,0,4,50,12,9,0,0,21,120,25,170,14.7
1534,North Dakota,1989,29,3,2,0,0,5,53,10,9,0,0,19,106,24,159,15.1
1535,Ohio,1989,35,1,2,0,0,3,33,11,3,0,0,14,99,17,132,12.9
1536,Oklahoma,1989,44,5,1,0,0,6,48,6,1,0,0,7,101,13,149,8.7
1537,Oregon,1989,16,6,1,0,0,7,30,6,5,0,0,11,60,18,90,20
1538,Pennsylvania,1989,46,2,0,0,0,2,50,7,8,0,0,15,203,17,253,6.7
1539,Rhode Island,1989,28,5,4,0,0,9,50,11,3,0,0,14,100,23,150,15.3
1540,South Carolina,1989,42,1,1,0,0,2,46,10,4,0,0,14,124,16,170,9.4
1541,South Dakota,1989,17,6,1,0,0,7,35,6,7,0,0,13,70,20,105,19
1542,Tennessee,1989,41,1,1,0,0,2,33,4,7,0,0,11,99,13,132,9.8
1543,Texas,1989,39,2,1,0,0,3,31,11,5,0,0,16,150,19,181,10.5
1544,Utah,1989,36,1,0,0,0,1,29,5,6,0,0,11,75,12,104,11.5
1545,Vermont,1989,3,6,0,0,0,6,30,26,23,0,0,49,150,55,180,30.6
1546,Virginia,1989,38,2,1,0,0,3,40,9,3,0,0,12,100,15,140,10.7
1547,Washington,1989,6,5,5,0,0,10,49,22,10,0,0,32,98,42,147,28.6
1548,West Virginia,1989,22,5,1,0,0,6,34,16,2,0,0,18,100,24,134,17.9
1549,Wisconsin,1989,7,1,3,0,0,4,33,18,12,0,0,30,99,34,132,25.8
1550,Wyoming,1989,11,4,0,0,0,4,30,7,11,0,0,18,64,22,94,23.4
1551,Alabama,1988,49,0,1,0,0,1,35,7,0,0,0,7,105,8,140,5.7
1552,Alaska,1988,14,1,0,2,0,3,20,5,4,0,0,9,40,12,60,20
1553,Arizona,1988,6,2,4,0,0,6,30,6,9,0,0,15,60,21,90,23.3
1554,Arkansas,1988,46,1,0,0,0,1,35,7,1,0,0,8,100,9,135,6.7
1555,California,1988,30,2,2,0,0,4,40,8,5,0,0,13,80,17,120,14.2
1556,Colorado,1988,3,1,3,0,0,4,35,7,17,0,0,24,65,28,100,28
1557,Connecticut,1988,9,4,2,0,0,6,36,19,15,0,0,34,151,40,187,21.4
1558,Deleware,1988,21,2,2,0,0,4,21,2,4,0,0,6,41,10,62,16.1
1559,Florida,1988,13,6,4,0,0,10,40,13,10,0,0,23,120,33,160,20.6
1560,Georgia,1988,35,1,1,0,0,2,56,19,5,0,0,24,180,26,236,11
1561,Hawaii,1988,11,5,3,0,0,8,25,6,2,0,0,8,51,16,76,21.1
1562,Idaho,1988,8,5,2,0,0,7,42,6,14,0,0,20,84,27,126,21.4
1563,Illinois,1988,19,6,6,0,0,12,59,9,11,0,0,20,118,32,177,18.1
1564,Indiana,1988,32,5,3,0,0,8,50,5,6,0,0,11,100,19,150,12.7
1565,Iowa,1988,29,2,2,0,0,4,50,11,7,0,0,18,100,22,150,14.7
1566,Kansas,1988,16,2,3,0,0,5,40,12,14,0,0,26,125,31,165,18.8
1567,Kentucky,1988,47,2,0,0,0,2,38,3,3,0,0,6,100,8,138,5.8
1568,Louisiana,1988,50,0,0,0,0,0,39,4,0,0,0,4,105,4,144,2.8
1569,Maine,1988,2,4,6,0,0,10,35,24,19,0,0,43,151,53,186,28.5
1570,Maryland,1988,12,6,0,0,0,6,47,29,4,0,0,33,141,39,188,20.7
1571,Massachusetts,1988,17,5,1,0,0,6,40,22,9,0,0,31,160,37,200,18.5
1572,Michigan,1988,28,1,1,0,0,2,38,14,6,0,0,20,110,22,148,14.9
1573,Minnesota,1988,26,6,3,0,0,9,67,15,7,0,0,22,134,31,201,15.4
1574,Mississippi,1988,48,2,1,0,0,3,52,7,0,0,0,7,122,10,174,5.7
1575,Missouri,1988,24,1,1,0,0,2,34,22,7,0,0,29,163,31,197,15.7
1576,Montana,1988,27,5,1,0,0,6,50,13,4,0,0,17,100,23,150,15.3
1577,Nebraska*,1988,18,0,0,0,0,9,49,0,0,0,0,0,0,9,49,18.4
1578,Nevada,1988,23,0,2,0,0,2,21,6,2,0,0,8,42,10,63,15.9
1579,New Hampshire,1988,1,3,5,0,0,8,24,50,80,0,0,130,400,138,424,32.6
1580,New Jersey,1988,40,2,1,0,0,3,40,2,6,0,0,8,80,11,120,9.2
1581,New Mexico,1988,38,0,2,0,0,2,42,4,5,0,0,9,70,11,112,9.8
1582,New York,1988,36,4,1,0,0,5,61,15,2,0,0,17,150,22,211,10.4
1583,North Carolina,1988,31,4,0,0,0,4,50,13,7,0,0,20,120,24,170,14.1
1584,North Dakota,1988,33,3,1,0,0,4,53,8,8,0,0,16,106,20,159,12.6
1585,Ohio,1988,34,1,1,0,0,2,33,9,4,0,0,13,99,15,132,11.4
1586,Oklahoma,1988,42,4,2,0,0,6,48,6,1,0,0,7,101,13,149,8.7
1587,Oregon,1988,20,4,1,0,0,5,30,7,3,0,0,10,60,15,90,16.7
1588,Pennsylvania,1988,45,2,0,0,0,2,50,6,9,0,0,15,203,17,253,6.7
1589,Rhode Island,1988,22,5,5,0,0,10,50,10,4,0,0,14,100,24,150,16
1590,South Carolina,1988,44,1,1,0,0,2,46,9,2,0,0,11,124,13,170,7.6
1591,South Dakota,1988,14,3,2,0,0,5,35,5,11,0,0,16,70,21,105,20
1592,Tennessee,1988,41,1,0,0,0,1,33,5,6,0,0,11,99,12,132,9.1
1593,Texas,1988,39,2,1,0,0,3,31,10,4,0,0,14,150,17,181,9.4
1594,Utah,1988,43,1,0,0,0,1,29,3,4,0,0,7,75,8,104,7.7
1595,Vermont,1988,4,3,0,0,0,3,30,23,20,0,0,43,150,46,180,25.6
1596,Virginia,1988,37,2,1,0,0,3,40,9,2,0,0,11,100,14,140,10
1597,Washington,1988,5,4,5,0,0,9,49,20,8,0,0,28,98,37,147,25.2
1598,West Virginia,1988,25,2,1,0,0,3,34,17,1,0,0,18,100,21,134,15.7
1599,Wisconsin,1988,10,1,3,0,0,4,33,14,10,0,0,24,99,28,132,21.2
1600,Wyoming,1988,7,3,0,0,0,3,30,8,10,0,0,18,64,21,94,22.3
1601,Alabama,1987,47,0,1,0,0,1,35,7,0,0,0,7,105,8,140,5.7
1602,Alaska,1987,14,1,0,2,0,3,20,5,4,0,0,9,40,12,60,20
1603,Arizona,1987,6,2,4,0,0,6,30,6,9,0,0,15,60,21,90,23.3
1604,Arkansas,1987,45,1,0,0,0,1,35,7,1,0,0,8,100,9,135,6.7
1605,California,1987,30,2,2,0,0,4,40,8,5,0,0,13,80,17,120,14.2
1606,Colorado,1987,3,1,2,0,0,3,35,8,17,0,0,25,65,28,100,28
1607,Connecticut,1987,8,4,2,0,0,6,36,19,16,0,0,35,151,41,187,21.9
1608,Deleware,1987,21,2,2,0,0,4,21,2,4,0,0,6,41,10,62,16.1
1609,Florida,1987,13,6,4,0,0,10,40,13,10,0,0,23,120,33,160,20.6
1610,Georgia,1987,35,1,1,0,0,2,56,19,5,0,0,24,180,26,236,11
1611,Hawaii,1987,11,4,3,0,0,7,25,7,2,0,0,9,51,16,76,21.1
1612,Idaho,1987,9,5,2,0,0,7,42,6,14,0,0,20,84,27,126,21.4
1613,Illinois,1987,19,6,6,0,0,12,59,9,11,0,0,20,118,32,177,18.1
1614,Indiana,1987,32,5,3,0,0,8,50,5,6,0,0,11,100,19,150,12.7
1615,Iowa,1987,29,2,2,0,0,4,50,11,7,0,0,18,100,22,150,14.7
1616,Kansas,1987,16,2,3,0,0,5,40,12,14,0,0,26,125,31,165,18.8
1617,Kentucky,1987,48,2,0,0,0,2,38,3,2,0,0,5,100,7,138,5.1
1618,Louisiana,1987,49,0,0,0,0,0,39,6,0,0,0,6,105,6,144,4.2
1619,Maine,1987,2,4,6,0,0,10,35,24,19,0,0,43,151,53,186,28.5
1620,Maryland,1987,12,6,0,0,0,6,47,29,4,0,0,33,141,39,188,20.7
1621,Massachusetts,1987,17,5,1,0,0,6,40,22,9,0,0,31,160,37,200,18.5
1622,Michigan,1987,28,1,1,0,0,2,38,14,6,0,0,20,110,22,148,14.9
1623,Minnesota,1987,26,6,3,0,0,9,67,15,7,0,0,22,134,31,201,15.4
1624,Mississippi,1987,50,0,0,0,0,0,52,4,0,0,0,4,122,4,174,2.3
1625,Missouri,1987,24,1,1,0,0,2,34,22,7,0,0,29,163,31,197,15.7
1626,Montana,1987,27,5,1,0,0,6,50,13,4,0,0,17,100,23,150,15.3
1627,Nebraska*,1987,18,0,0,0,0,9,49,0,0,0,0,0,0,9,49,18.4
1628,Nevada,1987,23,0,2,0,0,2,21,6,2,0,0,8,42,10,63,15.9
1629,New Hampshire,1987,1,3,5,0,0,8,24,50,80,0,0,130,400,138,424,32.6
1630,New Jersey,1987,37,2,1,0,0,3,40,2,7,0,0,9,80,12,120,10
1631,New Mexico,1987,38,0,2,0,0,2,42,4,5,0,0,9,70,11,112,9.8
1632,New York,1987,36,4,1,0,0,5,61,15,3,0,0,18,150,23,211,10.9
1633,North Carolina,1987,31,4,0,0,0,4,50,13,7,0,0,20,120,24,170,14.1
1634,North Dakota,1987,33,3,1,0,0,4,53,8,8,0,0,16,106,20,159,12.6
1635,Ohio,1987,34,1,1,0,0,2,33,9,4,0,0,13,99,15,132,11.4
1636,Oklahoma,1987,41,4,2,0,0,6,48,6,1,0,0,7,101,13,149,8.7
1637,Oregon,1987,20,4,2,0,0,6,30,7,3,0,0,10,60,16,90,17.8
1638,Pennsylvania,1987,46,2,0,0,0,2,50,5,9,0,0,14,203,16,253,6.3
1639,Rhode Island,1987,22,5,5,0,0,10,50,10,4,0,0,14,100,24,150,16
1640,South Carolina,1987,43,1,1,0,0,2,46,9,2,0,0,11,124,13,170,7.6
1641,South Dakota,1987,14,3,2,0,0,5,35,5,11,0,0,16,70,21,105,20
1642,Tennessee,1987,40,1,0,0,0,1,33,5,6,0,0,11,99,12,132,9.1
1643,Texas,1987,39,2,1,0,0,3,31,10,4,0,0,14,150,17,181,9.4
1644,Utah,1987,42,1,0,0,0,1,29,3,4,0,0,7,75,8,104,7.7
1645,Vermont,1987,5,3,0,0,0,3,30,22,19,0,0,41,150,44,180,24.4
1646,Virginia,1987,44,0,0,0,0,0,40,9,0,1,0,10,100,10,140,7.1
1647,Washington,1987,4,4,4,0,0,8,49,19,10,0,0,29,98,37,147,25.2
1648,West Virginia,1987,25,2,1,0,0,3,34,17,1,0,0,18,100,21,134,15.7
1649,Wisconsin,1987,10,1,3,0,0,4,33,14,10,0,0,24,99,28,132,21.2
1650,Wyoming,1987,7,3,0,0,0,3,30,8,10,0,0,18,64,21,94,22.3
1651,Alabama,1986,46,1,1,0,0,2,35,7,0,0,0,7,105,9,140,6.4
1652,Alaska,1986,15,1,0,3,0,4,20,4,3,0,0,7,40,11,60,18.3
1653,Arizona,1986,8,1,3,0,0,4,30,5,9,0,0,14,60,18,90,20
1654,Arkansas,1986,42,1,0,0,0,1,35,8,1,0,0,9,100,10,135,7.4
1655,California,1986,30,2,2,0,0,4,40,7,4,0,0,11,80,15,120,12.5
1656,Colorado,1986,4,2,3,0,0,5,35,6,13,0,0,19,65,24,100,24
1657,Connecticut,1986,7,2,3,0,0,5,36,12,24,0,0,36,151,41,187,21.9
1658,Deleware,1986,21,2,1,0,0,3,21,3,4,0,0,7,41,10,62,16.1
1659,Florida,1986,10,7,2,0,0,9,40,11,11,0,0,22,120,31,160,19.4
1660,Georgia,1986,37,2,0,0,0,2,56,17,4,0,0,21,180,23,236,9.7
1661,Hawaii,1986,14,4,2,0,0,6,25,4,4,0,0,8,51,14,76,18.4
1662,Idaho,1986,12,5,2,0,0,7,42,4,13,0,0,17,84,24,126,19
1663,Illinois,1986,18,4,6,0,0,10,59,8,12,0,0,20,118,30,177,16.9
1664,Indiana,1986,29,3,3,0,0,6,50,7,6,0,0,13,100,19,150,12.7
1665,Iowa,1986,24,1,2,0,0,3,50,13,6,0,0,19,100,22,150,14.7
1666,Kansas,1986,16,2,3,0,0,5,40,11,14,0,0,25,125,30,165,18.2
1667,Kentucky,1986,45,2,0,0,0,2,38,5,2,0,0,7,100,9,138,6.5
1668,Louisiana,1986,49,0,0,0,0,0,39,5,0,0,0,5,105,5,144,3.5
1669,Maine,1986,6,6,3,0,0,9,35,17,18,0,0,35,151,44,186,23.7
1670,Maryland,1986,11,3,0,0,0,3,47,29,4,0,0,33,141,36,188,19.1
1671,Massachusetts,1986,19,4,1,0,0,5,40,20,8,0,0,28,160,33,200,16.5
1672,Michigan,1986,35,1,1,0,0,2,38,9,5,0,0,14,110,16,148,10.8
1673,Minnesota,1986,26,5,4,0,0,9,67,12,8,0,0,20,134,29,201,14.4
1674,Mississippi,1986,48,0,0,0,0,0,52,4,0,0,0,4,122,4,174,2.3
1675,Missouri,1986,28,1,1,0,0,2,34,17,7,0,0,24,163,26,197,13.2
1676,Montana,1986,24,4,1,0,0,5,50,13,4,0,0,17,100,22,150,14.7
1677,Nebraska*,1986,20,0,0,0,0,8,49,0,0,0,0,0,0,8,49,16.3
1678,Nevada,1986,22,1,2,0,0,3,21,3,4,0,0,7,42,10,63,15.9
1679,New Hampshire,1986,1,0,7,0,0,7,24,44,89,0,0,133,400,140,424,33
1680,New Jersey,1986,36,2,1,0,0,3,40,2,7,0,0,9,80,12,120,10
1681,New Mexico,1986,32,0,2,0,0,2,42,1,10,0,0,11,70,13,112,11.6
1682,New York,1986,34,4,1,0,0,5,61,16,2,0,0,18,150,23,211,10.9
1683,North Carolina,1986,31,4,0,0,0,4,50,9,7,0,0,16,120,20,170,11.8
1684,North Dakota,1986,33,3,0,0,0,3,53,6,9,0,0,15,106,18,159,11.3
1685,Ohio,1986,38,1,1,0,0,2,33,7,3,0,0,10,99,12,132,9.1
1686,Oklahoma,1986,40,2,1,0,0,3,48,6,4,0,0,10,101,13,149,8.7
1687,Oregon,1986,8,4,2,0,0,6,30,8,4,0,0,12,60,18,90,20
1688,Pennsylvania,1986,48,2,0,0,0,2,50,3,8,0,0,11,203,13,253,5.1
1689,Rhode Island,1986,23,3,5,0,0,8,50,11,4,0,0,15,100,23,150,15.3
1690,South Carolina,1986,47,2,0,0,0,2,46,7,1,0,0,8,124,10,170,5.9
1691,South Dakota,1986,27,2,2,0,0,4,35,1,10,0,0,11,70,15,105,14.3
1692,Tennessee,1986,41,1,0,0,0,1,33,4,6,0,0,10,99,11,132,8.3
1693,Texas,1986,39,0,1,0,0,1,31,10,5,0,0,15,150,16,181,8.8
1694,Utah,1986,44,0,1,0,0,1,29,2,4,0,0,6,75,7,104,6.7
1695,Vermont,1986,2,4,0,0,0,4,30,23,20,0,0,43,150,47,180,26.1
1696,Virginia,1986,43,0,0,0,0,0,40,9,0,1,0,10,100,10,140,7.1
1697,Washington,1986,5,4,3,0,0,7,49,16,12,0,0,28,98,35,147,23.8
1698,West Virginia,1986,17,2,1,0,0,3,34,16,4,0,0,20,100,23,134,17.2
1699,Wisconsin,1986,13,1,2,0,0,3,33,12,10,0,0,22,99,25,132,18.9
1700,Wyoming,1986,3,2,0,0,0,2,30,11,11,0,0,22,64,24,94,25.5
1701,Alabama,1985,46,1,1,0,0,2,35,7,0,0,0,7,105,9,140,6.4
1702,Alaska,1985,15,1,0,3,0,4,20,4,3,0,0,7,40,11,60,18.3
1703,Arizona,1985,8,1,3,0,0,4,30,5,9,0,0,14,60,18,90,20
1704,Arkansas,1985,43,1,0,0,0,1,35,8,1,0,0,9,100,10,135,7.4
1705,California,1985,30,2,2,0,0,4,40,7,4,0,0,11,80,15,120,12.5
1706,Colorado,1985,4,2,3,0,0,5,35,6,13,0,0,19,65,24,100,24
1707,Connecticut,1985,7,2,3,0,0,5,36,12,24,0,0,36,151,41,187,21.9
1708,Deleware,1985,21,2,1,0,0,3,21,3,4,0,0,7,41,10,62,16.1
1709,Florida,1985,10,7,2,0,0,9,40,11,11,0,0,22,120,31,160,19.4
1710,Georgia,1985,37,2,0,0,0,2,56,17,4,0,0,21,180,23,236,9.7
1711,Hawaii,1985,14,4,2,0,0,6,25,4,4,0,0,8,51,14,76,18.4
1712,Idaho,1985,12,5,2,0,0,7,42,4,13,0,0,17,84,24,126,19
1713,Illinois,1985,18,4,6,0,0,10,59,8,12,0,0,20,118,30,177,16.9
1714,Indiana,1985,29,3,3,0,0,6,50,7,6,0,0,13,100,19,150,12.7
1715,Iowa,1985,24,1,2,0,0,3,50,13,6,0,0,19,100,22,150,14.7
1716,Kansas,1985,16,2,3,0,0,5,40,11,14,0,0,25,125,30,165,18.2
1717,Kentucky,1985,45,2,0,0,0,2,38,5,2,0,0,7,100,9,138,6.5
1718,Louisiana,1985,49,0,0,0,0,0,39,5,0,0,0,5,105,5,144,3.5
1719,Maine,1985,6,6,3,0,0,9,35,17,18,0,0,35,151,44,186,23.7
1720,Maryland,1985,11,3,0,0,0,3,47,29,4,0,0,33,141,36,188,19.1
1721,Massachusetts,1985,19,4,1,0,0,5,40,20,8,0,0,28,160,33,200,16.5
1722,Michigan,1985,35,1,1,0,0,2,38,9,5,0,0,14,110,16,148,10.8
1723,Minnesota,1985,26,5,4,0,0,9,67,12,8,0,0,20,134,29,201,14.4
1724,Mississippi,1985,50,0,0,0,0,0,52,4,0,0,0,4,122,4,174,2.3
1725,Missouri,1985,28,1,1,0,0,2,34,17,7,0,0,24,163,26,197,13.2
1726,Montana,1985,24,4,1,0,0,5,50,13,4,0,0,17,100,22,150,14.7
1727,Nebraska*,1985,20,0,0,0,0,8,49,0,0,0,0,0,0,8,49,16.3
1728,Nevada,1985,22,1,2,0,0,3,21,3,4,0,0,7,42,10,63,15.9
1729,New Hampshire,1985,1,0,7,0,0,7,24,44,89,0,0,133,400,140,424,33
1730,New Jersey,1985,36,2,1,0,0,3,40,5,4,0,0,9,80,12,120,10
1731,New Mexico,1985,32,0,2,0,0,2,42,1,10,0,0,11,70,13,112,11.6
1732,New York,1985,33,4,1,0,0,5,61,17,2,0,0,19,150,24,211,11.4
1733,North Carolina,1985,31,4,0,0,0,4,50,9,7,0,0,16,120,20,170,11.8
1734,North Dakota,1985,34,3,0,0,0,3,53,6,9,0,0,15,106,18,159,11.3
1735,Ohio,1985,38,1,1,0,0,2,33,7,3,0,0,10,99,12,132,9.1
1736,Oklahoma,1985,40,2,1,0,0,3,48,6,4,0,0,10,101,13,149,8.7
1737,Oregon,1985,8,4,2,0,0,6,30,8,4,0,0,12,60,18,90,20
1738,Pennsylvania,1985,48,2,0,0,0,2,50,3,8,0,0,11,203,13,253,5.1
1739,Rhode Island,1985,23,3,5,0,0,8,50,11,4,0,0,15,100,23,150,15.3
1740,South Carolina,1985,47,2,0,0,0,2,46,7,1,0,0,8,124,10,170,5.9
1741,South Dakota,1985,27,2,2,0,0,4,35,1,10,0,0,11,70,15,105,14.3
1742,Tennessee,1985,41,1,0,0,0,1,33,4,6,0,0,10,99,11,132,8.3
1743,Texas,1985,39,0,1,0,0,1,31,10,5,0,0,15,150,16,181,8.8
1744,Utah,1985,44,0,1,0,0,1,29,2,4,0,0,6,75,7,104,6.7
1745,Vermont,1985,2,4,0,0,0,4,30,23,20,0,0,43,150,47,180,26.1
1746,Virginia,1985,42,0,0,0,0,0,40,9,2,0,0,11,100,11,140,7.9
1747,Washington,1985,5,4,3,0,0,7,49,16,12,0,0,28,98,35,147,23.8
1748,West Virginia,1985,17,2,1,0,0,3,34,16,4,0,0,20,100,23,134,17.2
1749,Wisconsin,1985,13,1,2,0,0,3,33,12,10,0,0,22,99,25,132,18.9
1750,Wyoming,1985,3,2,0,0,0,2,30,11,11,0,0,22,64,24,94,25.5
1751,Alabama,1984,46,1,1,0,0,2,35,7,0,0,0,7,105,9,140,6.4
1752,Alaska,1984,22,1,0,2,0,3,20,2,3,0,0,5,40,8,60,13.3
1753,Arizona,1984,8,2,3,0,0,5,30,5,9,0,0,14,60,19,90,21.1
1754,Arkansas,1984,47,1,0,0,0,1,35,4,2,0,0,6,100,7,135,5.2
1755,California,1984,29,2,0,0,0,2,40,6,6,0,0,12,80,14,120,11.7
1756,Colorado,1984,2,2,3,0,0,5,35,9,11,0,0,20,65,25,100,25
1757,Connecticut,1984,4,5,2,0,0,7,36,16,20,0,0,36,151,43,187,23
1758,Deleware,1984,14,2,1,0,0,3,21,3,4,0,0,7,41,10,62,16.1
1759,Florida,1984,13,7,2,0,0,9,40,11,8,0,0,19,120,28,160,17.5
1760,Georgia,1984,38,2,0,0,0,2,56,14,3,0,0,17,180,19,236,8.1
1761,Hawaii,1984,5,3,2,0,0,5,25,9,3,0,0,12,51,17,76,22.4
1762,Idaho,1984,16,4,1,0,0,5,35,3,8,0,0,11,70,16,105,15.2
1763,Illinois,1984,15,4,4,0,0,8,59,7,13,0,0,20,118,28,177,15.8
1764,Indiana,1984,28,2,2,0,0,4,50,6,8,0,0,14,100,18,150,12
1765,Iowa,1984,30,0,1,0,0,1,50,11,5,0,0,16,100,17,150,11.3
